drone_count,scene_key,target_class,combination_count,oracle_expected_target_threshold_strict_quality_iou50,oracle_expected_target_threshold_ap50_95,fusion_noisy_or_max_iou_quality,fusion_support_weighted_or_quality,gap_noisy_or_vs_oracle,gap_support_weighted_vs_oracle
2,S0-SM_container_22,container,45,0.9566365729034289,0.9861914684540696,0.978475549992321,0.8786522707828619,0.021838977088892153,-0.07798430212056695
2,S0-SM_container_23,container,55,0.9627090342799968,0.9956574675373056,0.9871236685861242,0.9830437709910935,0.024414634306127447,0.020334736711096757
2,S0-SM_container_3,container,45,0.95080439996198,1.0,0.982699128945731,0.9773411427897115,0.03189472898375101,0.026536742827731552
2,S0-SM_container_30,container,136,0.9534655369073716,0.9888874304530416,0.9822757698712518,0.9783391879209304,0.02881023296388019,0.024873651013558873
2,S0-SM_container_4,container,45,0.9375366754256472,1.0,0.971815607880486,0.9673326079605464,0.03427893245483882,0.029795932534899205
2,S0-SM_container_5,container,45,0.953919108824747,0.9815354939669739,0.9804507573180473,0.9697935699456939,0.026531648493300364,0.015874461120946926
2,S0-SM_container_6,container,10,0.9525932083535323,0.9984375,0.9785121069801473,0.9752889381560086,0.025918898626615006,0.02269572980247625
2,S0-SM_container_7,container,55,0.9606667892432602,0.9876893941106067,0.9858405798926962,0.979462196746592,0.025173790649436034,0.01879540750333175
2,S0-SM_container_8,container,36,0.9510781142114486,0.9971296297620843,0.9800045852767981,0.9734123960535412,0.028926471065349513,0.02233428184209263
2,S0-SM_container_9,container,28,0.9409419465108336,1.0,0.9749455705583984,0.9696879169352463,0.03400362404756474,0.028745970424412626
2,S0-SM_male1,male,10,0.7232970521900469,0.8099999999999999,0.848672676789118,0.8037669888727287,0.12537562459907103,0.08046993668268176
2,S0-SM_male10,male,105,0.7017974953979496,0.6604100531996007,0.8119929505865353,0.7688020332476324,0.11019545518858576,0.06700453784968285
2,S0-SM_male11,male,10,0.7743830198934518,0.8402777796197268,0.873984458489738,0.8595972161663494,0.09960143859628623,0.08521419627289761
2,S0-SM_male12,male,45,0.71063251057752,0.6960229312271878,0.815657271077716,0.7143413284779595,0.10502476050019605,0.0037088179004395316
2,S0-SM_male13,male,6,0.8164260243222318,0.7014351906537734,0.9102073713789164,0.8847624753501003,0.09378134705668462,0.06833645102786856
2,S0-SM_male14,male,21,0.763595998592027,0.7879761910911591,0.864750244693823,0.8124896546177929,0.10115424610179602,0.0488936560257659
2,S0-SM_male15,male,136,0.7386592140716646,0.7693459678770858,0.8338334900549108,0.7852586900501607,0.09517427598324624,0.04659947597849612
2,S0-SM_male16,male,66,0.7574717986026787,0.7435798473060382,0.8466682385089286,0.7525845472867595,0.08919643990624992,-0.004887251315919161
2,S0-SM_male17,male,45,0.7842167774698522,0.8523425932606614,0.8627982612637392,0.7687272204434424,0.07858148379388696,-0.01548955702640975
2,S0-SM_male18,male,78,0.7635539634144514,0.8100291691998455,0.8659654209389098,0.8267287275739528,0.10241145752445846,0.0631747641595014
2,S0-SM_male19,male,36,0.7864535757808271,0.750418874385719,0.8885840537669804,0.8449256138115036,0.10213047798615327,0.058472038030676465
2,S0-SM_male2,male,78,0.708930680732788,0.7721611721775471,0.8093531697506595,0.7358697606298021,0.10042248901787154,0.026939079897014162
2,S0-SM_male20,male,78,0.745231413499961,0.7676790823165357,0.8548619730209897,0.8088811653865514,0.10963055952102863,0.06364975188659039
2,S0-SM_male3,male,78,0.7071401668246858,0.6876068383311996,0.8172706911122882,0.7807777850175159,0.1101305242876024,0.0736376181928301
2,S0-SM_male4,male,91,0.7843062572693003,0.8292267003534138,0.8557961719330369,0.7761695380791309,0.07148991466373666,-0.00813671919016934
2,S0-SM_male5,male,45,0.7370634587278956,0.7890211649341559,0.8341416424268782,0.7381826691701483,0.09707818369898258,0.001119210442252716
2,S0-SM_male6,male,28,0.7352447048411789,0.6587301620977029,0.8307782658519612,0.7984554279970946,0.09553356101078236,0.0632107231559157
2,S0-SM_male7,male,21,0.7638793532119094,0.7746031747510036,0.8695199415597047,0.8425691631579617,0.10564058834779533,0.07868980994605235
2,S0-SM_male8,male,153,0.7110773156151927,0.8058823529411765,0.8275080038956403,0.7860538591262011,0.11643068828044756,0.07497654351100835
2,S0-SM_male9,male,36,0.756835651404788,0.8027777777777778,0.8596537113213747,0.811543318542047,0.10281805991658666,0.05470766713725894
2,S0-SM_rock1,rock,105,0.9556544789625403,0.9990476190476191,0.9822293471913992,0.976700696081997,0.026574868228858906,0.021046217119456756
2,S0-SM_rock10,rock,78,0.9606545734574584,0.9740060067940934,0.9822143054172406,0.9740708351473703,0.021559731959782225,0.013416261689911835
2,S0-SM_rock11,rock,45,0.9609289254520855,0.9596296314766377,0.9849825761460743,0.9782141411049985,0.024053650693988793,0.017285215652912966
2,S0-SM_rock12,rock,78,0.9605442431421605,0.9830387258550078,0.9862091990987887,0.9837322079836872,0.02566495595662821,0.023187964841526743
2,S0-SM_rock13,rock,21,0.9520092059347325,0.9992559523809523,0.9784786621503536,0.9722838796870145,0.026469456215621134,0.02027467375228198
2,S0-SM_rock14,rock,66,0.9640563238879751,0.9745454549533551,0.9871914858547661,0.9828445876333307,0.023135161966790996,0.018788263745355582
2,S0-SM_rock15,rock,78,0.9665825319900483,0.9870571838834322,0.9832069939583439,0.9057610782831361,0.01662446196829559,-0.060821453706912165
2,S0-SM_rock16,rock,36,0.9702985175154603,0.9801054538185459,0.9901679521374727,0.9874053186102889,0.019869434622012405,0.01710680109482865
2,S0-SM_rock17,rock,105,0.9651900539237389,0.9799794934031942,0.9856167994225955,0.9816441930944628,0.02042674549885659,0.016454139170723914
2,S0-SM_rock18,rock,91,0.9567520313768793,0.9705304815365593,0.975863586744679,0.8970568543089815,0.019111555367799737,-0.05969517706789773
2,S0-SM_rock19,rock,6,0.9486663105668374,0.9345833290947807,0.9763531819541645,0.9690029028534184,0.027686871387327172,0.020336592286581023
2,S0-SM_rock2,rock,105,0.9624325304925714,1.0,0.9872107926458278,0.98222624060089,0.024778262153256403,0.019793710108318652
2,S0-SM_rock20,rock,36,0.9401146078317123,0.921275948301658,0.9744420616962279,0.9490861239059935,0.034327453864515634,0.00897151607428115
2,S0-SM_rock21,rock,105,0.9609536076518841,0.97592599193643,0.984246109644831,0.9780730336932042,0.023292501992946857,0.017119426041320107
2,S0-SM_rock3,rock,36,0.9631529395081329,0.9839033565483987,0.9861992878483251,0.9646612757014252,0.023046348340192258,0.0015083361932923811
2,S0-SM_rock4,rock,91,0.9480401301572152,0.9882277559560129,0.9796602270126142,0.9735669837290449,0.031620096855399016,0.02552685357182971
2,S0-SM_rock5,rock,28,0.9597644209101335,0.9837500001809427,0.9860669009579627,0.9800834325568906,0.026302480047829202,0.02031901164675709
2,S0-SM_rock6,rock,55,0.9647850383047548,0.9356918773207048,0.9895310762892098,0.9837772766948456,0.02474603798445496,0.018992238390090788
2,S0-SM_rock7,rock,55,0.9581443185455,0.9569738308473312,0.9876244619143096,0.9821741562247327,0.029480143368809664,0.024029837679232724
2,S0-SM_rock8,rock,10,0.9456105833243257,0.9417893791656409,0.9733857623985129,0.9661023384836117,0.02777517907418725,0.02049175515928603
2,S0-SM_rock9,rock,78,0.963327760683215,0.9456524760953524,0.9864382261736634,0.98053904179226,0.023110465490448373,0.017211281109045018
2,S0-SM_suv1,suv,36,0.9305102841001079,0.9972222222222222,0.9687558137894948,0.959506497190002,0.03824552968938688,0.028996213089894085
2,S0-SM_suv10,suv,55,0.9160547605267219,0.9645151517742124,0.9680593232510173,0.9598319262149876,0.05200456272429543,0.04377716568826573
2,S0-SM_suv11,suv,21,0.9207176483892293,0.9812830690688715,0.966413337587239,0.9547081095975927,0.045695689198009704,0.033990461208363354
2,S0-SM_suv12,suv,91,0.8937943854504022,0.8773443226630872,0.9308661963731704,0.8021846317678412,0.03707181092276812,-0.09160975368256108
2,S0-SM_suv13_13,suv,55,0.8939228918432098,0.9450000000270931,0.9255288297976986,0.767930614390023,0.03160593795448874,-0.12599227745318686
2,S0-SM_suv14_17,suv,15,0.9119848921791726,0.9600000000000001,0.9611666731200033,0.9512519812157599,0.0491817809408307,0.03926708903658738
2,S0-SM_suv15,suv,6,0.9185806146520257,0.9601851857094853,0.9394449369197391,0.7080008577345444,0.020864322267713398,-0.21057975691748132
2,S0-SM_suv16,suv,78,0.9189630619094351,0.9673801895104785,0.9597102819605094,0.9448038831221831,0.04074722005107434,0.025840821212748
2,S0-SM_suv17,suv,66,0.9263002053806316,0.9771885522794893,0.9681709401327625,0.9570650328542372,0.04187073475213088,0.03076482747360554
2,S0-SM_suv18,suv,91,0.9307055766842882,0.9677197803876229,0.9702679206117013,0.9601703002688068,0.03956234392741309,0.02946472358451857
2,S0-SM_suv19,suv,28,0.9041599211155205,0.9892857142857142,0.9574945421045061,0.9491293211694689,0.05333462098898567,0.04496940005394845
2,S0-SM_suv2,suv,45,0.9133654722688517,0.9597222222470574,0.9615920266305982,0.9474595611734125,0.0482265543617465,0.03409408890456078
2,S0-SM_suv20,suv,55,0.8723107159495305,0.9168181818588214,0.8915630324113558,0.6858348010283802,0.019252316461825347,-0.18647591492115023
2,S0-SM_suv21,suv,66,0.8802909073345047,0.9134740261191672,0.9143648193655538,0.7717327470614969,0.03407391203104915,-0.1085581602730078
2,S0-SM_suv22,suv,105,0.9343148961678795,0.9479651682211555,0.9754522974313182,0.9638357710234401,0.04113740126343868,0.02952087485556054
2,S0-SM_suv3,suv,36,0.924594242763706,0.9721481494870451,0.9667840820776187,0.954900796006002,0.042189839313912625,0.03030655324229592
2,S0-SM_suv4,suv,105,0.9358965305105011,0.9766632095446123,0.9755761212524282,0.9675063122334888,0.03967959074192706,0.03160978172298767
2,S0-SM_suv5,suv,153,0.9400999741096825,0.9598169621974899,0.9742801808880088,0.9654888683220519,0.03418020677832634,0.02538889421236945
2,S0-SM_suv6,suv,6,0.938920287626928,0.9851666676650445,0.9802886530458962,0.9732017773961466,0.041368365418968156,0.03428148976921852
2,S0-SM_suv7,suv,66,0.9235208931787654,0.9757657829686827,0.9633294771565505,0.9541740493161791,0.039808583977785084,0.030653156137413706
2,S0-SM_suv8,suv,120,0.928390819062118,0.9744444445905586,0.9670392918120875,0.9581386827817059,0.03864847274996952,0.02974786371958793
2,S0-SM_suv9,suv,45,0.9279827990859578,0.9771098744114806,0.9711722156158787,0.9598599114504415,0.04318941652992092,0.03187711236448365
2,S0-SM_tank1,tank,120,0.9166556076335347,0.9726736111442248,0.9580913568411481,0.8912090275795571,0.04143574920761339,-0.025446580053977597
2,S0-SM_tank10,tank,55,0.8909790014567168,0.893333333491376,0.9401668516874493,0.8902676120191536,0.049187850230732466,-0.0007113894375632146
2,S0-SM_tank11,tank,55,0.9190693763874787,0.9818181818181818,0.960442464942296,0.9493930260825989,0.04137308855481736,0.030323649695120247
2,S0-SM_tank12,tank,55,0.9357941722295201,0.9748316613536728,0.974944345712592,0.96637300145021,0.039150173483071926,0.030578829220689885
2,S0-SM_tank13,tank,10,0.9456536538503386,0.9524166683604319,0.9806670714354804,0.9749231851813047,0.03501341758514176,0.029269531330966103
2,S0-SM_tank14,tank,78,0.9404771252754066,0.9317995797518744,0.9762836139269252,0.967531206280909,0.035806488651518587,0.02705408100550244
2,S0-SM_tank15,tank,55,0.9193270756071495,0.9412400799985937,0.9624995564591547,0.9177007839471211,0.0431724808520052,-0.0016262916600284782
2,S0-SM_tank16,tank,28,0.8834928644312774,0.933333334586184,0.9550039901928811,0.9048895861137813,0.07151112576160368,0.02139672168250395
