target_class,viewpoint,elevation,radius,azimuth,scene_count,sample_count,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50,target_visible_rate,target_detected_rate
container,ellow-radnear-az315,low,near,315,3,3,0.9519907432353055,0.9574487286554559,0.9739787975947062,1.0,1.0
container,elmid-radnear-az180,mid,near,180,6,6,0.9925925931444874,0.9561374952226434,0.9732896586259207,1.0,1.0
container,elmid-radmid-az045,mid,mid,45,4,4,0.9930000005364418,0.9551334591155811,0.9729092121124268,1.0,1.0
container,elmid-radmid-az135,mid,mid,135,2,2,0.9875000007450581,0.9548297681013675,0.9709568321704865,1.0,1.0
container,elhigh-radnear-az135,high,near,135,5,5,0.9768333336710929,0.954543528535656,0.9700840830802917,1.0,1.0
container,elhigh-radmid-az270,high,mid,270,2,2,0.9940000004172325,0.95321558583505,0.9706184566020966,1.0,1.0
container,ellow-radmid-az045,low,mid,45,2,2,0.91875,0.9530541661712935,0.9704175889492035,1.0,1.0
container,elhigh-radmid-az135,high,mid,135,1,1,0.9777777794334623,0.9529553954944951,0.9658872485160828,1.0,1.0
container,elmid-radfar-az090,mid,far,90,2,2,0.98125,0.9529378146244216,0.9662012755870819,1.0,1.0
container,elmid-radmid-az225,mid,mid,225,2,2,1.0,0.9528394386862225,0.9731844663619995,1.0,1.0
container,ellow-radnear-az225,low,near,225,4,4,0.8477083352083961,0.9524328210331294,0.9775955975055695,1.0,1.0
container,ellow-radmid-az090,low,mid,90,2,2,0.98125,0.9523594791444658,0.9697525799274445,1.0,1.0
container,elmid-radnear-az315,mid,near,315,2,2,1.0,0.9517611439448785,0.9723259210586548,1.0,1.0
container,ellow-radnear-az180,low,near,180,5,5,0.9759375002980232,0.9508761463252753,0.9722632050514222,1.0,1.0
container,ellow-radnear-az045,low,near,45,5,5,0.9408115108050998,0.9508172412720548,0.9751950740814209,1.0,1.0
container,elmid-radnear-az225,mid,near,225,3,3,0.8833333338300386,0.9503789316962615,0.9750582774480184,1.0,1.0
container,elhigh-radnear-az315,high,near,315,5,5,0.9875,0.9490350941774267,0.9716014385223388,1.0,1.0
container,ellow-radnear-az135,low,near,135,6,6,0.9471064832751398,0.9487248545168944,0.9741238951683044,1.0,1.0
container,elmid-radfar-az225,mid,far,225,1,1,1.0,0.9486135488227205,0.9665583372116089,1.0,1.0
container,elmid-radmid-az270,mid,mid,270,5,5,0.9156805571739872,0.9484360542570108,0.9682468414306641,1.0,1.0
container,elhigh-radmid-az045,high,mid,45,2,2,0.9810763897167312,0.9483296312833218,0.9630363583564758,1.0,1.0
container,elmid-radfar-az180,mid,far,180,3,3,0.9895833333333334,0.9482067086706062,0.9620906909306844,1.0,1.0
container,ellow-radmid-az000,low,mid,0,2,2,0.8727430629647441,0.9477049467739747,0.9685159027576447,1.0,1.0
container,ellow-radmid-az225,low,mid,225,1,1,0.75,0.9472327721336953,0.9645494222640991,1.0,1.0
container,ellow-radnear-az090,low,near,90,1,1,1.0,0.9465117432155807,0.9626413583755493,1.0,1.0
container,elmid-radnear-az270,mid,near,270,5,5,0.9962500000000001,0.9463383765539171,0.9689595937728882,1.0,1.0
container,elhigh-radnear-az180,high,near,180,5,5,0.9751000006139279,0.9459048852930841,0.9671538710594177,1.0,1.0
container,elhigh-radmid-az225,high,mid,225,4,4,0.9921875,0.9457653093782152,0.968263253569603,1.0,1.0
container,elhigh-radmid-az180,high,mid,180,2,2,1.0,0.9457014460023405,0.9710083901882172,1.0,1.0
container,ellow-radmid-az270,low,mid,270,3,3,0.9718749999999999,0.9454427343674752,0.9681902130444845,1.0,1.0
container,elmid-radmid-az180,mid,mid,180,4,4,0.9921875,0.9453138081045616,0.9713924080133438,1.0,1.0
container,elhigh-radfar-az135,high,far,135,3,3,0.9375,0.9451854128851002,0.9649429122606913,1.0,1.0
container,elhigh-radfar-az225,high,far,225,3,3,1.0,0.9450712837073768,0.9638293385505676,1.0,1.0
container,ellow-radfar-az225,low,far,225,3,3,0.7276785718277097,0.9444991863954056,0.9643833835919698,1.0,1.0
container,ellow-radmid-az315,low,mid,315,5,5,0.9252777801412675,0.9436245648224932,0.9674557089805603,1.0,1.0
container,elhigh-radnear-az270,high,near,270,2,2,0.91625000461936,0.9420461383494274,0.9668845236301422,1.0,1.0
container,elmid-radfar-az315,mid,far,315,4,4,1.0,0.9415401923056548,0.9629498720169067,1.0,1.0
container,elhigh-radfar-az315,high,far,315,4,4,0.99453125,0.9389536137589278,0.9660805612802505,1.0,1.0
container,elhigh-radmid-az090,high,mid,90,2,2,1.0,0.9386533618902408,0.9638119041919708,1.0,1.0
container,elmid-radmid-az000,mid,mid,0,3,3,0.9896296302698278,0.9383436987071114,0.9682551225026449,1.0,1.0
container,elhigh-radmid-az315,high,mid,315,7,7,0.9937003970619233,0.9379252345998087,0.9656469140733991,1.0,1.0
container,elhigh-radnear-az225,high,near,225,4,4,0.9611111125184431,0.9376976918376521,0.9647587537765503,1.0,1.0
container,elhigh-radmid-az000,high,mid,0,5,5,0.9852333338618278,0.9375685375080295,0.9613807797431946,1.0,1.0
container,ellow-radmid-az135,low,mid,135,1,1,0.9750000014901161,0.9374928445829198,0.960112452507019,1.0,1.0
container,elmid-radfar-az135,mid,far,135,1,1,1.0,0.9370745730881822,0.9651052355766296,1.0,1.0
container,elhigh-radnear-az090,high,near,90,5,5,0.991111111773385,0.9369574515660133,0.9665591239929199,1.0,1.0
container,elhigh-radfar-az090,high,far,90,5,5,0.996875,0.9363182447202462,0.9612917900085449,1.0,1.0
container,elhigh-radfar-az045,high,far,45,5,5,0.9850000008940697,0.9358698169373362,0.9630843520164489,1.0,1.0
container,elmid-radfar-az270,mid,far,270,7,7,0.989910714328289,0.9358206220598991,0.9615996650287083,1.0,1.0
container,elhigh-radnear-az045,high,near,45,1,1,1.0,0.9345422269621153,0.968178927898407,1.0,1.0
container,elhigh-radfar-az270,high,far,270,1,1,0.978125,0.9344641377304228,0.9676457643508911,1.0,1.0
container,elmid-radfar-az045,mid,far,45,3,3,0.9895833333333334,0.9327759056809247,0.968552847703298,1.0,1.0
container,elhigh-radnear-az000,high,near,0,5,5,0.9817361115747028,0.9320649499226313,0.963903796672821,1.0,1.0
container,ellow-radmid-az180,low,mid,180,3,3,0.6830439836269727,0.9311077916222933,0.961381753285726,1.0,1.0
container,ellow-radfar-az045,low,far,45,4,4,0.834226193788151,0.9252543351531841,0.958306223154068,1.0,1.0
container,elhigh-radfar-az000,high,far,0,4,4,0.9855416669994592,0.9224704823913612,0.9555985927581787,1.0,1.0
container,ellow-radfar-az270,low,far,270,1,1,0.7630000134259461,0.9218356592247261,0.962566614151001,1.0,1.0
container,elmid-radfar-az000,mid,far,0,2,2,1.0,0.9196518515368766,0.9532279372215271,1.0,1.0
container,ellow-radfar-az090,low,far,90,2,2,0.9436755958944559,0.919592731766226,0.9544466137886047,1.0,1.0
container,ellow-radfar-az135,low,far,135,4,4,0.7688417675074131,0.9173298302939141,0.9541188031435013,1.0,1.0
container,elhigh-radfar-az180,high,far,180,3,3,0.916041667200625,0.9141834762197915,0.9540239175160726,1.0,1.0
container,ellow-radfar-az000,low,far,0,4,4,0.8547727285926654,0.9117939717794563,0.9487611055374146,1.0,1.0
container,ellow-radfar-az180,low,far,180,3,3,0.8886160734863507,0.9078947425873428,0.9460378090540568,1.0,1.0
container,ellow-radfar-az315,low,far,315,1,1,0.8625,0.8794183158564657,0.94437175989151,1.0,1.0
container,ellow-radnear-az000,low,near,0,6,6,0.8270833333333334,0.8000331629442154,0.815064013004303,0.8333333333333334,0.8333333333333334
male,ellow-radnear-az180,low,near,180,2,2,0.866666667163372,0.840844193813167,0.8913603723049164,1.0,1.0
male,ellow-radnear-az135,low,near,135,3,3,0.7976851864131512,0.8283912685509733,0.9109121561050415,1.0,1.0
male,ellow-radnear-az045,low,near,45,2,2,0.8057142878714061,0.8216046952988201,0.9142478108406067,1.0,1.0
male,ellow-radnear-az225,low,near,225,1,1,0.9,0.8190352631197939,0.8885326981544495,1.0,1.0
male,ellow-radnear-az270,low,near,270,2,2,0.8500000000000001,0.8109140427729535,0.8900094628334045,1.0,1.0
male,elmid-radnear-az000,mid,near,0,1,1,0.9055555578735139,0.8103690827661296,0.891132116317749,1.0,1.0
male,ellow-radnear-az090,low,near,90,2,2,0.7312500000931323,0.8008552111680665,0.890969842672348,1.0,1.0
male,elmid-radfar-az225,mid,far,225,1,1,0.9375,0.7931270833811439,0.8710693120956421,1.0,1.0
male,elmid-radnear-az225,mid,near,225,1,1,0.8,0.789086686356633,0.8834052681922913,1.0,1.0
male,ellow-radmid-az180,low,mid,180,1,1,0.9,0.7866954859712294,0.8599585294723511,1.0,1.0
male,ellow-radmid-az045,low,mid,45,5,5,0.7055833374708891,0.7772559196829676,0.882562780380249,1.0,1.0
male,elmid-radfar-az000,mid,far,0,2,2,0.7075000057121117,0.7685053224263516,0.8488936424255371,1.0,1.0
male,elmid-radnear-az045,mid,near,45,2,2,0.729166666790843,0.7660868522431574,0.8870002925395966,1.0,1.0
male,elmid-radnear-az090,mid,near,90,6,6,0.8166666666666668,0.7617440607071124,0.8568785587946574,1.0,1.0
male,elmid-radmid-az180,mid,mid,180,5,5,0.763115081165045,0.753897658736102,0.8522211790084839,1.0,1.0
male,ellow-radmid-az315,low,mid,315,1,1,0.9,0.7528071791044333,0.8296135067939758,1.0,1.0
male,ellow-radnear-az315,low,near,315,2,2,0.5833333348855376,0.7507056776974235,0.9002862274646759,1.0,1.0
male,elmid-radnear-az270,mid,near,270,6,6,0.7575462980126892,0.7479254669553216,0.8507576088110606,1.0,1.0
male,ellow-radmid-az135,low,mid,135,2,2,0.8,0.746525271617962,0.8526230752468109,1.0,1.0
male,elmid-radmid-az270,mid,mid,270,2,2,0.8500000000000001,0.742163643430537,0.8402619361877441,1.0,1.0
male,ellow-radmid-az000,low,mid,0,4,4,0.759722222491271,0.7391036020408128,0.8518031686544418,1.0,1.0
male,elmid-radmid-az045,mid,mid,45,6,6,0.7552083340783914,0.7343773403486941,0.8409298559029897,1.0,1.0
male,ellow-radmid-az270,low,mid,270,1,1,0.7625,0.7339544130309577,0.8478785753250122,1.0,1.0
male,elmid-radmid-az000,mid,mid,0,5,5,0.6990740773799242,0.7310740242269361,0.863470733165741,1.0,1.0
male,elhigh-radmid-az180,high,mid,180,3,3,0.8259259269745262,0.7270226555925111,0.8318789998690287,1.0,1.0
male,elmid-radnear-az135,mid,near,135,3,3,0.8000000000000002,0.7257633349420646,0.8264161547025045,1.0,1.0
male,ellow-radfar-az000,low,far,0,4,4,0.6906994068063795,0.724994074579361,0.829439789056778,1.0,1.0
male,ellow-radnear-az000,low,near,0,1,1,0.3537500006146729,0.723330888720497,0.8893221616744995,1.0,1.0
male,elmid-radnear-az315,mid,near,315,2,2,0.6812499999999999,0.7225906256385741,0.8557192087173462,1.0,1.0
male,elhigh-radmid-az135,high,mid,135,4,4,0.7709821441343853,0.7182516833346551,0.8314535617828369,1.0,1.0
male,ellow-radfar-az045,low,far,45,3,3,0.7302469143345033,0.715549822717802,0.8425377806027731,1.0,1.0
male,elmid-radfar-az090,mid,far,90,3,3,0.6851851866201119,0.7132313511536689,0.8465945919354757,1.0,1.0
