target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
container,elhigh-radmid-az315 + elmid-radfar-az180,elhigh-radmid-az315,elmid-radfar-az180,4,0.94921875,0.9120206550256622,0.9944444448583656,0.94921875,0.045225694858365584,0.9433354425183005,0.9415688664246318,0.9461656810926984,0.9433354425183005,0.002830238574397903,0.9648686945438385,0.9599174857139587,0.9664940685033798,0.9648686945438385,0.0016253739595413208,0.5,0.5,0.0
container,elmid-radmid-az090 + elmid-radnear-az270,elmid-radmid-az090,elmid-radnear-az270,5,0.82829059979154,0.9355000022181443,0.9611111123694315,0.9355000022181443,0.025611110151287142,0.9545496719869455,0.957574050827904,0.9604029056539141,0.957574050827904,0.00282885482601003,0.9714876174926758,0.976115620136261,0.9775423645973206,0.976115620136261,0.0014267444610596147,0.6,0.4,0.0
rock,ellow-radmid-az135 + elmid-radnear-az135,ellow-radmid-az135,elmid-radnear-az135,8,0.7258407757883625,0.97578125,0.9869270834838971,0.97578125,0.011145833483897083,0.8096630242429224,0.9573877318764561,0.960214869453921,0.9573877318764561,0.002827137577464889,0.8424420058727264,0.9733548909425735,0.9738522097468376,0.9733548909425735,0.0004973188042640686,0.125,0.875,0.0
container,elhigh-radfar-az045 + elmid-radfar-az270,elhigh-radfar-az045,elmid-radfar-az270,5,0.8687500029802322,0.9175000000000001,0.9324999999999999,0.9175000000000001,0.014999999999999791,0.8363756019065647,0.8825487022523248,0.8853679992743715,0.8825487022523248,0.0028192970220466407,0.9004171133041382,0.9299503207206726,0.9316086530685425,0.9299503207206726,0.0016583323478698286,0.2,0.8,0.0
container,elhigh-radnear-az000 + elhigh-radnear-az315,elhigh-radnear-az000,elhigh-radnear-az315,6,1.0,0.9927777782413695,1.0,1.0,0.0,0.942688357632545,0.948060194078904,0.950878694417792,0.948060194078904,0.002818500338888086,0.9643046160538992,0.9723188579082489,0.9724865555763245,0.9723188579082489,0.00016769766807556152,0.5,0.5,0.0
barrel,elhigh-radmid-az045 + elmid-radmid-az315,elhigh-radmid-az045,elmid-radmid-az315,6,0.8778931879717212,0.8825378388190783,0.9160413360812368,0.8825378388190783,0.03350349726215851,0.9023303832404466,0.9150350584784827,0.9178351381835927,0.9150350584784827,0.0028000797051100923,0.9475512206554413,0.9455567101637522,0.9490727583567301,0.9475512206554413,0.001521537701288822,0.3333333333333333,0.6666666666666666,0.0
barrel,elhigh-radfar-az225 + elhigh-radmid-az090,elhigh-radfar-az225,elhigh-radmid-az090,6,0.9387125677172391,0.8722211952232161,0.9425401969531225,0.9387125677172391,0.003827629235883423,0.9118863051896989,0.8712274599774675,0.9146861186354412,0.9118863051896989,0.0027998134457423163,0.943826844294866,0.9455722669760386,0.9468093315760294,0.9455722669760386,0.0012370645999908447,0.6666666666666666,0.3333333333333333,0.0
barrel,elhigh-radnear-az225 + elmid-radnear-az000,elhigh-radnear-az225,elmid-radnear-az000,3,0.9423148167905984,0.9170717609701334,0.9941666667660077,0.9423148167905984,0.05185184997540937,0.8812748121070548,0.8930893118978483,0.8958865527642056,0.8930893118978483,0.0027972408663572423,0.9152199029922485,0.9430503249168396,0.943418284257253,0.9430503249168396,0.00036795934041344847,0.3333333333333333,0.6666666666666666,0.0
tower,elmid-radmid-az225 + elmid-radnear-az270,elmid-radmid-az225,elmid-radnear-az270,2,1.0,1.0,1.0,1.0,0.0,0.9589634354983225,0.9564485429765668,0.9617585582644175,0.9589634354983225,0.0027951227660949485,0.9740937650203705,0.9768747985363007,0.9768747985363007,0.9768747985363007,0.0,0.5,0.5,0.0
rock,elhigh-radnear-az090 + ellow-radmid-az000,elhigh-radnear-az090,ellow-radmid-az000,3,0.9111111170715755,0.8340277800336481,0.9111111170715755,0.9111111170715755,0.0,0.9414473536162559,0.9403495364720366,0.9442393331154276,0.9414473536162559,0.0027919794991717595,0.9675707022349039,0.9697539607683817,0.9730742971102396,0.9697539607683817,0.00332033634185791,0.6666666666666666,0.3333333333333333,0.0
