viewpoint,elevation,radius,azimuth,scene_count,sample_count,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50,target_visible_rate,target_detected_rate
ellow-radnear-az315,low,near,315,29,29,0.8081763111201424,0.8596479500500089,0.9213548343757103,0.9655172413793104,0.9655172413793104
elhigh-radmid-az135,high,mid,135,30,30,0.8749052672054732,0.8595280264673113,0.9195713182290395,1.0,1.0
elmid-radfar-az045,mid,far,45,30,30,0.8472065076405291,0.8581700453322131,0.9189962645371755,1.0,1.0
elhigh-radmid-az090,high,mid,90,34,34,0.8665778465507001,0.8527259063822877,0.9228391314254087,1.0,1.0
elhigh-radnear-az270,high,near,270,30,30,0.8763905435406342,0.8483381288919658,0.9018566066166386,1.0,1.0
elmid-radfar-az135,mid,far,135,31,31,0.8151140521115922,0.8436586868839523,0.9264703392982483,1.0,1.0
elmid-radmid-az225,mid,mid,225,22,22,0.8628814582432397,0.8436054753431896,0.8952814015475187,0.9545454545454546,0.9545454545454546
ellow-radmid-az090,low,mid,90,32,32,0.7510242319267016,0.841288041614738,0.8810465279966593,0.9375,0.9375
elhigh-radmid-az270,high,mid,270,27,27,0.8543867929123967,0.8405034649605255,0.9116429841076886,1.0,1.0
ellow-radmid-az000,low,mid,0,31,31,0.7389956506975638,0.8368998104301066,0.8780882954597473,0.9354838709677419,0.9354838709677419
ellow-radmid-az045,low,mid,45,37,37,0.7552149865218167,0.8364017477807015,0.8832993990666157,0.9459459459459459,0.9459459459459459
ellow-radnear-az000,low,near,0,35,35,0.7719857478323442,0.8296687708935887,0.8720060127122061,0.9142857142857143,0.9142857142857143
ellow-radmid-az225,low,mid,225,29,29,0.7389009151067059,0.8255299704416494,0.872074700635055,0.9310344827586207,0.9310344827586207
ellow-radmid-az135,low,mid,135,30,30,0.7768196805426065,0.8226393198726646,0.8745723704497019,0.9333333333333333,0.9333333333333333
ellow-radfar-az090,low,far,90,28,28,0.7264335852327901,0.8165494316422262,0.8607013097831181,0.9285714285714286,0.9285714285714286
