target_class,viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
container,elhigh-radmid-az045,12,152,45,210,0.0649995470059034,0.0028060593508334093,0.0339028031783684,0.021588248183608882,0.0030056508453810034,0.012296949514494943
container,ellow-radmid-az315,38,220,181,322,0.07163730223137814,0.007660088497673175,0.03964869536452566,0.021573828931681412,0.003019438316191443,0.012296633623936428
container,ellow-radnear-az180,23,229,136,366,0.04691673431477354,0.00649294355554215,0.026704838935157845,0.017330580067797124,0.006471602205419414,0.011901091136608269
container,elhigh-radmid-az315,47,436,194,619,0.07140860557666387,0.010728477337375126,0.0410685414570195,0.020556835661018045,0.0027427928840633125,0.011649814272540679
container,elhigh-radnear-az180,29,215,144,335,0.06082915661960036,0.010164821159783802,0.03549698888969208,0.016846232848436248,0.005919187113376038,0.011382709980906142
container,elmid-radmid-az225,8,65,34,97,0.01450190889753461,0.011450696843598108,0.012976302870566359,0.012816751702778184,0.008907780669150519,0.01086226618596435
container,elmid-radmid-az090,35,436,153,633,0.05155461298848959,0.006797316862462122,0.029175964925475854,0.014003019139768856,0.007660425514682976,0.010831722327225917
container,ellow-radfar-az225,21,195,99,293,0.04416773021350455,0.008341373148975977,0.026254551681240263,0.015666331326021483,0.005255304146002503,0.010460817736011993
container,elhigh-radfar-az225,14,102,60,159,0.056670815622365256,0.006816988133515486,0.03174390187794037,0.018680081357667848,0.0012319098005063142,0.00995599557908708
container,elhigh-radnear-az270,17,104,94,167,0.03802352765350665,0.0025033386536420137,0.020263433153574335,0.012136311832494463,0.006492188590718407,0.009314250211606435
container,elhigh-radmid-az180,14,164,65,246,0.06326814126240789,0.011161526698931442,0.037214833980669666,0.01582546778933121,0.0021136087019344935,0.008969538245632852
container,ellow-radmid-az090,11,78,60,122,0.06377179794980621,0.013766745953005567,0.03876927195140589,0.012822022218678474,0.005063035963752902,0.008942529091215687
container,ellow-radmid-az180,20,119,69,161,0.03379667916614089,0.004244364338412799,0.019020521752276844,0.016068238207986918,0.0016315087941159328,0.008849873501051425
container,elmid-radmid-az270,22,238,127,424,0.05105702761621698,0.0079059407044733,0.02948148416034514,0.014124598890256544,0.0034910901577902068,0.008807844524023375
container,elhigh-radfar-az315,27,209,124,315,0.06190655373000892,0.012554785634209135,0.03723066968210903,0.012213243759622225,0.0029872594753980334,0.007600251617510129
