viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
elhigh-radnear-az180,71,1174,320,1603,0.07947808744341801,0.022038070481088315,0.050758078962253164,0.03379353953087258,0.008417432828108083,0.021105486179490332
elhigh-radmid-az090,69,1176,338,1614,0.07372310957631709,0.013864894922463416,0.04379400224939025,0.037106573558995944,0.004877585427843244,0.020992079493419594
elhigh-radmid-az225,71,1457,379,2082,0.08006172831795721,0.020722359191508295,0.05039204375473275,0.034743985271814305,0.007096989964110047,0.020920487617962176
elhigh-radmid-az000,71,1493,453,2325,0.09626909865690944,0.028698226613278217,0.06248366263509383,0.03502219700510957,0.006452149953709529,0.02073717347940955
elhigh-radmid-az270,69,1151,290,1559,0.08263323752755233,0.016287813758467978,0.04946052564301016,0.036302105033314776,0.004590905388029114,0.020446505210671945
elhigh-radnear-az225,71,1328,373,1901,0.07842772921097597,0.024778063803196103,0.051602896507086035,0.03239277722300471,0.006541364421987921,0.019467070822496317
elhigh-radmid-az045,71,1356,335,1870,0.07514475317851285,0.017674035002001775,0.046409394090257315,0.032604721400924803,0.005862985239706985,0.019233853320315894
elmid-radnear-az000,69,1048,238,1336,0.0901533404450512,0.030651167346221902,0.060402253895636554,0.028996554334641784,0.009094896977453646,0.019045725656047716
elhigh-radmid-az180,71,1186,308,1570,0.0861638816196286,0.023884075302671753,0.055023978461150175,0.03257150822888336,0.005500533977158001,0.019036021103020682
elhigh-radnear-az090,70,1139,292,1491,0.06562685364905466,0.014792979120535892,0.04020991638479528,0.03082258356465841,0.006170381910532843,0.018496482737595625
ellow-radfar-az225,70,1196,315,1652,0.04668987189892873,0.011607730337706465,0.029148801118317597,0.030573568519034866,0.006188412487399563,0.018380990503217214
elhigh-radnear-az135,70,1372,357,1944,0.07539039182143446,0.021366756909548434,0.04837857436549145,0.031013711007146214,0.0054393025163021426,0.018226506761724177
elmid-radmid-az315,70,1217,318,1699,0.08253882630384814,0.02778972499348939,0.05516427564866876,0.02696972824981199,0.009471280013196092,0.018220504131504042
elmid-radmid-az270,71,1529,443,2366,0.07625465601744837,0.02313405352563649,0.04969435477154243,0.027140345709871116,0.008177060487343317,0.017658703098607217
ellow-radfar-az000,71,1496,424,2244,0.050139864076364976,0.013705225951040336,0.031922545013702654,0.029595426515022116,0.005701712650407432,0.017648569582714775
ellow-radfar-az135,71,1426,387,2072,0.062366568660614206,0.014845729377311948,0.038606149018963073,0.03199709063821442,0.003123493985359176,0.017560292311786796
elmid-radmid-az090,70,1161,301,1525,0.060040124356172675,0.013796411558485048,0.03691826795732886,0.026777690189090382,0.007635328548978412,0.017206509369034395
ellow-radfar-az180,67,1012,266,1370,0.053194630973291725,0.005908184186513395,0.02955140757990256,0.0283749790992729,0.004773594944614794,0.016574287021943846
elmid-radfar-az135,71,1342,348,1970,0.06410182990046522,0.010379553261135826,0.03724069158080052,0.028991841988356117,0.002891910294841903,0.01594187614159901
ellow-radmid-az315,71,1163,327,1570,0.07557178382460501,0.020195325416610416,0.04788355462060771,0.02535464953858254,0.0062107993806670226,0.01578272445962478
elhigh-radfar-az000,71,1337,338,1892,0.08525400302602196,0.02152803624963729,0.05339101963782962,0.027445624241965536,0.004060502814154336,0.015753063528059937
elmid-radfar-az315,71,1015,263,1289,0.06715071580306886,0.015238123616042945,0.0411944197095559,0.02715812262957498,0.0038095638396552765,0.015483843234615128
elhigh-radfar-az090,71,1363,337,1875,0.06924596118628713,0.012382017311833794,0.04081398924906046,0.027494584387480002,0.003117237594827134,0.015305910991153568
elmid-radfar-az000,71,1142,288,1489,0.06282145056425525,0.014025485351696372,0.03842346795797581,0.02539778550403879,0.004626562083365339,0.015012173793702064
elhigh-radfar-az315,70,1171,312,1633,0.080913328435765,0.02555119047614661,0.053232259455955805,0.02381531587052129,0.005679589784954354,0.014747452827737822
ellow-radfar-az315,71,1162,298,1600,0.06479763928567477,0.02229236742485476,0.04354500335526476,0.023007581514347432,0.004986342411478513,0.013996961962912972
elhigh-radfar-az045,71,1492,417,2202,0.08112229652639581,0.020710419298859462,0.050916357912627636,0.02317530435861247,0.004778451088812947,0.013976877723712708
elhigh-radfar-az225,70,1208,305,1679,0.07431473800972503,0.022534874982332226,0.04842480649602863,0.02319668209790465,0.0045607399099886065,0.013878711003946628
ellow-radmid-az225,70,1141,292,1521,0.04206637735485067,0.007808054471080771,0.024937215912965723,0.02099307671889696,0.005536160678118992,0.013264618698507976
elhigh-radfar-az135,70,931,244,1187,0.09432767891282506,0.02417473519190953,0.0592512070523673,0.02219011607398822,0.0042599364540586585,0.01322502626402344
ellow-radmid-az180,68,981,238,1283,0.05731550214438496,0.02519538907727118,0.04125544561082807,0.01860850600152683,0.007824065583844592,0.013216285792685712
elmid-radfar-az180,69,1033,265,1332,0.05751192213786509,0.010527831779405496,0.034019876958635294,0.02371405556694205,0.0026449508049395296,0.01317950318594079
elhigh-radmid-az315,69,1140,270,1484,0.06823611660630975,0.02317365395690068,0.04570488528160521,0.01825565267701328,0.005538394074278014,0.011897023375645646
elhigh-radnear-az000,71,1303,362,1917,0.07954162195510335,0.021615490121767233,0.05057855603843529,0.019222068426802977,0.004215735757016218,0.011718902091909598
elhigh-radnear-az270,70,1258,322,1695,0.060697074243810586,0.011964190122926075,0.03633063218336833,0.017273391927312025,0.0037155792649911346,0.010494485596151579
ellow-radfar-az090,69,1081,286,1407,0.040548987097519876,0.005065746046090953,0.022807366571805415,0.01579787561946983,0.0015289476270213028,0.008663411623245566
elhigh-radfar-az270,70,1116,301,1469,0.08880181522539399,0.025591977559908507,0.05719689639265125,0.012145107384555218,0.0018444431507502021,0.00699477526765271
ellow-radfar-az270,71,1179,325,1594,0.03400863241015807,0.006782579064808886,0.020395605737483478,0.010597454789669771,0.0008716286695677195,0.005734541729618746
