target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
barrel,ellow-radfar-az315 + ellow-radmid-az000,ellow-radfar-az315,ellow-radmid-az000,9,0.7630260642887855,0.7381217582141405,0.8212027932931556,0.7630260642887855,0.0581767290043701,0.8440037636361074,0.8578769655851066,0.8671296456240936,0.8578769655851066,0.009252680038986938,0.8915393021371629,0.9214985370635986,0.9233589503500197,0.9214985370635986,0.0018604132864210587,0.3333333333333333,0.6666666666666666,0.0
male,elmid-radnear-az135 + elmid-radnear-az270,elmid-radnear-az135,elmid-radnear-az270,8,0.915046600331389,0.9061765144277617,0.915046600331389,0.915046600331389,0.0,0.8977874490339373,0.8954718514806763,0.9069843068044472,0.8977874490339373,0.009196857770509936,0.9434846118092537,0.938303105533123,0.9464463368058205,0.9434846118092537,0.0029617249965667725,0.5,0.5,0.0
male,elhigh-radmid-az225 + ellow-radnear-az090,elhigh-radmid-az225,ellow-radnear-az090,8,0.8792660692709545,0.8621246112594614,0.9148563466167021,0.8792660692709545,0.0355902773457476,0.8789909766953583,0.9227899640507928,0.9318675493388682,0.9227899640507928,0.00907758528807534,0.9281012117862701,0.9539869725704193,0.9611705988645554,0.9539869725704193,0.007183626294136047,0.375,0.625,0.0
barrel,elmid-radmid-az000 + elmid-radmid-az180,elmid-radmid-az000,elmid-radmid-az180,8,0.8160947529301494,0.8029504352116494,0.8865337678880899,0.8160947529301494,0.07043901495794047,0.8577142990587916,0.8485837634963245,0.8667529870125845,0.8577142990587916,0.009038687953792923,0.9151414409279823,0.9159028232097626,0.9185703471302986,0.9159028232097626,0.0026675239205360413,0.375,0.625,0.0
barrel,elhigh-radnear-az225 + ellow-radfar-az135,elhigh-radnear-az225,ellow-radfar-az135,11,0.9056087663643932,0.7905248516150798,0.9273417209098479,0.9056087663643932,0.021732954545454652,0.8784047604239995,0.860686123287558,0.8873938915826578,0.8784047604239995,0.008989131158658292,0.9295607642693953,0.9253440553491766,0.934917151927948,0.9295607642693953,0.00535638765855273,0.7272727272727273,0.2727272727272727,0.0
suv,elhigh-radnear-az000 + elmid-radnear-az135,elhigh-radnear-az000,elmid-radnear-az135,12,0.9187172848803206,0.8927849874670435,0.9573549094810909,0.9187172848803206,0.03863762460077036,0.9273111070744097,0.9435650320804688,0.9524924092367767,0.9435650320804688,0.00892737715630787,0.9593987911939621,0.9687426090240479,0.9711364507675171,0.9687426090240479,0.0023938417434692383,0.4166666666666667,0.5833333333333334,0.0
barrel,elhigh-radfar-az090 + ellow-radfar-az000,elhigh-radfar-az090,ellow-radfar-az000,8,0.794027779802887,0.8024408909964631,0.8880133950980823,0.8024408909964631,0.0855725041016192,0.8110148528582379,0.8449457161554035,0.8537928768332987,0.8449457161554035,0.00884716067789526,0.9055276066064835,0.9022048339247704,0.9121124297380447,0.9055276066064835,0.006584823131561279,0.5,0.5,0.0
barrel,elmid-radfar-az225 + elmid-radmid-az090,elmid-radfar-az225,elmid-radmid-az090,8,0.8855804704420734,0.8935062769438243,0.9617176229703344,0.8935062769438243,0.06821134602651002,0.9068714174364332,0.9125536446762061,0.9213348513785227,0.9125536446762061,0.008781206702316524,0.9411063566803932,0.9495093151926994,0.9503635689616203,0.9495093151926994,0.0008542537689208984,0.25,0.75,0.0
barrel,ellow-radnear-az000 + elmid-radnear-az045,ellow-radnear-az000,elmid-radnear-az045,8,0.6859215183826894,0.9388392836254622,0.9388392836254622,0.9388392836254622,0.0,0.7000935380848481,0.9169639726364105,0.9257358220985843,0.9169639726364105,0.008771849462173797,0.7156812399625778,0.9490893632173538,0.9540570676326752,0.9490893632173538,0.00496770441532135,0.25,0.75,0.0
barrel,elhigh-radmid-az090 + elmid-radmid-az000,elhigh-radmid-az090,elmid-radmid-az000,10,0.8442938293250439,0.7843342721793614,0.902542659958322,0.8442938293250439,0.058248830633278015,0.8520623320186658,0.8836611367821068,0.8923038608210454,0.8836611367821068,0.00864272403893862,0.9172458350658417,0.938829118013382,0.9419046938419342,0.938829118013382,0.003075575828552224,0.3,0.7,0.0
