target_class,viewpoint_triple,viewpoint_1,viewpoint_2,viewpoint_3,scene_count,expected_pair_12_target_ap50_95,expected_pair_13_target_ap50_95,expected_pair_23_target_ap50_95,expected_best_pair_target_ap50_95_on_matched_scenes,best_pair_for_target_ap50_95,expected_triple_or_target_ap50_95,third_view_gain_target_ap50_95,expected_pair_12_target_strict_quality_iou50,expected_pair_13_target_strict_quality_iou50,expected_pair_23_target_strict_quality_iou50,expected_best_pair_target_strict_quality_iou50_on_matched_scenes,best_pair_for_target_strict_quality_iou50,expected_triple_or_target_strict_quality_iou50,third_view_gain_target_strict_quality_iou50
container,elhigh-radmid-az000 + elhigh-radnear-az135 + ellow-radfar-az135,elhigh-radmid-az000,elhigh-radnear-az135,ellow-radfar-az135,3,0.9600000003973643,0.9600000003973643,0.9535416667660077,0.9600000003973643,elhigh-radmid-az000 + elhigh-radnear-az135,0.9600000003973643,0.0,0.8885826926562691,0.8866886318617198,0.876468506087221,0.8885826926562691,elhigh-radmid-az000 + elhigh-radnear-az135,0.8885826926562691,0.0
male,elhigh-radmid-az315 + ellow-radfar-az000 + ellow-radmid-az000,elhigh-radmid-az315,ellow-radfar-az000,ellow-radmid-az000,3,0.9185185192911712,0.9666666666666667,0.9507575757801533,0.9666666666666667,elhigh-radmid-az315 + ellow-radmid-az000,0.9666666666666667,0.0,0.8707573406864219,0.888581385102705,0.888581385102705,0.888581385102705,elhigh-radmid-az315 + ellow-radmid-az000,0.888581385102705,0.0
barrel,elhigh-radmid-az270 + elmid-radfar-az180 + elmid-radnear-az180,elhigh-radmid-az270,elmid-radfar-az180,elmid-radnear-az180,3,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.9333333333333332,elhigh-radmid-az270 + elmid-radnear-az180,0.9333333333333332,0.0,0.845780837049548,0.8885325187969121,0.8885325187969121,0.8885325187969121,elhigh-radmid-az270 + elmid-radnear-az180,0.8885325187969121,0.0
barrel,elhigh-radfar-az000 + elhigh-radmid-az225 + elmid-radmid-az270,elhigh-radfar-az000,elhigh-radmid-az225,elmid-radmid-az270,3,0.9,0.9333333333333332,0.9333333333333332,0.9333333333333332,elhigh-radfar-az000 + elmid-radmid-az270,0.9333333333333332,0.0,0.850478721012923,0.888282598901912,0.877943724750402,0.888282598901912,elhigh-radfar-az000 + elmid-radmid-az270,0.888282598901912,0.0
male,ellow-radfar-az000 + ellow-radmid-az000 + ellow-radmid-az135,ellow-radfar-az000,ellow-radmid-az000,ellow-radmid-az135,3,0.576154401933863,0.8166666669150193,0.8166666669150193,0.8166666669150193,ellow-radfar-az000 + ellow-radmid-az135,0.8166666669150193,0.0,0.5767863227274006,0.8882728867407023,0.8882728867407023,0.8882728867407023,ellow-radfar-az000 + ellow-radmid-az135,0.8882728867407023,0.0
male,elhigh-radfar-az090 + ellow-radfar-az225 + ellow-radmid-az000,elhigh-radfar-az090,ellow-radfar-az225,ellow-radmid-az000,3,0.7824074127828632,0.9224761926077661,0.9224761926077661,0.9224761926077661,elhigh-radfar-az090 + ellow-radmid-az000,0.9224761926077661,0.0,0.8582164552923253,0.8882676006909414,0.8882676006909414,0.8882676006909414,elhigh-radfar-az090 + ellow-radmid-az000,0.8882676006909414,0.0
male,ellow-radfar-az000 + ellow-radfar-az225 + ellow-radmid-az000,ellow-radfar-az000,ellow-radfar-az225,ellow-radmid-az000,3,0.8257054664035257,0.9224761926077661,0.9224761926077661,0.9224761926077661,ellow-radfar-az000 + ellow-radmid-az000,0.9224761926077661,0.0,0.8607482474927105,0.8882676006909414,0.8882676006909414,0.8882676006909414,ellow-radfar-az000 + ellow-radmid-az000,0.8882676006909414,0.0
container,elhigh-radmid-az315 + ellow-radnear-az315 + elmid-radnear-az180,elhigh-radmid-az315,ellow-radnear-az315,elmid-radnear-az180,3,0.8666666666666667,0.8666666666666667,0.8562500000000001,0.8666666666666667,elhigh-radmid-az315 + ellow-radnear-az315,0.8666666666666667,0.0,0.8595697201237797,0.8867935155350253,0.8882590594609852,0.8882590594609852,ellow-radnear-az315 + elmid-radnear-az180,0.8882590594609852,0.0
male,ellow-radfar-az270 + ellow-radmid-az000 + elmid-radfar-az315,ellow-radfar-az270,ellow-radmid-az000,elmid-radfar-az315,3,0.8445609606492023,0.8445609630002743,0.843982686293224,0.8445609630002743,ellow-radfar-az270 + elmid-radfar-az315,0.9112276273158689,0.06666666431559465,0.888201379919399,0.8668486510359242,0.888201379919399,0.888201379919399,ellow-radfar-az270 + ellow-radmid-az000,0.888201379919399,0.0
male,elhigh-radmid-az225 + elmid-radfar-az135 + elmid-radmid-az045,elhigh-radmid-az225,elmid-radfar-az135,elmid-radmid-az045,3,0.928125,0.9333333333333332,0.8831111136542426,0.9333333333333332,elhigh-radmid-az225 + elmid-radmid-az045,0.9333333333333332,0.0,0.8763185019534679,0.8881248605475159,0.8881248605475159,0.8881248605475159,elhigh-radmid-az225 + elmid-radmid-az045,0.8881248605475159,0.0
barrel,elhigh-radmid-az090 + elhigh-radnear-az225 + ellow-radfar-az135,elhigh-radmid-az090,elhigh-radnear-az225,ellow-radfar-az135,3,0.9861904766694422,0.8145833333333333,0.9861904766694422,0.9861904766694422,elhigh-radmid-az090 + elhigh-radnear-az225,0.9861904766694422,0.0,0.8880314909100804,0.8389714068416639,0.8876331544720782,0.8880314909100804,elhigh-radmid-az090 + elhigh-radnear-az225,0.8880314909100804,0.0
male,elhigh-radmid-az225 + elhigh-radnear-az180 + ellow-radnear-az315,elhigh-radmid-az225,elhigh-radnear-az180,ellow-radnear-az315,3,0.9041666666666667,0.8666666666666667,0.890277777860562,0.9041666666666667,elhigh-radmid-az225 + elhigh-radnear-az180,0.9041666666666667,0.0,0.8764883932385802,0.874944355179616,0.8876346457101197,0.8876346457101197,elhigh-radnear-az180 + ellow-radnear-az315,0.8876346457101197,0.0
