viewpoint,elevation,radius,azimuth,completed_pair_count,avg_mAP50-95,avg_mAP50,avg_F1,best_pair_id_with_viewpoint,best_pair_mAP50-95_with_viewpoint
ellow-radfar-az180,ellow,radfar,180,71,0.42233183072588626,0.6464809022333173,0.6798113379742105,p1247,0.4857145697410744
ellow-radfar-az045,ellow,radfar,45,71,0.42231906889304194,0.6473938772747951,0.6821789386319644,p1092,0.49405858130707453
elhigh-radfar-az045,elhigh,radfar,45,70,0.4222432878052674,0.6259039828959917,0.6557069522914154,p0839,0.492081240087054
elmid-radnear-az045,elmid,radnear,45,71,0.4220473106005927,0.6228969675474543,0.6487213943361673,p0799,0.47956262304632885
ellow-radnear-az180,ellow,radnear,180,71,0.42178903264710543,0.6415167507254534,0.6756320247056281,p0308,0.4860439238627808
elhigh-radfar-az180,elhigh,radfar,180,70,0.41969671071939113,0.6209900012495178,0.6516065919372164,p0783,0.48403014560334595
elhigh-radfar-az225,elhigh,radfar,225,71,0.4195986224320554,0.6188607198745711,0.6494447329359998,p0069,0.48919904446075463
ellow-radmid-az090,ellow,radmid,90,71,0.4195612319287491,0.6391204586010182,0.6740842674917776,p0692,0.49509965121440075
ellow-radnear-az225,ellow,radnear,225,71,0.41920871221895784,0.642314584906839,0.6779101631561889,p0377,0.4847827563396486
ellow-radmid-az045,ellow,radmid,45,71,0.41882319624769465,0.6410217429910551,0.6760586982897953,p0631,0.4883918760554505
ellow-radfar-az000,ellow,radfar,0,71,0.4183656073709776,0.6436499587362676,0.6802765349887236,p1037,0.48913581011002
ellow-radmid-az270,ellow,radmid,270,70,0.41827030023158923,0.641782422235651,0.6771961640833072,p0926,0.4882588862288467
elmid-radnear-az090,elmid,radnear,90,71,0.4177961955868154,0.6150256448366707,0.6412834504652438,p1236,0.47617697647384544
ellow-radnear-az315,ellow,radnear,315,71,0.4177543010717827,0.6398577968005581,0.6740834145094663,p0502,0.4933872551586506
ellow-radfar-az270,ellow,radfar,270,71,0.4177236776913472,0.643229223719759,0.6779859990685417,p1345,0.48491026568813167
elmid-radnear-az180,elmid,radnear,180,71,0.4175595956948275,0.6153971448696423,0.6430959067682893,p0683,0.47542549259169264
elmid-radnear-az000,elmid,radnear,0,71,0.4174510348359379,0.6156916793694986,0.6420021595603621,p0798,0.48485860774162387
elmid-radnear-az270,elmid,radnear,270,71,0.4173418690465729,0.6141010876739028,0.6409482828236607,p1290,0.4775374535410852
elhigh-radmid-az180,elhigh,radmid,180,69,0.4173084752505342,0.615216824280918,0.644977787714859,p0654,0.48322620714892883
elhigh-radmid-az045,elhigh,radmid,45,70,0.4172024589369402,0.6159717187175028,0.6440575422882681,p1267,0.4852595458541855
ellow-radmid-az315,ellow,radmid,315,71,0.4169210682883894,0.6361967270109609,0.6721482232009033,p0978,0.48689530419439697
elhigh-radfar-az090,elhigh,radfar,90,69,0.41681603439491566,0.6184132931842816,0.6489783890295175,p0840,0.48486118420912894
elhigh-radmid-az225,elhigh,radmid,225,69,0.4165308921214368,0.6141625471110562,0.6441966665548272,p1115,0.4878931344524266
elhigh-radmid-az090,elhigh,radmid,90,67,0.41602822110803894,0.6151866747366073,0.6443344756222399,p0832,0.4825738629501512
ellow-radfar-az135,ellow,radfar,135,71,0.4158794463727572,0.6367250027314946,0.6716470084045882,p1196,0.4947533910926863
elhigh-radfar-az000,elhigh,radfar,0,69,0.4157943520115458,0.6197625206131595,0.6501190048205465,p0838,0.48477591028920647
ellow-radfar-az090,ellow,radfar,90,68,0.414955223929579,0.6383068017243317,0.673332910831869,p1145,0.49240799704043575
ellow-radfar-az315,ellow,radfar,315,71,0.41492275095061754,0.6396123391283921,0.6738668017174324,p1390,0.48787164318521764
elhigh-radfar-az135,elhigh,radfar,135,69,0.4147847317014156,0.6178062035682598,0.6477090518188343,p0899,0.47957102101036747
ellow-radmid-az135,ellow,radmid,135,71,0.41453053200373735,0.6328300324046641,0.6672128349370956,p0752,0.493520769959892
elmid-radnear-az135,elmid,radnear,135,71,0.4145115484145392,0.6111607983991425,0.6381958317446272,p0801,0.4742782311472666
elmid-radnear-az315,elmid,radnear,315,71,0.4141564282078207,0.6136455390713564,0.6404452303560666,p1241,0.47136691651589946
elhigh-radmid-az000,elhigh,radmid,0,71,0.41389183271186547,0.6131368088509694,0.6420427670358099,p0830,0.4855965634456038
ellow-radnear-az045,ellow,radnear,45,71,0.4138229517413609,0.6338425965444331,0.6695779087238228,p0107,0.4935459215385386
elhigh-radmid-az135,elhigh,radmid,135,70,0.4137792202388134,0.6143625484722305,0.6450862568760258,p0833,0.4856975983198173
ellow-radnear-az135,ellow,radnear,135,71,0.4136398352756772,0.6303390552998687,0.66478063006754,p0244,0.4893344954555174
elhigh-radnear-az225,elhigh,radnear,225,69,0.41292859669191345,0.6116121143768404,0.6404074112847009,p0827,0.48791205368000184
ellow-radnear-az090,ellow,radnear,90,71,0.41262170881482474,0.6313482798987881,0.6676366851477123,p0176,0.48424454358678537
elhigh-radfar-az315,elhigh,radfar,315,70,0.41230574770785866,0.6169941252007144,0.6486274838057536,p0345,0.47184229685092416
ellow-radnear-az270,ellow,radnear,270,71,0.4121500822352854,0.6287992171557234,0.6645165683765856,p0438,0.48734042377962916
elhigh-radfar-az270,elhigh,radfar,270,70,0.4115666757089675,0.6132407065632887,0.6450935041260659,p0844,0.4788415666373387
elhigh-radmid-az270,elhigh,radmid,270,70,0.4111446857122458,0.6099147303273305,0.6407386031617348,p1272,0.47974287496765305
elhigh-radnear-az180,elhigh,radnear,180,71,0.41012028191662114,0.6068282878103721,0.6369814753695549,p0826,0.47543050051291796
elhigh-radmid-az315,elhigh,radmid,315,70,0.4098073217823895,0.6131878270759953,0.6441770237403882,p0718,0.4742385707837607
elhigh-radnear-az090,elhigh,radnear,90,68,0.4075320304275249,0.6067953258083234,0.6367776974573794,p0824,0.4734233784989735
elhigh-radnear-az045,elhigh,radnear,45,71,0.40701899535428226,0.6054435332740543,0.6354104486238682,p1358,0.4785487778366779
elhigh-radnear-az135,elhigh,radnear,135,71,0.40682231082630027,0.6054775167078399,0.6359728977056944,p0825,0.4747675564557237
elhigh-radnear-az270,elhigh,radnear,270,68,0.4067871079476387,0.6074062760920762,0.6380698297774117,p0828,0.4720955460421542
elhigh-radnear-az000,elhigh,radnear,0,71,0.40649652404158876,0.6059162538805625,0.6349149469344679,p0822,0.4751810450377544
elhigh-radnear-az315,elhigh,radnear,315,71,0.4055461209938804,0.605184973729073,0.6355111258491838,p0829,0.47701918997458376
