viewpoint,scene_count,sample_count,target_visible_rate,target_found_rate,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,absent_view_count,false_alarm_rate_when_target_absent,manifest_train_images,manifest_val_images,manifest_test_images
elmid-radnear-az045,32,32,1.0,1.0,0.9156071375252578,0.9301019000916874,0.962074114009738,0,0.0,138,35,32
elmid-radnear-az090,31,31,1.0,1.0,0.910072295777202,0.8862058950874298,0.9342678881460621,0,0.0,150,24,31
elmid-radnear-az135,43,43,1.0,1.0,0.9075941350469103,0.9233566889723123,0.9531030044999234,0,0.0,142,20,43
elmid-radnear-az180,32,32,1.0,1.0,0.9379400283138873,0.9011725752692823,0.9366855788975954,0,0.0,144,29,32
elmid-radnear-az225,25,25,1.0,0.96,0.8680479174260464,0.8770919836021115,0.9161764550209045,0,0.0,146,34,25
elmid-radnear-az270,43,43,1.0,1.0,0.9136514213008092,0.9142447979608065,0.9512969338616659,0,0.0,134,28,43
elmid-radnear-az315,33,33,1.0,1.0,0.9613336250985963,0.9382882464153973,0.9618144324331572,0,0.0,142,30,33
elmid-radmid-az000,42,42,1.0,1.0,0.8731641982117042,0.887476872372253,0.9354027112325033,0,0.0,138,25,42
elmid-radmid-az045,35,35,1.0,1.0,0.9011834853674903,0.8989723176203146,0.9405283212661744,0,0.0,135,35,35
elmid-radmid-az090,29,29,1.0,1.0,0.896036854401307,0.904437681285708,0.9468219917396019,0,0.0,140,36,29
elmid-radmid-az135,20,20,1.0,1.0,0.920686990227785,0.894408380209289,0.9417726159095764,0,0.0,147,38,20
elmid-radmid-az180,31,31,1.0,1.0,0.8802653022140728,0.8778828076863948,0.9292256024576002,0,0.0,149,25,31
elmid-radmid-az225,22,22,0.9545454545454546,0.9545454545454546,0.8628814582432397,0.8436054753431896,0.8952814015475187,1,0.0,151,32,22
elmid-radmid-az270,40,40,1.0,1.0,0.907396100282624,0.9054478044083016,0.9472495675086975,0,0.0,138,27,40
elmid-radmid-az315,29,29,1.0,1.0,0.9118625298779983,0.8978907647064809,0.9468228611452826,0,0.0,146,30,29
elmid-radfar-az000,27,27,1.0,1.0,0.889695159327168,0.9085655512375765,0.9465464817153083,0,0.0,149,29,27
elmid-radfar-az045,30,30,1.0,1.0,0.8472065076405291,0.8581700453322131,0.9189962645371755,0,0.0,139,36,30
elmid-radfar-az090,29,29,1.0,1.0,0.8402039547341753,0.8623881413460452,0.926037399933256,0,0.0,139,37,29
elmid-radfar-az135,31,31,1.0,1.0,0.8151140521115922,0.8436586868839523,0.9264703392982483,0,0.0,146,28,31
elmid-radfar-az180,26,26,1.0,1.0,0.8589781461913764,0.8790350391536739,0.9313358779136951,0,0.0,151,28,26
elmid-radfar-az225,36,36,1.0,1.0,0.876669020604217,0.8979020610527405,0.9380710754129622,0,0.0,133,36,36
elmid-radfar-az270,26,26,1.0,1.0,0.8874455977807689,0.884992142983688,0.9309246150346903,0,0.0,145,34,26
elmid-radfar-az315,26,26,1.0,1.0,0.8540764147739766,0.8770846934049266,0.9253868414805486,0,0.0,148,31,26
elhigh-radnear-az000,34,34,1.0,1.0,0.937761748385335,0.9290929259368824,0.9580160677433014,0,0.0,141,30,34
elhigh-radnear-az045,23,23,1.0,1.0,0.8968312648661896,0.8846867204114461,0.9347101216730864,0,0.0,152,30,23
elhigh-radnear-az090,28,28,1.0,1.0,0.8869025083150833,0.874549699964973,0.9329765502895627,0,0.0,141,36,28
elhigh-radnear-az135,32,32,1.0,1.0,0.8862360495007375,0.8773791921258101,0.9316034652292728,0,0.0,137,36,32
elhigh-radnear-az180,31,31,1.0,1.0,0.9207228772577426,0.8977822678377404,0.9382830300638753,0,0.0,146,28,31
elhigh-radnear-az225,36,36,1.0,1.0,0.931466464078558,0.9026729541798686,0.9442787882354524,0,0.0,131,38,36
elhigh-radnear-az270,30,30,1.0,1.0,0.8763905435406342,0.8483381288919658,0.9018566066166386,0,0.0,143,32,30
elhigh-radnear-az315,29,29,1.0,1.0,0.8772979538609688,0.8760953887108824,0.929316808437479,0,0.0,140,36,29
elhigh-radmid-az000,43,43,1.0,1.0,0.9127047946512323,0.8829026711182688,0.9319229292315107,0,0.0,137,25,43
elhigh-radmid-az045,30,30,1.0,1.0,0.873074802102382,0.8720404103543078,0.930583902200063,0,0.0,147,28,30
elhigh-radmid-az090,34,34,1.0,1.0,0.8665778465507001,0.8527259063822877,0.9228391314254087,0,0.0,141,30,34
elhigh-radmid-az135,30,30,1.0,1.0,0.8749052672054732,0.8595280264673113,0.9195713182290395,0,0.0,141,34,30
elhigh-radmid-az180,30,30,1.0,1.0,0.8949080103836823,0.8782861484483468,0.929916630188624,0,0.0,136,39,30
elhigh-radmid-az225,36,36,1.0,1.0,0.914632626465496,0.8941819787064256,0.9385479936997095,0,0.0,130,39,36
elhigh-radmid-az270,27,27,1.0,1.0,0.8543867929123967,0.8405034649605255,0.9116429841076886,0,0.0,147,31,27
