viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
elmid-radmid-az135,0.980493,0.965223,0.900688,0.919046,0.959044,0.971098,0.788031,0.868916,0.973125,0.887770,0.933169,0.716163,,0.932963,0.933268,0.967982,0.936764,0.965876,0.896702,0.802854,0.968383,0.981669,0.843382,0.990403,0.972577,0.970373,0.873923,0.976190,0.846703,0.981291,0.940587,0.979671,0.974107,0.926502,0.976473,0.894408,0.950477,,0.952872,0.945136,0.938772,0.933444,0.849176,0.961938,0.978450,0.955797,0.778271,0.971841,0.976778,0.956483,0.914318,0.886043,0.910101,0.972145,0.966264,0.836528,0.963814,0.977740,0.913752,0.978530,0.960692,0.906417,0.981137,0.885749,0.964790,0.971659,0.937673,0.977845,0.906401,0.919361,0.968090,0.974739
elmid-radmid-az180,0.961201,0.942705,0.971901,0.963414,0.891381,0.944729,0.956940,0.909375,0.469515,0.949612,0.815297,0.964067,0.962172,0.962979,0.919405,0.973942,0.756252,0.958805,0.855053,0.877094,0.885784,0.916976,0.944247,0.804929,0.955462,0.938678,0.902689,0.927124,0.967210,0.974993,0.929619,0.982839,0.918359,0.908025,0.847515,0.950477,0.877883,0.973116,0.944606,0.919133,0.938690,0.892699,0.905783,0.962755,0.979502,0.932326,0.913315,0.966877,0.965577,0.917956,0.780657,0.944818,0.901674,0.975447,0.915260,0.945319,0.938577,0.944345,0.941802,0.965722,0.943657,0.952713,0.970927,0.973505,0.947950,0.956404,0.958301,0.955477,0.947453,0.974061,0.923654,0.977417
elmid-radmid-az225,0.871089,0.949358,0.977581,0.975439,0.973382,0.955945,0.986664,0.979590,0.847121,0.929200,0.942058,0.974202,0.769629,0.973097,0.637307,0.948767,0.795253,0.894659,0.971696,0.791351,0.943429,0.879708,0.636676,0.758484,0.983862,0.846936,0.882504,0.972795,0.959297,0.584126,0.981112,0.887768,0.919688,0.954005,0.903216,,0.973116,0.843605,0.974610,0.944621,0.934792,0.909019,0.739249,0.910210,0.871428,0.902232,0.952210,0.822076,0.986555,0.903998,0.964108,0.913255,0.967135,0.977575,0.683903,0.931048,0.894385,0.934514,0.931686,0.810322,0.903106,0.956394,0.710846,0.943803,0.968839,0.889245,0.842264,0.968824,0.961918,0.928773,0.967318,0.986173
elmid-radmid-az270,0.950291,0.883572,0.940079,0.976035,0.956892,0.964405,0.910169,0.978943,0.949649,0.867510,0.972230,0.945427,0.962748,0.791344,0.973386,0.975035,0.887629,0.932360,0.928632,0.853177,0.951394,0.945351,0.923683,0.978253,0.976742,0.961225,0.976103,0.956571,0.965127,0.981405,0.954109,0.949488,0.940707,0.948497,0.952120,0.952872,0.944606,0.974610,0.905448,0.947125,0.974051,0.949620,0.926074,0.922968,0.918624,0.967857,0.975232,0.944616,0.967302,0.971453,0.920112,0.974709,0.981885,0.944664,0.930689,0.975123,0.949068,0.967668,0.934636,0.890380,0.940724,0.934650,0.954190,0.974712,0.955871,0.961622,0.976050,0.896338,0.966900,0.938083,0.966918,0.963991
elmid-radmid-az315,0.975159,0.939114,0.946404,0.971580,0.892853,0.934311,0.952863,0.909969,0.949762,0.916784,0.976599,0.977911,0.937527,0.875308,0.911162,0.957083,0.910741,0.970987,0.973308,0.959108,0.946191,0.958088,0.952766,0.896719,0.987419,0.965111,0.859683,0.959226,0.942870,0.990136,0.959279,0.975643,0.943974,0.947672,0.916831,0.945136,0.919133,0.944621,0.947125,0.897891,0.948036,0.944186,0.928703,0.970138,0.923653,0.953162,0.977948,0.938793,0.969136,0.917350,0.969250,0.883436,0.977230,0.976238,0.934821,0.976221,0.931099,0.953071,0.969709,0.862045,0.978530,0.960795,0.910367,,0.971267,0.984854,0.947001,0.945376,0.923355,0.934149,0.948443,0.958294
elmid-radfar-az000,0.969417,0.864563,0.978627,0.973392,0.970950,0.980453,0.965684,0.979917,0.898756,0.853735,0.957069,0.972131,0.935055,0.970602,0.968797,0.964411,0.795031,0.826375,0.804050,0.951680,0.926213,0.955220,0.968721,0.969163,0.985100,0.980524,0.949836,0.962699,0.955600,0.987485,0.957146,0.985521,0.959618,0.940102,0.951767,0.938772,0.938690,0.934792,0.974051,0.948036,0.908566,0.902364,0.934796,0.964353,0.918029,0.963383,0.965400,0.970548,0.983673,0.911839,0.961474,0.957042,0.957254,0.971794,0.983930,0.980309,0.905086,0.965805,0.942167,0.931439,0.979434,0.976198,0.891944,0.966400,0.955573,0.964380,0.946110,0.962896,0.929518,0.974289,0.932191,0.971127
elmid-radfar-az045,0.925656,0.956164,0.926272,0.950489,0.957494,0.898286,0.912202,0.878765,0.881245,0.960592,0.922791,0.936256,0.774431,0.958947,0.932306,0.965110,0.895958,0.921832,0.772880,0.910631,0.968489,0.868207,0.817328,0.750334,0.961925,0.938337,0.868641,0.976935,0.855730,0.959779,0.917480,0.924259,0.945683,0.943084,0.917673,0.933444,0.892699,0.909019,0.949620,0.944186,0.902364,0.858170,0.934961,0.908381,0.971780,0.922524,0.898605,0.913889,0.973637,0.808973,0.896747,0.832260,0.899780,0.970018,0.893629,0.833889,0.969448,0.907254,0.901488,0.900128,0.966229,0.917165,0.912200,0.861242,0.897951,0.905782,0.973520,0.978540,0.899337,0.965541,0.977320,0.939453
elmid-radfar-az090,0.826734,0.934243,0.879238,0.955944,0.959858,,0.941339,0.931004,0.868363,0.854723,0.812718,0.929688,0.717804,0.811588,0.967450,0.971704,0.789092,0.855195,0.909459,0.916918,0.941626,0.850013,0.714328,0.763221,0.974563,0.930812,0.890584,0.947780,0.918730,0.841827,0.942766,0.984558,0.936448,0.842867,0.897990,0.849176,0.905783,0.739249,0.926074,0.928703,0.934796,0.934961,0.862388,0.872831,0.859991,0.921496,0.966707,0.974796,0.965111,0.962519,0.868762,0.926086,0.967991,0.868941,0.933951,0.893151,0.965055,0.962380,0.981462,0.903202,0.919042,0.910459,0.922632,,0.858671,0.927612,0.889179,0.961298,0.988291,,,0.944937
elmid-radfar-az135,0.888893,0.949199,0.931885,0.974826,0.968475,0.949303,0.877903,0.910192,0.880120,0.875645,0.929429,0.882515,0.985914,0.858015,0.943801,0.961389,0.888123,0.832975,0.921437,0.824778,0.334575,0.918082,0.718397,0.856070,0.934600,0.922065,0.902766,0.961385,0.920565,0.883137,0.977094,0.960232,0.921345,0.932840,0.966717,0.961938,0.962755,0.910210,0.922968,0.970138,0.964353,0.908381,0.872831,0.843659,0.916868,0.944352,0.938483,0.825345,0.925214,0.973599,0.857252,0.921033,0.937395,0.918860,0.828719,0.881970,0.927908,0.919576,0.902101,0.895146,0.905756,0.920340,0.872938,0.906005,0.930573,0.881273,0.859421,0.948227,0.967793,0.898565,0.957756,0.884359
elmid-radfar-az180,0.799404,0.948941,0.944504,0.972686,0.910973,0.980784,0.713641,0.929097,0.914876,0.917066,,0.798335,0.899759,0.759898,0.971184,0.980365,0.910382,0.918376,0.904424,0.973913,0.851910,0.765642,0.849938,0.973670,0.980866,0.972598,0.977653,0.932831,0.939475,0.966233,0.914204,0.982395,0.914995,0.950063,0.943263,0.978450,0.979502,0.871428,0.918624,0.923653,0.918029,0.971780,0.859991,0.916868,0.879035,0.962561,,0.919762,0.982428,0.948963,0.916912,0.971846,0.972021,0.944417,0.957574,0.893843,0.884050,0.966460,0.919844,0.915261,0.946778,0.942859,0.873646,0.977833,0.969702,0.906951,0.972110,0.975528,0.971027,0.948683,0.963437,0.984974
