rank_within_drone_count,drone_count,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,sample_count,scene_count,dominant_target_class,dominant_target_class_count,elevation_pattern,radius_pattern,unique_elevation_count,unique_radius_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,target_visible_any_rate,target_visible_all_rate,target_found_or_rate,target_found_majority_rate,target_found_all_rate,mean_best_target_ap50_95,mean_mean_target_ap50_95,mean_best_strict_quality,mean_mean_strict_quality,mean_best_match_confidence_iou50,mean_mean_match_confidence_iou50,best_constituent_mean_strict_quality_on_matched_scenes,complementarity_vs_best_single_strict_quality,best_constituent_mean_ap50_95_on_matched_scenes,complementarity_vs_best_single_ap50_95,mean_absent_view_count,selected_has_absent_view_rate,all_selected_views_absent_rate,false_alarm_rate_when_any_selected_view_absent,false_alarm_rate_when_all_selected_views_absent,fusion_sample_count,fusion_mean_best_box_quality,fusion_mean_fused_quality_noisy_or_max_iou,fusion_mean_fused_quality_support_weighted_or,fusion_mean_gain_noisy_vs_best,fusion_mean_gain_support_vs_best,fusion_mean_support_ratio
13,1,elmid-radmid-az270,elmid-radmid-az270,,,40,40,tree,8,mid,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9073961002826237,0.9073961002826237,0.9054478044083016,0.9054478044083016,0.9472495675086975,0.9472495675086975,0.9054478044083016,0.0,0.9073961002826237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,1,elmid-radmid-az090,elmid-radmid-az090,,,29,29,container,9,mid,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8960368544013069,0.8960368544013069,0.904437681285708,0.904437681285708,0.9468219917396019,0.9468219917396019,0.904437681285708,0.0,0.8960368544013069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,1,elhigh-radnear-az225,elhigh-radnear-az225,,,36,36,rock,5,high,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.931466464078558,0.931466464078558,0.9026729541798686,0.9026729541798686,0.9442787882354524,0.9442787882354524,0.9026729541798686,0.0,0.931466464078558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
16,1,elmid-radnear-az180,elmid-radnear-az180,,,32,32,container,6,mid,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9379400283138875,0.9379400283138875,0.9011725752692823,0.9011725752692823,0.9366855788975954,0.9366855788975954,0.9011725752692823,0.0,0.9379400283138875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
17,1,elhigh-radfar-az135,elhigh-radfar-az135,,,25,25,tree,7,high,far,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9031716113134105,0.9031716113134105,0.9000449884349474,0.9000449884349474,0.9410389041900635,0.9410389041900635,0.9000449884349474,0.0,0.9031716113134105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
18,1,elmid-radmid-az045,elmid-radmid-az045,,,35,35,male,6,mid,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9011834853674903,0.9011834853674903,0.8989723176203146,0.8989723176203146,0.9405283212661744,0.9405283212661744,0.8989723176203146,0.0,0.9011834853674903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
19,1,elmid-radfar-az225,elmid-radfar-az225,,,36,36,barrel,5,mid,far,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.8766690206042168,0.8766690206042168,0.8979020610527405,0.8979020610527405,0.9380710754129622,0.9380710754129622,0.8979020610527405,0.0,0.8766690206042168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
20,1,elmid-radmid-az315,elmid-radmid-az315,,,29,29,barrel,5,mid,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9118625298779984,0.9118625298779984,0.8978907647064809,0.8978907647064809,0.9468228611452826,0.9468228611452826,0.8978907647064809,0.0,0.9118625298779984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
21,1,elhigh-radnear-az180,elhigh-radnear-az180,,,31,31,container,5,high,near,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9207228772577426,0.9207228772577426,0.8977822678377404,0.8977822678377404,0.9382830300638753,0.9382830300638753,0.8977822678377404,0.0,0.9207228772577426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
22,1,ellow-radnear-az045,ellow-radnear-az045,,,32,32,container,5,low,near,1,1,0,0.0,0.96875,0.96875,0.96875,0.96875,0.96875,0.7916880877488964,0.7916880877488964,0.8971224627147438,0.8971224627147438,0.9269900098443031,0.9269900098443031,0.8971224627147438,0.0,0.7916880877488964,0.0,0.03125,0.03125,0.03125,0.0,0.0,0.0,,,,,,
23,1,elmid-radmid-az135,elmid-radmid-az135,,,20,20,suv,4,mid,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.920686990227785,0.920686990227785,0.894408380209289,0.894408380209289,0.9417726159095764,0.9417726159095764,0.894408380209289,0.0,0.920686990227785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
24,1,elhigh-radmid-az225,elhigh-radmid-az225,,,36,36,tank,7,high,mid,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9146326264654958,0.9146326264654958,0.8941819787064256,0.8941819787064256,0.9385479936997095,0.9385479936997095,0.8941819787064256,0.0,0.9146326264654958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
25,1,elhigh-radfar-az270,elhigh-radfar-az270,,,30,30,tree,6,high,far,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9324050908740897,0.9324050908740897,0.8940785628099618,0.8940785628099618,0.9391388893127441,0.9391388893127441,0.8940785628099618,0.0,0.9324050908740897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,2,ellow-radnear-az270 + elmid-radmid-az225,ellow-radnear-az270,elmid-radmid-az225,,3,3,whitevan,2,low + mid,near + mid,2,2,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8892361127150555,0.9741215624092637,0.963786269613306,0.9813693364461263,0.9762584467728933,0.9741215624092637,0.0,0.99375,0.006249999999999978,0.0,0.0,0.0,0.0,0.0,3.0,0.9741215624092637,0.9920763840822375,0.9866638052518253,0.017954821672973797,0.012542242842561705,1.0
2,2,ellow-radnear-az225 + elmid-radfar-az315,ellow-radnear-az225,elmid-radfar-az315,,3,3,rock,1,low + mid,near + far,2,2,90,90.0,1.0,1.0,1.0,1.0,1.0,0.9589285710501292,0.8833223126705151,0.9735573281241857,0.9608243569458382,0.9851222634315491,0.9782918592294058,0.9735573281241857,0.0,0.8874779586743635,0.07145061237576567,0.0,0.0,0.0,0.0,0.0,3.0,0.9735573281241857,0.9878172654978,0.981679674148847,0.01425993737361427,0.00812234602466122,1.0
3,2,ellow-radnear-az270 + ellow-radmid-az315,ellow-radnear-az270,ellow-radmid-az315,,4,4,container,1,low + low,near + mid,1,2,45,45.0,1.0,1.0,1.0,1.0,1.0,0.9762561589635431,0.9533820670031778,0.9721191285204203,0.9578762923513713,0.9809820652008057,0.97592643648386,0.9666856615612147,0.005433466959205546,0.9762561589635431,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9721191285204203,0.9904074879302545,0.9808782284372086,0.0182883594098342,0.008759099916788304,1.0
4,2,elmid-radnear-az270 + elmid-radnear-az315,elmid-radnear-az270,elmid-radnear-az315,,4,4,tower,2,mid + mid,near + near,1,1,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993750000372529,0.9717282039670474,0.9684816854654761,0.9814457595348358,0.9800370782613754,0.9693855202543551,0.002342683712692306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9717282039670474,0.9905904984992178,0.987801269747108,0.018862294532170254,0.016073065780060625,1.0
5,2,elmid-radnear-az045 + elhigh-radfar-az180,elmid-radnear-az045,elhigh-radfar-az180,,4,4,tent,2,mid + high,near + far,2,2,135,135.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9716811785622355,0.960732545725461,0.9807388633489609,0.9747132062911987,0.9716811785622355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9716811785622355,0.9901568179791795,0.9850029991296959,0.018475639416944106,0.013321820567460535,1.0
6,2,ellow-radnear-az045 + elmid-radnear-az225,ellow-radnear-az045,elmid-radnear-az225,,5,5,tent,2,low + mid,near + near,2,1,180,180.0,1.0,1.0,1.0,1.0,1.0,0.9252395847957168,0.9152258556274265,0.971016504926807,0.9643031248770008,0.9823014616966248,0.9775866210460663,0.9692149808271566,0.0018015240996503978,0.9252395847957168,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.971016504926807,0.9901361698377503,0.9859467074573836,0.019119664910943125,0.014930202530576597,1.0
7,2,ellow-radnear-az180 + ellow-radnear-az270,ellow-radnear-az180,ellow-radnear-az270,,3,3,tent,1,low + low,near + near,1,1,90,90.0,1.0,1.0,1.0,1.0,1.0,0.963888889675339,0.8832744113945713,0.9709608361569811,0.9504920766033423,0.9804932673772176,0.9787628551324209,0.9582047062018226,0.012756129955158513,0.8896969698369502,0.0741919198383888,0.0,0.0,0.0,0.0,0.0,3.0,0.9709608361569811,0.989830677796974,0.9706647674113774,0.018869841639992835,-0.00029606874560369106,1.0
8,2,ellow-radmid-az315 + elmid-radnear-az045,ellow-radmid-az315,elmid-radnear-az045,,3,3,rock,1,low + mid,near + mid,2,2,90,90.0,1.0,1.0,1.0,1.0,1.0,0.9331481491547194,0.9270166892028122,0.9705433975375151,0.9617846661465345,0.9813239773114523,0.9757308959960938,0.9650472513021905,0.005496146235324573,0.9331481491547194,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9705433975375151,0.9884490423820925,0.9851139103442949,0.017905644844577424,0.01457051280677979,1.0
9,2,ellow-radnear-az135 + ellow-radfar-az270,ellow-radnear-az135,ellow-radfar-az270,,3,3,rock,2,low + low,near + far,1,2,135,135.0,1.0,1.0,1.0,1.0,1.0,0.9247747781924209,0.8085599874353924,0.9701355882948649,0.9473511737822129,0.9789625207583109,0.9700966477394104,0.9701355882948649,0.0,0.8533217842463506,0.0714529939460703,0.0,0.0,0.0,0.0,0.0,3.0,0.9701355882948649,0.9902002604171504,0.9756597657783539,0.020064672122285392,0.005524177483488879,1.0
10,2,ellow-radnear-az135 + elmid-radnear-az315,ellow-radnear-az135,elmid-radnear-az315,,6,6,rock,2,low + mid,near + near,2,1,180,180.0,1.0,1.0,1.0,1.0,1.0,0.9711752138721446,0.9159927004813734,0.970089366672075,0.9623899651268625,0.9818405508995056,0.9778569688399633,0.9677717872978194,0.002317579374255585,0.9461057711123592,0.0250694427597854,0.0,0.0,0.0,0.0,0.0,6.0,0.970089366672075,0.9881852054987975,0.9836849343153752,0.0180958388267225,0.013595567643300185,1.0
11,2,ellow-radmid-az000 + elmid-radnear-az045,ellow-radmid-az000,elmid-radnear-az045,,4,4,rock,2,low + mid,near + mid,2,2,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8810069456753424,0.9700059924028537,0.9559010841885662,0.9807537794113159,0.97418462485075,0.9700059924028537,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9700059924028537,0.9894138391236078,0.980484470277794,0.0194078467207541,0.010478477874940217,1.0
12,2,ellow-radnear-az270 + ellow-radfar-az045,ellow-radnear-az270,ellow-radfar-az045,,3,3,tree,2,low + low,near + far,1,2,135,135.0,1.0,1.0,1.0,1.0,1.0,0.90734396672375,0.7955859389111825,0.9699278959445105,0.9385168687768424,0.9808221459388733,0.9672419428825378,0.9603936461528212,0.009534249791689264,0.90734396672375,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9699278959445105,0.9880567148748707,0.9691345031047752,0.01812881893036015,-0.0007933928397351556,1.0
13,2,ellow-radnear-az000 + ellow-radnear-az045,ellow-radnear-az000,ellow-radnear-az045,,4,4,container,2,low + low,near + near,1,1,45,45.0,1.0,1.0,1.0,1.0,1.0,0.9175947006836984,0.8184849913868383,0.9696752139306284,0.9599822680283658,0.9825777113437653,0.9788932502269745,0.9632806790892561,0.006394534841372312,0.8874680367653789,0.03012666391831953,0.0,0.0,0.0,0.0,0.0,4.0,0.9696752139306284,0.9884318467308272,0.980219322849762,0.018756632800198764,0.010544108919133571,1.0
14,2,ellow-radnear-az090 + elmid-radnear-az225,ellow-radnear-az090,elmid-radnear-az225,,3,3,rock,1,low + mid,near + near,2,1,135,135.0,1.0,1.0,1.0,1.0,1.0,0.9006307873564462,0.8816271237459862,0.9695675582470358,0.9587282612922081,0.979634702205658,0.9743925730387369,0.9611727555426839,0.00839480270435189,0.8841512346640229,0.016479552692423294,0.0,0.0,0.0,0.0,0.0,3.0,0.9695675582470358,0.9891005779306276,0.983272333903081,0.01953301968359174,0.013704775656045257,1.0
15,2,ellow-radnear-az090 + elmid-radnear-az000,ellow-radnear-az090,elmid-radnear-az000,,5,5,rock,1,low + mid,near + near,2,1,90,90.0,1.0,1.0,1.0,1.0,1.0,0.967733333787322,0.9054465283297002,0.9692498464786403,0.9604286451810982,0.980106794834137,0.9746404767036438,0.9662033256274369,0.0030465208512033826,0.9457541676670314,0.021979166120290605,0.0,0.0,0.0,0.0,0.0,5.0,0.9692498464786403,0.9897193052244356,0.9847710709234277,0.02046945874579522,0.015521224444787318,1.0
16,2,ellow-radnear-az270 + ellow-radnear-az315,ellow-radnear-az270,ellow-radnear-az315,,5,5,whitevan,2,low + low,near + near,1,1,45,45.0,1.0,1.0,1.0,1.0,1.0,0.9910000000149012,0.8723872558772564,0.9690969220185615,0.9575205677822509,0.9800904870033265,0.9757913231849671,0.9598279185520617,0.009269003466499726,0.8939411764964461,0.09705882351845507,0.0,0.0,0.0,0.0,0.0,5.0,0.9690969220185615,0.989851666728992,0.9806460652264357,0.020754744710430616,0.011549143207874235,1.0
17,2,ellow-radnear-az270 + elhigh-radmid-az000,ellow-radnear-az270,elhigh-radmid-az000,,4,4,suv,1,low + high,near + mid,2,2,90,90.0,1.0,1.0,1.0,1.0,1.0,0.984375,0.8848342806333676,0.9689691091182615,0.9459723798036443,0.9763502329587936,0.9666502103209496,0.9689691091182615,0.0,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9689691091182615,0.9912801639484788,0.9771562403672872,0.022311054830217336,0.008187131249025786,1.0
18,2,elmid-radnear-az270 + elmid-radfar-az225,elmid-radnear-az270,elmid-radfar-az225,,3,3,tent,2,mid + mid,near + far,1,2,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9555494232450922,0.9688065690387369,0.9583585510856896,0.9824919501940409,0.9774259130160013,0.968585341705713,0.00022122733302387676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9688065690387369,0.9868200481497746,0.9799707691517021,0.01801347911103779,0.011164200112965187,1.0
19,2,ellow-radnear-az045 + elhigh-radfar-az090,ellow-radnear-az045,elhigh-radfar-az090,,3,3,rock,1,low + high,near + far,2,2,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925925931444874,0.9687087031824421,0.9588154399541094,0.9808920423189799,0.9759583870569865,0.9687087031824421,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9687087031824421,0.9877739389397305,0.9818427557045548,0.019065235757288506,0.013134052522112749,1.0
20,2,ellow-radnear-az315 + elmid-radnear-az270,ellow-radnear-az315,elmid-radnear-az270,,4,4,container,1,low + mid,near + near,2,1,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9773958338548739,0.9686865400670035,0.9610354623522381,0.980100616812706,0.9776923134922981,0.9639845876210424,0.004701952445961055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9686865400670035,0.9888079640328007,0.9824303330436527,0.02012142396579722,0.013743792976649155,1.0
21,2,ellow-radnear-az000 + elmid-radnear-az315,ellow-radnear-az000,elmid-radnear-az315,,5,5,tower,2,low + mid,near + near,2,1,45,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9239943441189826,0.9685748033498214,0.9671321678559902,0.9806139707565308,0.9787468254566193,0.968157358670144,0.0004174446796774145,0.974576923288405,0.02542307671159505,0.0,0.0,0.0,0.0,0.0,5.0,0.9685748033498214,0.9891803525840231,0.987678553059674,0.02060554923420177,0.01910374970985258,1.0
22,2,elmid-radnear-az045 + elhigh-radnear-az180,elmid-radnear-az045,elhigh-radnear-az180,,3,3,rock,2,mid + high,near + near,2,1,135,135.0,1.0,1.0,1.0,1.0,1.0,0.9925925931444874,0.9334837968081787,0.9683695726271146,0.9622352600402989,0.977325956026713,0.9740026692549387,0.9651648172573696,0.0032047553697450715,0.9925925931444874,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9683695726271146,0.990175096294307,0.9872501858320087,0.021805523667192277,0.018880613204894054,1.0
23,2,ellow-radnear-az270 + elmid-radnear-az000,ellow-radnear-az270,elmid-radnear-az000,,7,7,tree,3,low + mid,near + near,2,1,90,90.0,1.0,1.0,1.0,1.0,1.0,0.949751082648124,0.8509444924973187,0.9683453519664985,0.9659637530506993,0.9794882195336478,0.9771890555109296,0.9683453519664985,0.0,0.9152529792594057,0.03449810338871828,0.0,0.0,0.0,0.0,0.0,7.0,0.9683453519664985,0.9905110106375156,0.9879504109972956,0.0221656586710171,0.019605059030797217,1.0
24,2,elmid-radnear-az225 + elmid-radmid-az000,elmid-radnear-az225,elmid-radmid-az000,,4,4,rock,1,mid + mid,near + mid,1,2,135,135.0,1.0,1.0,1.0,1.0,1.0,1.0,0.979166666790843,0.9681779405843427,0.9608083344827443,0.9801129847764969,0.9771221578121185,0.9651645599531111,0.003013380631231577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9681779405843427,0.9872940543781961,0.9827583739843286,0.019116113793853362,0.014580433399986048,1.0
25,2,ellow-radnear-az090 + ellow-radfar-az315,ellow-radnear-az090,ellow-radfar-az315,,5,5,tower,2,low + low,near + far,1,2,135,135.0,1.0,1.0,1.0,1.0,1.0,0.9625000011920928,0.8940277783945202,0.9680513970288139,0.867722255368205,0.9806266665458679,0.882414884865284,0.9680513970288139,0.0,0.9055555555969477,0.05694444559514511,0.0,0.0,0.0,0.0,0.0,5.0,0.9680513970288139,0.9823341535574901,0.9586870390243465,0.014282756528676143,-0.009364358004467355,1.0
1,3,ellow-radnear-az225 + elmid-radnear-az315 + elhigh-radfar-az270,ellow-radnear-az225,elmid-radnear-az315,elhigh-radfar-az270,3,3,tent,2,low + mid + high,near + near + far,3,2,90,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973333335187698,0.9759036128966135,0.9583386477788326,0.9843876163164774,0.9743444853358798,0.9723740932023665,0.0035295196942470852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9759036128966135,0.9913721993462383,0.9834033402500727,0.015468586449624825,0.007499727353459236,1.0
2,3,ellow-radnear-az270 + elmid-radmid-az180 + elhigh-radnear-az135,ellow-radnear-az270,elmid-radmid-az180,elhigh-radnear-az135,3,3,container,1,low + mid + high,near + near + mid,3,2,135,90.0,1.0,1.0,1.0,1.0,1.0,0.9809523822296233,0.9445181490107714,0.9754246747119429,0.9607048593135189,0.9836385250091553,0.976678748925527,0.9754246747119429,0.0,0.9604662712840805,0.020486110945542868,0.0,0.0,0.0,0.0,0.0,3.0,0.9754246747119429,0.9916409546248025,0.9835975156576376,0.016216279912859604,0.008172840945694778,1.0
3,3,ellow-radnear-az225 + ellow-radfar-az180 + elhigh-radnear-az225,ellow-radnear-az225,ellow-radfar-az180,elhigh-radnear-az225,3,3,rock,1,low + low + high,near + near + far,2,2,45,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9462301596526116,0.9754061942646111,0.9623373185454613,0.9846282402674357,0.9784711599349976,0.9716798074792076,0.0037263867854034904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9754061942646111,0.9911387241907178,0.9834833052306894,0.015732529926106704,0.008077110966078363,1.0
4,3,ellow-radnear-az225 + ellow-radfar-az180 + elhigh-radfar-az315,ellow-radnear-az225,ellow-radfar-az180,elhigh-radfar-az315,3,3,rock,1,low + low + high,near + far + far,2,2,135,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444338640009283,0.9753926195006848,0.9613929064094511,0.9846171538035074,0.9769074453247919,0.9716662327152813,0.0037263867854034904,0.9960000002781549,0.00399999972184506,0.0,0.0,0.0,0.0,0.0,3.0,0.9753926195006848,0.9906206480674776,0.9840815317216945,0.015228028566792803,0.00868891222100987,1.0
5,3,ellow-radnear-az225 + ellow-radmid-az225 + ellow-radfar-az180,ellow-radnear-az225,ellow-radmid-az225,ellow-radfar-az180,3,3,rock,1,low + low + low,near + mid + far,1,3,45,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9134215184701918,0.9753926195006848,0.9654040472277418,0.9853591521581014,0.9795790513356527,0.9716662327152813,0.0037263867854034904,0.9777777794334623,0.022222220566537665,0.0,0.0,0.0,0.0,0.0,3.0,0.9753926195006848,0.9911134917114724,0.9855010776292854,0.015720872210787773,0.01010845812860058,1.0
6,3,ellow-radnear-az225 + elmid-radnear-az315 + elhigh-radnear-az225,ellow-radnear-az225,elmid-radnear-az315,elhigh-radnear-az225,3,3,rock,1,low + mid + high,near + near + near,3,1,90,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9605982928797391,0.9753151523071656,0.9624152064126896,0.9843501249949137,0.9775736795531378,0.9700969513232991,0.0052182009838664944,0.9916666666666667,0.008333333333333304,0.0,0.0,0.0,0.0,0.0,3.0,0.9753151523071656,0.9908176771441322,0.984440427982721,0.015502524836966644,0.009125275675555508,1.0
7,3,ellow-radnear-az270 + elmid-radnear-az270 + elhigh-radnear-az135,ellow-radnear-az270,elmid-radnear-az270,elhigh-radnear-az135,3,3,container,1,low + mid + high,near + near + near,3,1,135,90.0,1.0,1.0,1.0,1.0,1.0,0.9809523822296233,0.9186159218824098,0.9752486490812563,0.9611575187749573,0.9825707674026489,0.9757782551977369,0.9752486490812563,0.0,0.965674604617414,0.015277777612209387,0.0,0.0,0.0,0.0,0.0,3.0,0.9752486490812563,0.992538864426279,0.984967853948797,0.017290215345022803,0.00971920486754078,1.0
