drone_count,elevation_pattern,radius_pattern,combination_count,mean_scene_count,mean_best_strict_quality,mean_complementarity_strict_quality,mean_target_found_or_rate,mean_false_alarm_rate_when_any_selected_view_absent
2,high + high,mid + mid,28,4.857142857142857,0.872881881266692,0.007095155647785809,1.0,0.0
2,low + mid,far + far,50,4.96,0.8622338380377924,0.01115324402230369,1.0,0.0
2,low + low,mid + far,49,5.285714285714286,0.8592752840675104,0.019874925380052335,0.9708697764820214,0.030612244897959183
2,low + low,far + far,22,4.545454545454546,0.8440438281377048,0.014677897936334495,0.9848484848484849,0.0
3,low + low + low,mid + mid + mid,1,3.0,0.9588543184728167,0.007172521713968649,1.0,0.0
3,high + high + high,near + far + far,1,3.0,0.9544909500242748,0.0,1.0,0.0
3,low + high + high,far + far + far,6,3.0,0.9541929071995722,0.008522797682498473,1.0,0.0
3,mid + mid + high,near + near + near,9,3.2222222222222223,0.9526483862338182,0.004671969960467987,1.0,0.0
3,high + high + high,far + far + far,1,3.0,0.9525484739440012,0.004734375498044785,1.0,0.0
3,low + low + low,near + near + mid,13,3.076923076923077,0.9502812070691908,0.006214653866154855,1.0,0.0
3,mid + mid + mid,near + near + mid,8,3.0,0.9476662105523682,0.005093892529940622,1.0,0.0
3,low + low + mid,near + near + near,13,3.076923076923077,0.946843507149904,0.0047196419459979945,1.0,0.0
3,low + high + high,near + near + near,9,3.2222222222222223,0.9453233442286005,0.006870951145950192,1.0,0.0
3,low + low + low,near + near + far,7,3.0,0.9444689958911339,0.019687490054458405,1.0,0.14285714285714285
3,low + mid + high,near + near + near,27,3.2222222222222223,0.9440502912968195,0.0037899821835131638,1.0,0.0
3,low + low + mid,near + near + mid,41,3.1219512195121952,0.9438138590864271,0.007770408182995642,1.0,0.024390243902439025
3,low + low + mid,near + near + far,35,3.085714285714286,0.9434432291300661,0.004508436286112755,1.0,0.0
3,low + mid + high,near + near + mid,67,3.283582089552239,0.9432111531382313,0.007568036876220164,1.0,0.04477611940298507
3,low + mid + mid,near + near + near,14,3.2857142857142856,0.942215435231067,0.007883895730059995,1.0,0.0
3,mid + high + high,near + near + far,25,3.2,0.9413116152005927,0.005318886201367152,1.0,0.0
3,mid + high + high,near + near + near,9,3.4444444444444446,0.9412294559945723,0.0056793014883709985,1.0,0.0
