group,target_class,ring_id,base_coalition_mask,base_coalition_size,base_coalition_members,base_value,best_addition_azimuth,best_addition_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,expanded_value,delta_value
overall,all,elmid-radnear,254,7,az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9170790184634983,0,elmid-radnear-az000,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9434439730057872,0.026364954542288932
overall,all,elmid-radmid,1,1,az000,0.25185154486239614,270,elmid-radmid-az270,65,2,az000 + az270,0.4578062171267408,0.20595467226434466
overall,all,elmid-radmid,65,2,az000 + az270,0.4578062171267408,45,elmid-radmid-az045,67,3,az000 + az045 + az270,0.6225965035069916,0.16479028638025078
overall,all,elmid-radmid,67,3,az000 + az045 + az270,0.6225965035069916,90,elmid-radmid-az090,71,4,az000 + az045 + az090 + az270,0.7167380111575886,0.09414150765059703
overall,all,elmid-radmid,71,4,az000 + az045 + az090 + az270,0.7167380111575886,180,elmid-radmid-az180,87,5,az000 + az045 + az090 + az180 + az270,0.8037075674962455,0.08696955633865688
overall,all,elmid-radmid,87,5,az000 + az045 + az090 + az180 + az270,0.8037075674962455,315,elmid-radmid-az315,215,6,az000 + az045 + az090 + az180 + az270 + az315,0.8542571171495421,0.05054954965329661
overall,all,elmid-radmid,215,6,az000 + az045 + az090 + az180 + az270 + az315,0.8542571171495421,135,elmid-radmid-az135,223,7,az000 + az045 + az090 + az135 + az180 + az270 + az315,0.891314298329563,0.03705718118002088
overall,all,elmid-radmid,223,7,az000 + az045 + az090 + az135 + az180 + az270 + az315,0.891314298329563,225,elmid-radmid-az225,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9192475708197799,0.02793327249021693
overall,all,elmid-radfar,32,1,az225,0.22292740826137006,0,elmid-radfar-az000,33,2,az000 + az225,0.373685291000934,0.15075788273956395
overall,all,elmid-radfar,33,2,az000 + az225,0.373685291000934,90,elmid-radfar-az090,37,3,az000 + az090 + az225,0.5140528664298889,0.1403675754289549
overall,all,elmid-radfar,37,3,az000 + az090 + az225,0.5140528664298889,315,elmid-radfar-az315,165,4,az000 + az090 + az225 + az315,0.615469409550365,0.1014165431204761
overall,all,elmid-radfar,165,4,az000 + az090 + az225 + az315,0.615469409550365,135,elmid-radfar-az135,173,5,az000 + az090 + az135 + az225 + az315,0.7125432813685469,0.09707387181818194
overall,all,elmid-radfar,173,5,az000 + az090 + az135 + az225 + az315,0.7125432813685469,45,elmid-radfar-az045,175,6,az000 + az045 + az090 + az135 + az225 + az315,0.7995302063178811,0.08698692494933413
overall,all,elmid-radfar,175,6,az000 + az045 + az090 + az135 + az225 + az315,0.7995302063178811,180,elmid-radfar-az180,191,7,az000 + az045 + az090 + az135 + az180 + az225 + az315,0.8559043243671298,0.056374118049248745
overall,all,elmid-radfar,127,7,az000 + az045 + az090 + az135 + az180 + az225 + az270,0.8563035434189179,315,elmid-radfar-az315,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9113787218069311,0.055075178388013235
overall,all,elhigh-radnear,32,1,az225,0.21664150900316845,0,elhigh-radnear-az000,33,2,az000 + az225,0.3905475447716015,0.17390603576843303
overall,all,elhigh-radnear,33,2,az000 + az225,0.3905475447716015,135,elhigh-radnear-az135,41,3,az000 + az135 + az225,0.5370922533576931,0.1465447085860916
overall,all,elhigh-radnear,25,3,az000 + az135 + az180,0.5403927608599571,225,elhigh-radnear-az225,57,4,az000 + az135 + az180 + az225,0.6678081869217023,0.12741542606174516
overall,all,elhigh-radnear,57,4,az000 + az135 + az180 + az225,0.6678081869217023,315,elhigh-radnear-az315,185,5,az000 + az135 + az180 + az225 + az315,0.7685347488685674,0.10072656194686513
overall,all,elhigh-radnear,185,5,az000 + az135 + az180 + az225 + az315,0.7685347488685674,45,elhigh-radnear-az045,187,6,az000 + az045 + az135 + az180 + az225 + az315,0.8357806542005316,0.06724590533196417
overall,all,elhigh-radnear,187,6,az000 + az045 + az135 + az180 + az225 + az315,0.8357806542005316,270,elhigh-radnear-az270,251,7,az000 + az045 + az135 + az180 + az225 + az270 + az315,0.8842407692583566,0.04846011505782499
overall,all,elhigh-radnear,251,7,az000 + az045 + az135 + az180 + az225 + az270 + az315,0.8842407692583566,90,elhigh-radnear-az090,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9176427756619179,0.03340200640356128
overall,all,elhigh-radmid,1,1,az000,0.23877242049110414,225,elhigh-radmid-az225,33,2,az000 + az225,0.4212374547552965,0.18246503426419236
overall,all,elhigh-radmid,33,2,az000 + az225,0.4212374547552965,90,elhigh-radmid-az090,37,3,az000 + az090 + az225,0.5512879299694742,0.13005047521417767
overall,all,elhigh-radmid,37,3,az000 + az090 + az225,0.5512879299694742,180,elhigh-radmid-az180,53,4,az000 + az090 + az180 + az225,0.6501001593693451,0.09881222939987089
overall,all,elhigh-radmid,53,4,az000 + az090 + az180 + az225,0.6501001593693451,135,elhigh-radmid-az135,61,5,az000 + az090 + az135 + az180 + az225,0.7322951476643113,0.08219498829496619
overall,all,elhigh-radmid,61,5,az000 + az090 + az135 + az180 + az225,0.7322951476643113,45,elhigh-radmid-az045,63,6,az000 + az045 + az090 + az135 + az180 + az225,0.8056535792386688,0.07335843157435751
overall,all,elhigh-radmid,63,6,az000 + az045 + az090 + az135 + az180 + az225,0.8056535792386688,270,elhigh-radmid-az270,127,7,az000 + az045 + az090 + az135 + az180 + az225 + az270,0.8605696422607783,0.054916063022109496
overall,all,elhigh-radmid,127,7,az000 + az045 + az090 + az135 + az180 + az225 + az270,0.8605696422607783,315,elhigh-radmid-az315,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9068945120949943,0.04632486983421602
overall,all,elhigh-radfar,2,1,az045,0.23465975209118844,315,elhigh-radfar-az315,130,2,az045 + az315,0.39563101536791734,0.1609712632767289
overall,all,elhigh-radfar,130,2,az045 + az315,0.39563101536791734,90,elhigh-radfar-az090,134,3,az045 + az090 + az315,0.5463259108402577,0.15069489547234038
overall,all,elhigh-radfar,134,3,az045 + az090 + az315,0.5463259108402577,270,elhigh-radfar-az270,198,4,az045 + az090 + az270 + az315,0.6744817175171752,0.1281558066769175
overall,all,elhigh-radfar,198,4,az045 + az090 + az270 + az315,0.6744817175171752,225,elhigh-radfar-az225,230,5,az045 + az090 + az225 + az270 + az315,0.7474511484725632,0.07296943095538799
overall,all,elhigh-radfar,230,5,az045 + az090 + az225 + az270 + az315,0.7474511484725632,180,elhigh-radfar-az180,246,6,az045 + az090 + az180 + az225 + az270 + az315,0.8129473870420749,0.0654962385695117
overall,all,elhigh-radfar,246,6,az045 + az090 + az180 + az225 + az270 + az315,0.8129473870420749,135,elhigh-radfar-az135,254,7,az045 + az090 + az135 + az180 + az225 + az270 + az315,0.8703571608103742,0.057409773768299255
overall,all,elhigh-radfar,254,7,az045 + az090 + az135 + az180 + az225 + az270 + az315,0.8703571608103742,0,elhigh-radfar-az000,255,8,az000 + az045 + az090 + az135 + az180 + az225 + az270 + az315,0.9122108964633643,0.04185373565299011
