group,target_class,ring_id,viewpoint,azimuth,rank,shapley_value,share_of_ring_value,singleton_ring_scene_value,mean_strict_quality_on_observed_rows,observed_scene_count,observed_scene_rate_within_ring,matched_scene_count,matched_scene_rate_within_ring,ring_scene_count,complete_ring_scene_count,max_views_seen_in_any_ring_scene,grand_value_all_8_players,empty_coalition_value
per_class,container,elmid-radmid,elmid-radmid-az225,225,8,0.04875914489056121,0.04969603474292905,0.11209875749249676,0.9528394386862225,2,0.11764705882352941,2,0.11764705882352941,17,0,3,0.9811475934203957,0.0
per_class,container,elmid-radfar,elmid-radfar-az270,270,1,0.28736324399211066,0.29971850784250087,0.4367162902946196,0.9358206220598991,7,0.4666666666666667,7,0.4666666666666667,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az315,315,2,0.15098207677133518,0.15747359381184065,0.25107738461484125,0.9415401923056548,4,0.26666666666666666,4,0.26666666666666666,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az045,45,3,0.12723458519983744,0.13270507213198698,0.18655518113618494,0.9327759056809247,3,0.2,3,0.2,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az180,180,4,0.11894497153333179,0.12405904418422312,0.18964134173412125,0.9482067086706062,3,0.2,3,0.2,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az090,90,5,0.09616824341406795,0.10030302420545538,0.12705837528325623,0.9529378146244216,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az000,0,6,0.08256410917939234,0.08611397637643659,0.12262024687158354,0.9196518515368766,2,0.13333333333333333,2,0.13333333333333333,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az225,225,7,0.06324090325484805,0.06595996375470828,0.06324090325484803,0.9486135488227205,1,0.06666666666666667,1,0.06666666666666667,15,0,3,0.9587771074288053,0.0
per_class,container,elmid-radfar,elmid-radfar-az135,135,8,0.03227897408388195,0.03366681769284823,0.06247163820587882,0.9370745730881822,1,0.06666666666666667,1,0.06666666666666667,15,0,3,0.9587771074288053,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az180,180,1,0.17786473511764747,0.18410499495245122,0.24892233823502216,0.9459048852930841,5,0.2631578947368421,5,0.2631578947368421,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az315,315,2,0.16535033562424262,0.17115153650526485,0.2497460774151123,0.9490350941774267,5,0.2631578947368421,5,0.2631578947368421,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az135,135,3,0.15838336026133093,0.1639401296843776,0.25119566540412,0.954543528535656,5,0.2631578947368421,5,0.2631578947368421,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az000,0,4,0.1386316738463702,0.1434954691656779,0.24528024997963982,0.9320649499226313,5,0.2631578947368421,5,0.2631578947368421,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az090,90,5,0.13847788854224882,0.14333628841171733,0.24656775041210877,0.9369574515660133,5,0.2631578947368421,5,0.2631578947368421,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az225,225,6,0.12759853891690975,0.13207524441368046,0.19741004038687412,0.9376976918376521,4,0.21052631578947367,4,0.21052631578947367,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az270,270,7,0.04289933804698093,0.04440443131899561,0.09916275140520288,0.9420461383494274,2,0.10526315789473684,2,0.10526315789473684,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radnear,elhigh-radnear-az045,45,8,0.016899015411135875,0.01749190554783492,0.04918643299800607,0.9345422269621153,1,0.05263157894736842,1,0.05263157894736842,19,0,4,0.9661048857668667,0.0
per_class,container,elhigh-radmid,elhigh-radmid-az315,315,1,0.2515889651651183,0.26457317401587815,0.3862045083646271,0.9379252345998087,7,0.4117647058823529,7,0.4117647058823529,17,0,4,0.9509239404219393,0.0
per_class,container,elhigh-radmid,elhigh-radmid-az225,225,2,0.22253301397134423,0.234017679555531,0.22253301397134476,0.9457653093782152,4,0.23529411764705882,4,0.23529411764705882,17,0,4,0.9509239404219393,0.0
