ring_id,base_coalition_size,added_drone_number,mean_marginal_gain_across_all_azimuths,mean_shapley_component_across_all_azimuths,mean_cumulative_share_of_total_shapley,top_viewpoint,top_azimuth,top_mean_marginal_gain,top_shapley_component_from_this_size,second_viewpoint,second_azimuth,second_mean_marginal_gain,top_minus_second_marginal_gap
elmid-radnear,7,8,0.05947425555665807,0.007434281944582259,1.0,elmid-radnear-az270,270,0.1362507940921166,0.017031349261514575,elmid-radnear-az180,180,0.07129563191927235,0.06495516217284425
elmid-radmid,0,1,0.18655857429600117,0.023319821787000147,0.20607280707823117,elmid-radmid-az000,0,0.25185154486239614,0.03148144310779952,elmid-radmid-az270,270,0.24471562281305448,0.007135922049341659
elmid-radmid,1,2,0.1608985106147871,0.020112313826848388,0.38313113510152386,elmid-radmid-az000,0,0.22240160130378137,0.02780020016297267,elmid-radmid-az270,270,0.2103603069737861,0.012041294329995261
elmid-radmid,2,3,0.13821777558674925,0.017277221948343656,0.5345231617518946,elmid-radmid-az000,0,0.19671701503725628,0.024589626879657035,elmid-radmid-az270,270,0.18050311335132702,0.01621390168592926
elmid-radmid,3,4,0.11820805999685749,0.014776007499607186,0.6632588505216384,elmid-radmid-az000,0,0.17441382467360855,0.02180172808420107,elmid-radmid-az270,270,0.15460636776914327,0.01980745690446528
elmid-radmid,4,5,0.10056105463008189,0.012570131828760236,0.7720099507133291,elmid-radmid-az000,0,0.1551080688236262,0.019388508602953276,elmid-radmid-az270,270,0.13213239605070118,0.022975672772925032
elmid-radmid,5,6,0.08496845027139235,0.010621056283924044,0.863109997439819,elmid-radmid-az000,0,0.138415786098097,0.017301973262262123,elmid-radmid-az270,270,0.11254352401946678,0.025872262078630207
elmid-radmid,6,7,0.071121937705759,0.008890242213219875,0.9385543116242394,elmid-radmid-az000,0,0.12395301510780907,0.015494126888476133,elmid-radmid-az270,270,0.09530207749890636,0.028650937608902707
elmid-radmid,7,8,0.058713207718151694,0.007339150964768962,1.0,elmid-radmid-az000,0,0.11133579446355013,0.013916974307943766,elmid-radmid-az270,270,0.079870382312486,0.03146541215106413
elmid-radfar,0,1,0.17451071517053185,0.02181383939631648,0.1916123383785625,elmid-radfar-az225,225,0.22292740826137006,0.027865926032671257,elmid-radfar-az135,135,0.18036840892001738,0.04255899934135268
elmid-radfar,1,2,0.15322722803798622,0.019153403504748277,0.35984127862527115,elmid-radfar-az225,225,0.19308252388152675,0.024135315485190843,elmid-radfar-az135,135,0.1569982601900232,0.036084263691503554
elmid-radfar,2,3,0.13401500308414036,0.016751875385517544,0.506953424181853,elmid-radfar-az225,225,0.16614511612304741,0.020768139515380927,elmid-radfar-az090,90,0.1416642241249227,0.024480891998124726
