combination_label,viewpoint_1,viewpoint_2,viewpoint_3,drone_count,sample_count,mean_best_box_quality,mean_noisy_or_max_iou,mean_support_weighted_or,mean_support_ratio,mean_target_ap50_95,mean_azimuth_gap_max,elevation_pattern,radius_pattern
elhigh-radmid-az135 + elhigh-radfar-az180,elhigh-radmid-az135,elhigh-radfar-az180,,2,4,0.9055982937451441,0.9523370327049221,0.9394232200338885,1.0,0.91875,45.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radfar-az225,elhigh-radmid-az135,elhigh-radfar-az225,,2,3,0.783670205311425,0.8835762151152821,0.8448745958324259,1.0,0.7345114090790351,90.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radfar-az270,elhigh-radmid-az135,elhigh-radfar-az270,,2,4,0.9540033003452013,0.9801676902851675,0.9738092542904189,1.0,0.9863333335717519,135.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radfar-az315,elhigh-radmid-az135,elhigh-radfar-az315,,2,4,0.9592137139386736,0.9865496842051473,0.9798171583489833,1.0,1.0,180.0,high + high,mid + far
elhigh-radmid-az135 + elhigh-radmid-az180,elhigh-radmid-az135,elhigh-radmid-az180,,2,4,0.9030606079530648,0.9569713956400907,0.9462852148600336,1.0,0.9379629652050359,45.0,high + high,mid + mid
elhigh-radmid-az135 + elhigh-radmid-az225,elhigh-radmid-az135,elhigh-radmid-az225,,2,4,0.8981186635246932,0.9530957641938305,0.9480193933522846,1.0,0.944791667535901,90.0,high + high,mid + mid
elhigh-radmid-az135 + elhigh-radmid-az270,elhigh-radmid-az135,elhigh-radmid-az270,,2,4,0.8044107641247065,0.8767740762116684,0.8574149331970884,1.0,0.84375,135.0,high + high,mid + mid
elhigh-radmid-az135 + elhigh-radmid-az315,elhigh-radmid-az135,elhigh-radmid-az315,,2,3,0.9577811910495152,0.984971862347587,0.979940007498222,1.0,0.9925925931444874,180.0,high + high,mid + mid
elhigh-radmid-az180 + elhigh-radfar-az000,elhigh-radmid-az180,elhigh-radfar-az000,,2,6,0.9259955282231633,0.9688536982667194,0.9568562785769134,1.0,0.9708333333333333,180.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az045,elhigh-radmid-az180,elhigh-radfar-az045,,2,3,0.9330925691149972,0.9728725766892005,0.9639096054084152,1.0,0.975,135.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az090,elhigh-radmid-az180,elhigh-radfar-az090,,2,6,0.8976863479133866,0.9429806590545312,0.9320267959620598,1.0,0.910358798103752,90.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az135,elhigh-radmid-az180,elhigh-radfar-az135,,2,1,0.9640229626623125,0.9935558303439042,0.9838652352333578,1.0,0.8533333370089531,45.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az180,elhigh-radmid-az180,elhigh-radfar-az180,,2,3,0.9222565589802679,0.9606868444685915,0.9572324871498791,1.0,0.9000000032285849,0.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az225,elhigh-radmid-az180,elhigh-radfar-az225,,2,3,0.7552138598856454,0.861927312194969,0.8467393624426095,1.0,0.8209090916767265,45.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az270,elhigh-radmid-az180,elhigh-radfar-az270,,2,4,0.9341046304811806,0.9728916699174295,0.9607431453715262,1.0,0.9791912649398606,90.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radfar-az315,elhigh-radmid-az180,elhigh-radfar-az315,,2,4,0.9341426106452753,0.96997735642493,0.9599293679860724,1.0,0.9861944452830487,135.0,high + high,mid + far
elhigh-radmid-az180 + elhigh-radmid-az225,elhigh-radmid-az180,elhigh-radmid-az225,,2,7,0.8820286115300934,0.9449721906068959,0.9362926239434888,1.0,0.9439206357730759,45.0,high + high,mid + mid
elhigh-radmid-az180 + elhigh-radmid-az270,elhigh-radmid-az180,elhigh-radmid-az270,,2,4,0.7974435544424345,0.8839306536312603,0.8769747531233825,1.0,0.859375,90.0,high + high,mid + mid
elhigh-radmid-az180 + elhigh-radmid-az315,elhigh-radmid-az180,elhigh-radmid-az315,,2,5,0.8664447157678069,0.9397918886327755,0.9220397259129344,1.0,0.9452083334326744,135.0,high + high,mid + mid
elhigh-radmid-az225 + elhigh-radfar-az000,elhigh-radmid-az225,elhigh-radfar-az000,,2,5,0.8910203770358421,0.9508530034936268,0.9336920736456378,1.0,0.936875,135.0,high + high,mid + far
