group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_best_overlap,8,64,1,elhigh-radmid-az135,3,ellow-radfar-az315,68,2,ellow-radfar-az315 + elhigh-radmid-az135,0.18032056499314222,0.30996555275643184,0.12964498776328962,7
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,1,ellow-radnear-az225,129,2,ellow-radnear-az225 + elhigh-radfar-az000,0.17683251002387188,0.38220750221176797,0.2053749921878961,1
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,2,ellow-radmid-az045,130,2,ellow-radmid-az045 + elhigh-radfar-az000,0.17683251002387188,0.3510074942361344,0.17417498421226255,2
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,4,elmid-radnear-az090,136,2,elmid-radnear-az090 + elhigh-radfar-az000,0.17683251002387188,0.3442192816593147,0.16738677163544283,3
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,7,elhigh-radmid-az135,192,2,elhigh-radmid-az135 + elhigh-radfar-az000,0.17683251002387188,0.34403281273404923,0.16720030271017736,4
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,6,elhigh-radnear-az270,160,2,elhigh-radnear-az270 + elhigh-radfar-az000,0.17683251002387188,0.3226769750383505,0.14584446501447865,5
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,5,elmid-radfar-az180,144,2,elmid-radfar-az180 + elhigh-radfar-az000,0.17683251002387188,0.3180875678742124,0.1412550578503405,6
overall,all,perimeter_unique_az_best_overlap,8,128,1,elhigh-radfar-az000,3,ellow-radfar-az315,132,2,ellow-radfar-az315 + elhigh-radfar-az000,0.17683251002387188,0.3108398217741926,0.13400731175032074,7
overall,all,perimeter_unique_az_best_overlap,8,3,2,ellow-radnear-az225 + ellow-radmid-az045,5,elmid-radfar-az180,19,3,ellow-radnear-az225 + ellow-radmid-az045 + elmid-radfar-az180,0.4227642173051211,0.5491359952618268,0.12637177795670568,1
overall,all,perimeter_unique_az_best_overlap,8,3,2,ellow-radnear-az225 + ellow-radmid-az045,6,elhigh-radnear-az270,35,3,ellow-radnear-az225 + ellow-radmid-az045 + elhigh-radnear-az270,0.4227642173051211,0.5452291478309081,0.12246493052578705,2
overall,all,perimeter_unique_az_best_overlap,8,3,2,ellow-radnear-az225 + ellow-radmid-az045,8,elhigh-radfar-az000,131,3,ellow-radnear-az225 + ellow-radmid-az045 + elhigh-radfar-az000,0.4227642173051211,0.537663102690337,0.11489888538521592,3
overall,all,perimeter_unique_az_best_overlap,8,3,2,ellow-radnear-az225 + ellow-radmid-az045,7,elhigh-radmid-az135,67,3,ellow-radnear-az225 + ellow-radmid-az045 + elhigh-radmid-az135,0.4227642173051211,0.5306223933120402,0.1078581760069191,4
overall,all,perimeter_unique_az_best_overlap,8,3,2,ellow-radnear-az225 + ellow-radmid-az045,4,elmid-radnear-az090,11,3,ellow-radnear-az225 + ellow-radmid-az045 + elmid-radnear-az090,0.4227642173051211,0.5303581339786869,0.10759391667356583,5
overall,all,perimeter_unique_az_best_overlap,8,3,2,ellow-radnear-az225 + ellow-radmid-az045,3,ellow-radfar-az315,7,3,ellow-radnear-az225 + ellow-radmid-az045 + ellow-radfar-az315,0.4227642173051211,0.5066879370832799,0.08392371977815877,6
overall,all,perimeter_unique_az_best_overlap,8,5,2,ellow-radnear-az225 + ellow-radfar-az315,2,ellow-radmid-az045,7,3,ellow-radnear-az225 + ellow-radmid-az045 + ellow-radfar-az315,0.36567287992230135,0.5066879370832799,0.1410150571609785,1
overall,all,perimeter_unique_az_best_overlap,8,5,2,ellow-radnear-az225 + ellow-radfar-az315,8,elhigh-radfar-az000,133,3,ellow-radnear-az225 + ellow-radfar-az315 + elhigh-radfar-az000,0.36567287992230135,0.5047347389134205,0.1390618589911191,2
overall,all,perimeter_unique_az_best_overlap,8,5,2,ellow-radnear-az225 + ellow-radfar-az315,5,elmid-radfar-az180,21,3,ellow-radnear-az225 + ellow-radfar-az315 + elmid-radfar-az180,0.36567287992230135,0.4874915871269903,0.12181870720468896,3
overall,all,perimeter_unique_az_best_overlap,8,5,2,ellow-radnear-az225 + ellow-radfar-az315,7,elhigh-radmid-az135,69,3,ellow-radnear-az225 + ellow-radfar-az315 + elhigh-radmid-az135,0.36567287992230135,0.48652501807067405,0.1208521381483727,4
overall,all,perimeter_unique_az_best_overlap,8,5,2,ellow-radnear-az225 + ellow-radfar-az315,6,elhigh-radnear-az270,37,3,ellow-radnear-az225 + ellow-radfar-az315 + elhigh-radnear-az270,0.36567287992230135,0.4832539817582902,0.11758110183598885,5
overall,all,perimeter_unique_az_best_overlap,8,5,2,ellow-radnear-az225 + ellow-radfar-az315,4,elmid-radnear-az090,13,3,ellow-radnear-az225 + ellow-radfar-az315 + elmid-radnear-az090,0.36567287992230135,0.4823991755981525,0.11672629567585113,6
overall,all,perimeter_unique_az_best_overlap,8,6,2,ellow-radmid-az045 + ellow-radfar-az315,1,ellow-radnear-az225,7,3,ellow-radnear-az225 + ellow-radmid-az045 + ellow-radfar-az315,0.3115150382777897,0.5066879370832799,0.19517289880549016,1
overall,all,perimeter_unique_az_best_overlap,8,6,2,ellow-radmid-az045 + ellow-radfar-az315,6,elhigh-radnear-az270,38,3,ellow-radmid-az045 + ellow-radfar-az315 + elhigh-radnear-az270,0.3115150382777897,0.4564277168758482,0.1449126785980585,2
