target_class,added_image_number,base_coalition_size,scene_support,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou,fraction_of_total_target_ap50_95_gain_captured,fraction_of_total_target_strict_quality_gain_captured,fraction_of_total_noisy_or_best_iou_gain_captured
container,6,5,21,0.9997427765419744,0.9610914381131921,0.9880131801121321,0.0003802212395338174,0.0011979830015109293,0.0008441194630985045,0.9961115882854942,0.9119905153687604,0.9750065211370829
container,7,6,21,0.9998782526260667,0.9620728582415454,0.9886661298869891,0.0001354760840921983,0.0009814201283533624,0.0006529497748570119,0.9988248331413849,0.9528202407703906,0.9880406935768813
container,8,7,20,0.9999369303395117,0.9632069135138582,0.9892652340090565,6.476508214190188e-05,0.0009148648714299885,0.0005619757498314529,1.0,1.0,1.0
male,1,0,20,0.6696414839353259,0.6794322659332579,0.6794322659332579,0.6696414839353259,0.6794322659332579,0.6794322659332579,0.0,0.0,0.0
male,2,1,20,0.764679779911128,0.7474232854968635,0.8478842537697912,0.09503829597580218,0.06799101956360562,0.16845198783653312,0.5002471421688964,0.5374984968816575,0.6980110818985318
male,3,2,20,0.8022767991187427,0.7710400105694502,0.8911297971230845,0.03759701920761461,0.023616725072586692,0.04324554335329347,0.6981442237565866,0.7241989509895335,0.8772067618724284
male,4,3,20,0.8254566531523478,0.7857588221468145,0.9061654091480624,0.023179854033605177,0.014718811577364205,0.015035612024977977,0.8201545735544776,0.840557539954604,0.9395095221506026
male,5,4,19,0.8440482031168856,0.7921738123138404,0.9113277548661648,0.014985644509939422,0.010001528017985307,0.006978500154159451,0.9180137538223795,0.8912708193614736,0.9609006292910158
male,6,5,17,0.8482325562149813,0.7972109290551783,0.9158654828901966,0.011093714959256934,0.006388111828047839,0.004371130682961714,0.9400386718583774,0.9310914117641765,0.9797035207741926
male,7,6,17,0.856650486914757,0.8024880809784465,0.9190216389397086,0.008417930699775662,0.005277151923268079,0.0031561560495118528,0.9843476078751889,0.9728095863816241,0.9927816205167629
male,8,7,15,0.8596241704205487,0.8059275397955314,0.9207636605271058,0.006253618583824199,0.004349799540617806,0.0022491017479647313,1.0,1.0,1.0
rock,1,0,21,0.9075500617483355,0.9416192257423445,0.9416192257423445,0.9075500617483355,0.9416192257423445,0.9416192257423445,0.0,0.0,0.0
rock,2,1,21,0.9699427633070536,0.9584702299176284,0.9831406995611596,0.06239270155871819,0.01685100417528393,0.041521473818815414,0.676342461340215,0.5990284531445725,0.8355613793103738
rock,3,2,21,0.987230511623997,0.9623237348964909,0.987015978448544,0.017287748316943467,0.003853504978862327,0.0038752788873840953,0.8637431982149889,0.736014896365486,0.913545927413964
rock,4,3,21,0.9941179674630131,0.9643431066635278,0.9884771065789499,0.0068874558390160275,0.002019371767037224,0.0014611281304061482,0.938403835086887,0.8078005972856847,0.9429490801372642
rock,5,4,20,0.9979955810961633,0.9664194090003001,0.9897117382409144,0.0029680114348788486,0.0013879423109690481,0.0008530767522832866,0.9804375134379204,0.8816100963588273,0.9677943093531843
rock,6,5,19,0.998990940711818,0.9677765774416898,0.9903289864046874,0.0011008553474358357,0.0010573398263166204,0.0005608780057497889,0.9912273006334155,0.9298554414816251,0.9802155622535382
rock,7,6,19,0.9995470891690054,0.9684866558818687,0.9907439187617545,0.000556148457187065,0.0007100784401788137,0.00041493235706721495,0.9972559996159502,0.9550976872971928,0.9885654935229435
rock,8,7,18,0.9998002236486886,0.9697497829584923,0.9913121326273954,0.00027829619251638985,0.0006638004171027711,0.0003159116228085743,1.0,1.0,1.0
suv,1,0,22,0.8651147952433597,0.8580338511688211,0.8580338511688211,0.8651147952433597,0.8580338511688211,0.8580338511688211,0.0,0.0,0.0
suv,2,1,22,0.9603751337865701,0.9161819359867206,0.9554060589227276,0.0952603385432103,0.05814808481789954,0.09737220775390631,0.7143104611954809,0.689980776397232,0.793721512885789
suv,3,2,22,0.981529133562244,0.9284971672471262,0.9716331489318797,0.02115399977567413,0.012315231260405707,0.016227090009152442,0.872933908969987,0.8361123790661202,0.925995297458383
suv,4,3,22,0.9905145804381735,0.9334779687775775,0.9759654863537649,0.008985446875929759,0.004980801530451047,0.0043323374218850255,0.940311359020527,0.8952141933016845,0.9613099882942032
suv,5,4,20,0.9937688778123752,0.9363929681323964,0.9778460937173336,0.0042028393303841505,0.003392889657570915,0.002097908964230527,0.9647137356421345,0.9298033551689079,0.9766396039636803
suv,6,5,20,0.9961388097785132,0.9389637774848361,0.9792891766973651,0.0023699319661380316,0.0025708093524399052,0.0014430829800314376,0.982484690707196,0.9603083845008383,0.9884027757408392
suv,7,6,19,0.9975713467299321,0.9406432247393373,0.9799013293287271,0.0016357574893919433,0.0017487057924109668,0.00088975095107525,0.9932265812578307,0.9802365785971335,0.9933926873787637
suv,8,7,18,0.9984746488618848,0.9423087857858731,0.9807119015594216,0.0010382273136230454,0.0015962140712582657,0.0008079089126899942,1.0,1.0,1.0
tank,1,0,20,0.8362012796813282,0.8636880327977072,0.8636880327977072,0.8362012796813282,0.8636880327977072,0.8636880327977072,0.0,0.0,0.0
tank,2,1,20,0.9340953827176017,0.9130729312861343,0.9575167962365738,0.09789410303627341,0.04938489848842702,0.09382876343886642,0.6224386551590401,0.6065522184580722,0.7853128500720878
tank,3,2,20,0.9684364868450682,0.9289721904850639,0.972666666458539,0.03434110412746664,0.015899259198929643,0.015149870221965334,0.8407891993369305,0.8018291398272747,0.9121117902498024
tank,4,3,20,0.9813162340098828,0.9355787096915238,0.9771276202306673,0.012879747164814404,0.006606519206459718,0.004460953772128477,0.92268230888496,0.8829713311370976,0.9494483615999344
tank,5,4,20,0.9871973452064273,0.9394258910010359,0.9795412985026607,0.00588111119654463,0.0038471813095122378,0.002413678271993326,0.9600760928870622,0.930222949132057,0.9696499766853891
