scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree17,tree,13,7,6,256,0.9105837492193991,0.9679970931520369,0.987896893353567,0.009478579737294837,0.003579838766319135,0.0009175615207287851
S0-SM_tree17,tree,13,8,7,256,0.917730866405286,0.9709868821913807,0.9886146555637445,0.007147117185886968,0.0029897890393439236,0.000717762210177433
S0-SM_tree18,tree,8,1,0,256,0.7724097836052883,0.9309257585103925,0.9309257585103925,0.7724097836052883,0.9309257585103925,0.9309257585103925
S0-SM_tree18,tree,8,2,1,256,0.8077171610308045,0.9458661716527963,0.9781740356144577,0.035307377425516026,0.014940413142403935,0.047248277104065366
S0-SM_tree18,tree,8,3,2,256,0.836058759651196,0.9514187640600708,0.9842114001553898,0.028341598620391605,0.005552592407274404,0.00603736454093203
S0-SM_tree18,tree,8,4,3,256,0.8518453034191653,0.9536085686119196,0.9858176579826734,0.0157865437679693,0.0021898045518488896,0.0016062578272836177
S0-SM_tree18,tree,8,5,4,256,0.8623935194510939,0.9547895474105337,0.9863843967950209,0.010548216031928695,0.0011809787986140907,0.0005667388123475172
S0-SM_tree18,tree,8,6,5,256,0.867400690713606,0.9560381102171276,0.986974852650766,0.0050071712625120906,0.0012485628065938559,0.0005904558557449364
S0-SM_tree18,tree,8,7,6,256,0.8687631388017321,0.956525586680326,0.9871612246430528,0.0013624480881261735,0.00048747646319835525,0.00018637199228693216
S0-SM_tree18,tree,8,8,7,256,0.8694077172427958,0.9568905512961692,0.9871928691841595,0.000644578441063642,0.0003649646158432329,3.164454110656965e-05
S0-SM_tree19,tree,8,1,0,256,0.7302151738415408,0.9561938282119846,0.9561938282119846,0.7302151738415408,0.9561938282119846,0.9561938282119846
S0-SM_tree19,tree,8,2,1,256,0.8324384952660506,0.9624637733281527,0.9888581283194301,0.10222332142450988,0.006269945116168046,0.032664300107445435
S0-SM_tree19,tree,8,3,2,256,0.8588588195225009,0.964905891233681,0.9914148439093862,0.026420324256450307,0.002442117905528271,0.0025567155899560746
S0-SM_tree19,tree,8,4,3,256,0.8751170168442355,0.9662928056978499,0.9924104672465515,0.016258197321734613,0.0013869144641689007,0.0009956233371654008
S0-SM_tree19,tree,8,5,4,256,0.8854548562452829,0.9673750232539391,0.9927733319302311,0.01033783940104743,0.001082217556089199,0.00036286468367951845
S0-SM_tree19,tree,8,6,5,256,0.8928868872784659,0.9679175817457312,0.9929572954123843,0.007432031033183067,0.0005425584917921056,0.00018396348215326966
S0-SM_tree19,tree,8,7,6,256,0.8996544237582342,0.9683750132751896,0.99301038843495,0.0067675364797683095,0.0004574315294584297,5.3093022565704664e-05
