ring_id,coalition_mask,subset_size,coalition_members,coalition_value
elmid-radnear,144,2,az180 az315,0.3631630873590007
elmid-radnear,145,3,az000 az180 az315,0.44309320738466706
elmid-radnear,146,3,az045 az180 az315,0.5045865062771375
elmid-radnear,147,4,az000 az045 az180 az315,0.5782833280741805
elmid-radnear,148,3,az090 az180 az315,0.49986768231884726
elmid-radnear,149,4,az000 az090 az180 az315,0.5700266888716249
elmid-radnear,150,4,az045 az090 az180 az315,0.6082972617005487
elmid-radnear,151,5,az000 az045 az090 az180 az315,0.6722229700247028
elmid-radnear,152,3,az135 az180 az315,0.5459308912380129
elmid-radnear,153,4,az000 az135 az180 az315,0.5973857928730193
elmid-radnear,154,4,az045 az135 az180 az315,0.6421645391294665
elmid-radnear,155,5,az000 az045 az135 az180 az315,0.6873861425358494
elmid-radnear,156,4,az090 az135 az180 az315,0.6546506247885504
elmid-radnear,157,5,az000 az090 az135 az180 az315,0.70017752799957
elmid-radnear,158,5,az045 az090 az135 az180 az315,0.7227775718113596
elmid-radnear,159,6,az000 az045 az090 az135 az180 az315,0.7620711767937557
elmid-radnear,160,2,az225 az315,0.312884181864586
elmid-radnear,161,3,az000 az225 az315,0.390199223361738
elmid-radnear,162,3,az045 az225 az315,0.4463090373298598
elmid-radnear,163,4,az000 az045 az225 az315,0.5173907805983885
elmid-radnear,164,3,az090 az225 az315,0.45911367112718643
elmid-radnear,165,4,az000 az090 az225 az315,0.5233633258004788
elmid-radnear,166,4,az045 az090 az225 az315,0.5628741974497579
elmid-radnear,167,5,az000 az045 az090 az225 az315,0.6208905538944269
elmid-radnear,168,3,az135 az225 az315,0.5064329087397352
elmid-radnear,169,4,az000 az135 az225 az315,0.563770004640995
elmid-radnear,170,4,az045 az135 az225 az315,0.5992219326146685
elmid-radnear,171,5,az000 az045 az135 az225 az315,0.6503257302873048
elmid-radnear,172,4,az090 az135 az225 az315,0.62610394262257
elmid-radnear,173,5,az000 az090 az135 az225 az315,0.6719884594944435
elmid-radnear,174,5,az045 az090 az135 az225 az315,0.68946375055257
elmid-radnear,175,6,az000 az045 az090 az135 az225 az315,0.7291149691958202
elmid-radnear,176,3,az180 az225 az315,0.4533833733928652
elmid-radnear,177,4,az000 az180 az225 az315,0.5176816262712144
elmid-radnear,178,4,az045 az180 az225 az315,0.5735388898929302
elmid-radnear,179,5,az000 az045 az180 az225 az315,0.631603844542656
elmid-radnear,180,4,az090 az180 az225 az315,0.5703317427484061
elmid-radnear,181,5,az000 az090 az180 az225 az315,0.6275751347451276
elmid-radnear,182,5,az045 az090 az180 az225 az315,0.6668590979312956
elmid-radnear,183,6,az000 az045 az090 az180 az225 az315,0.7178691916993938
elmid-radnear,184,4,az135 az180 az225 az315,0.61593629877864
elmid-radnear,185,5,az000 az135 az180 az225 az315,0.6602566060610969
elmid-radnear,186,5,az045 az135 az180 az225 az315,0.7014771702753729
elmid-radnear,187,6,az000 az045 az135 az180 az225 az315,0.7395641793292063
elmid-radnear,188,5,az090 az135 az180 az225 az315,0.7124003995696646
elmid-radnear,189,6,az000 az090 az135 az180 az225 az315,0.7512786537649674
elmid-radnear,190,6,az045 az090 az135 az180 az225 az315,0.7745482229469912
elmid-radnear,191,7,az000 az045 az090 az135 az180 az225 az315,0.8071931789136706
elmid-radnear,192,2,az270 az315,0.44033474804169437
elmid-radnear,193,3,az000 az270 az315,0.5327643580280218
elmid-radnear,194,3,az045 az270 az315,0.5672434802560208
elmid-radnear,195,4,az000 az045 az270 az315,0.6534397920137248
elmid-radnear,196,3,az090 az270 az315,0.5898021991825043
elmid-radnear,197,4,az000 az090 az270 az315,0.6664501697537107
elmid-radnear,198,4,az045 az090 az270 az315,0.6776809240348685
elmid-radnear,199,5,az000 az045 az090 az270 az315,0.7480955963774515
elmid-radnear,200,3,az135 az270 az315,0.6097559840026999
elmid-radnear,201,4,az000 az135 az270 az315,0.6737103755983674
elmid-radnear,202,4,az045 az135 az270 az315,0.7002664693208809
elmid-radnear,203,5,az000 az045 az135 az270 az315,0.7579875626879249
elmid-radnear,204,4,az090 az135 az270 az315,0.7307105069408903
elmid-radnear,205,5,az000 az090 az135 az270 az315,0.782726374170339
elmid-radnear,206,5,az045 az090 az135 az270 az315,0.7870781235649
elmid-radnear,207,6,az000 az045 az090 az135 az270 az315,0.8328606925657253
elmid-radnear,208,3,az180 az270 az315,0.5821201494297432
elmid-radnear,209,4,az000 az180 az270 az315,0.655770268031019
elmid-radnear,210,4,az045 az180 az270 az315,0.6906457967092473
elmid-radnear,211,5,az000 az045 az180 az270 az315,0.7580626170818996
elmid-radnear,212,4,az090 az180 az270 az315,0.7058638522497946
elmid-radnear,213,5,az000 az090 az180 az270 az315,0.7697428573781816
elmid-radnear,214,5,az045 az090 az180 az270 az315,0.7813956599928633
elmid-radnear,215,6,az000 az045 az090 az180 az270 az315,0.8390413668926268
elmid-radnear,216,4,az135 az180 az270 az315,0.7263637423210101
elmid-radnear,217,5,az000 az135 az180 az270 az315,0.7715386425316257
elmid-radnear,218,5,az045 az135 az180 az270 az315,0.8045123292913772
elmid-radnear,219,6,az000 az045 az135 az180 az270 az315,0.8434539312733697
elmid-radnear,220,5,az090 az135 az180 az270 az315,0.8276687037536915
elmid-radnear,221,6,az000 az090 az135 az180 az270 az315,0.8669156055403207
elmid-radnear,222,6,az045 az090 az135 az180 az270 az315,0.8777105898554144
elmid-radnear,223,7,az000 az045 az090 az135 az180 az270 az315,0.9107241934134198
elmid-radnear,224,3,az225 az270 az315,0.5357603356455664
elmid-radnear,225,4,az000 az225 az270 az315,0.6066321692850574
elmid-radnear,226,4,az045 az225 az270 az315,0.6362874194722076
elmid-radnear,227,5,az000 az045 az225 az270 az315,0.7009259548830752
elmid-radnear,228,4,az090 az225 az270 az315,0.6654715611820706
elmid-radnear,229,5,az000 az090 az225 az270 az315,0.7232780079977019
elmid-radnear,230,5,az045 az090 az225 az270 az315,0.7363343158660094
elmid-radnear,231,6,az000 az045 az090 az225 az270 az315,0.7879074644530173
elmid-radnear,232,4,az135 az225 az270 az315,0.6849666931133346
elmid-radnear,233,5,az000 az135 az225 az270 az315,0.7358605811569334
elmid-radnear,234,5,az045 az135 az225 az270 az315,0.7596706560671814
elmid-radnear,235,6,az000 az045 az135 az225 az270 az315,0.8043312458821568
elmid-radnear,236,5,az090 az135 az225 az270 az315,0.7936655832920121
elmid-radnear,237,6,az000 az090 az135 az225 az270 az315,0.8331068923062245
elmid-radnear,238,6,az045 az090 az135 az225 az270 az315,0.8389403303009257
elmid-radnear,239,7,az000 az045 az090 az135 az225 az270 az315,0.8721483410865148
elmid-radnear,240,4,az180 az225 az270 az315,0.65993821293606
elmid-radnear,241,5,az000 az180 az225 az270 az315,0.7179564643900184
elmid-radnear,242,5,az045 az180 az225 az270 az315,0.7471959577974924
elmid-radnear,243,6,az000 az045 az180 az225 az270 az315,0.7989809110228273
elmid-radnear,244,5,az090 az180 az225 az270 az315,0.7639256901518059
elmid-radnear,245,6,az000 az090 az180 az225 az270 az315,0.8148890807241367
elmid-radnear,246,6,az045 az090 az180 az225 az270 az315,0.8275552736960626
elmid-radnear,247,7,az000 az045 az090 az180 az225 az270 az315,0.8722853660397701
elmid-radnear,248,5,az135 az180 az225 az270 az315,0.7839669273340895
elmid-radnear,249,6,az000 az135 az180 az225 az270 az315,0.8220072331921556
elmid-radnear,250,6,az045 az135 az180 az225 az270 az315,0.851422737909736
elmid-radnear,251,7,az000 az045 az135 az180 az225 az270 az315,0.8832297455391789
elmid-radnear,252,6,az090 az135 az180 az225 az270 az315,0.8730162560072581
elmid-radnear,253,7,az000 az090 az135 az180 az225 az270 az315,0.90561450877817
elmid-radnear,254,7,az045 az090 az135 az180 az225 az270 az315,0.9170790184634983
elmid-radnear,255,8,az000 az045 az090 az135 az180 az225 az270 az315,0.9434439730057872
