ring_id,azimuth,observed_shapley,bootstrap_mean,bootstrap_ci_low,bootstrap_ci_high,selected_as_top_rate
elmid-radnear,90,0.11202051897144107,0.11159784798736555,0.07526449215051603,0.15339170895530405,0.0055
elmid-radnear,135,0.15349121214559064,0.15407120760230822,0.11140398368720533,0.19904388918588245,0.17175
elmid-radnear,180,0.11870761940103935,0.11855845491779429,0.07860920123734165,0.16027754093431998,0.0095
elmid-radnear,225,0.07935805569585955,0.07967984665025786,0.047401986731841254,0.11473130179058393,0.0
elmid-radnear,270,0.19184559984855604,0.19127052401741843,0.14018615014232058,0.24527801209011876,0.80925
elmid-radnear,315,0.11242490632751628,0.11247566461204905,0.07579595814535503,0.1516351775826585,0.0035
elmid-radmid,0,0.1717745812962656,0.17184021885619796,0.12668233781517058,0.22252046286141122,0.6455
elmid-radmid,45,0.13134511906063734,0.13153264703890882,0.09017060393995775,0.1770105452169198,0.0755
elmid-radmid,90,0.11527758601109861,0.11535877611074756,0.0757756383107055,0.1584155502700658,0.0195
elmid-radmid,135,0.07305653871781086,0.0729981001146443,0.04249107434758457,0.10570491677404416,0.0
elmid-radmid,180,0.11266137740310539,0.1125978473682172,0.07545946671633105,0.1518688780324677,0.01175
elmid-radmid,225,0.07066440502768354,0.07047342360420716,0.04153974783720652,0.10321736204594739,0.0
elmid-radmid,270,0.15125422384860893,0.15115925440195302,0.10834698076509597,0.19853839271744703,0.2465
elmid-radmid,315,0.09321373945456986,0.093061608656131,0.06038635216133706,0.12888825997699435,0.00125
elmid-radfar,0,0.11192072049059648,0.1122277133198237,0.07150773302851622,0.15572714563531118,0.088
elmid-radfar,45,0.11478196019555816,0.11469515953137051,0.07517229655475606,0.15657485908223812,0.099
elmid-radfar,90,0.12521495999606563,0.12464789591768215,0.08192013951120306,0.1706516581276351,0.206
elmid-radfar,135,0.11905959421110107,0.11929085689643185,0.0794924119081228,0.16341744349328272,0.13425
elmid-radfar,180,0.10138206777413582,0.10150835315487446,0.06514586670346359,0.1410324657027133,0.02675
elmid-radfar,225,0.137632638818158,0.13698517884102768,0.09666917889776863,0.18175328870980345,0.3925
elmid-radfar,270,0.10135153011272609,0.10141985081439127,0.06540366047696841,0.14039613230323097,0.02675
elmid-radfar,315,0.10003525020858998,0.10033808236931367,0.06338815751184865,0.13985573993125136,0.02675
elhigh-radnear,0,0.13207102655500896,0.13169896333895095,0.08897393528330268,0.1769047715588912,0.1695
elhigh-radnear,45,0.08500830134221388,0.08494996592965402,0.05071172615212551,0.12268764680451673,0.001
elhigh-radnear,90,0.08789713929283882,0.08783780968121749,0.05616591402012929,0.12315756637099119,0.00225
elhigh-radnear,135,0.1378176235717591,0.13737815003589463,0.09287005094033501,0.1856249354143926,0.24875
elhigh-radnear,180,0.1265272218913621,0.12705369131090435,0.08382483288040067,0.17393187130506188,0.1375
elhigh-radnear,225,0.14752328411989063,0.1476091194427574,0.10229530898862838,0.19632652472559917,0.40375
elhigh-radnear,270,0.0900332141756293,0.09042672589198612,0.05937702715181303,0.12468215467336001,0.00175
elhigh-radnear,315,0.11076496471321488,0.11072627103579538,0.07170092295564136,0.15360255950596655,0.0355
elhigh-radmid,0,0.1698908547126536,0.1695826272153672,0.12143608289111149,0.220973456057257,0.7715
elhigh-radmid,45,0.09876827960246183,0.09853194705004863,0.06539797366513152,0.1350407823338954,0.004
elhigh-radmid,90,0.11618325821874242,0.1161554267768571,0.07873096254531801,0.15466119732432212,0.0295
elhigh-radmid,135,0.10538158932637177,0.10585363083857065,0.06857310270223514,0.14576636364470472,0.01475
elhigh-radmid,180,0.10714646995428607,0.10707351152286859,0.06903827225049909,0.1494020565965225,0.0145
elhigh-radmid,225,0.13605158625440456,0.13611687851127977,0.09426671439139474,0.1835787447352223,0.164
elhigh-radmid,270,0.08841424160503748,0.08810872055128466,0.05489209583332287,0.12627764217247325,0.00075
elhigh-radmid,315,0.08505823242103704,0.08546893437901863,0.051383264827402166,0.1227067341692598,0.001
elhigh-radfar,0,0.09666795658780326,0.0967787310575514,0.06341065708490906,0.13440394673203895,0.0045
