method_id,method_label,method_family,secondary_viewpoint,scene_count,primary_viewpoint_count,mean_lift_vs_primary,mean_lift_vs_best_constituent,primary_miss_count,rescue_count,rescue_rate_given_primary_miss
support_weighted_or,Support-weighted OR,Conservative corroboration,elhigh-radmid-az135,330,71,0.06758813146123067,0.025541113140168426,9,9,1.0
support_weighted_or,Support-weighted OR,Conservative corroboration,elmid-radfar-az270,286,70,0.06642906670371662,0.028275071086289193,4,4,1.0
support_weighted_or,Support-weighted OR,Conservative corroboration,elmid-radnear-az045,338,71,0.06498481910259656,0.0019610821331826236,11,11,1.0
support_weighted_or,Support-weighted OR,Conservative corroboration,elmid-radfar-az045,312,71,0.06390299035595538,0.032495145963559464,4,4,1.0
support_weighted_or,Support-weighted OR,Conservative corroboration,elmid-radnear-az180,352,71,0.06369905605616664,0.011646189587994406,7,7,1.0
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elmid-radnear-az090,346,71,0.04987474119226822,-0.024108352363392788,9,7,0.7777777777777778
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,ellow-radnear-az225,394,69,0.03943585573552792,-0.008816143426585352,3,3,1.0
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,ellow-radnear-az090,362,71,0.039071654402863455,-0.018876515718743835,6,6,1.0
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elmid-radmid-az000,427,71,0.03826900535411551,-0.01917094570557912,14,9,0.6428571428571429
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elmid-radnear-az045,338,71,0.03799330204078845,-0.025030434928625483,11,5,0.45454545454545453
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elmid-radmid-az045,374,71,0.03783368628322896,-0.013229206834082465,10,8,0.8
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,ellow-radnear-az135,347,70,0.036985328916363046,-0.01277833986078741,6,5,0.8333333333333334
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elmid-radnear-az315,366,71,0.03421478711626101,-0.010407303893992104,6,4,0.6666666666666666
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elhigh-radnear-az045,234,70,0.031639219647018456,-0.021664645682966808,9,6,0.6666666666666666
viewpoint_cell_prior_selector,Viewpoint-cell prior selector,Geometry-aware selection,elmid-radnear-az135,445,71,0.030034706636539305,-0.01156321261959448,5,4,0.8
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radnear-az090,346,71,0.1288220732170186,0.05483897966135759,9,9,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radmid-az000,427,71,0.10655766388618677,0.049117712826492146,14,14,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elhigh-radnear-az045,234,70,0.10034039174945632,0.04703652641947106,9,9,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radmid-az045,374,71,0.09979947168933738,0.04873657857202595,10,10,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radfar-az090,288,67,0.09652302149319021,0.04982045815709167,11,11,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radnear-az045,338,71,0.09576854853598771,0.03274481156657378,11,11,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elhigh-radmid-az135,330,71,0.09546045637104315,0.053413438049980916,9,9,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,ellow-radnear-az090,362,71,0.09438518337224139,0.036437013250634094,6,6,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radmid-az180,324,71,0.0939705469652549,0.05045565322937191,8,8,1.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,elmid-radfar-az270,286,70,0.08984596785044928,0.05169197223302186,4,4,1.0
