left_method_id,left_method_label,right_method_id,right_method_label,win_rate_left_over_right,tie_rate,mean_score_gap_left_minus_right
geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.514097585682931,0.11911193651865609,-0.0005299449780223201
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,best_box,Best box (max),0.9171872361978727,0.0014350835725139288,0.025563234157185196
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,noisy_or_best_iou,Noisy-OR + best IoU,0.0746243457707243,0.0030390005065000845,-0.01629469816002957
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,support_weighted_or,Support-weighted OR,0.635404355900726,0.008357251392875232,0.012730036302765316
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,geometry_prior_selector,Geometry prior selector,0.9480837413472902,0.0014350835725139288,0.04750308033341551
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,geometry_calibrated_selector,Geometry-calibrated selector,0.9299341549890259,0.0014350835725139288,0.0345086202230933
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.9495188249198041,0.0014350835725139288,0.0537777097759394
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.0,0.0345264224210704,-0.015583787854892794
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.0,1.0,0.0
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.061877426979571166,0.00244808374134729,-0.016216850096564834
geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.034948505824750974,0.004220834036805673,-0.016113732832915114
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,best_box,Best box (max),0.9854803309133885,0.00219483369913895,0.04178008425375003
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,noisy_or_best_iou,Noisy-OR + best IoU,0.7207496201249367,0.018909336484889416,-7.784806346473899e-05
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,support_weighted_or,Support-weighted OR,0.9685125780854297,0.0014350835725139288,0.028946886399330154
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,geometry_prior_selector,Geometry prior selector,0.9907985817997637,0.0020260003376667227,0.06371993042998034
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,geometry_calibrated_selector,Geometry-calibrated selector,0.9854803309133885,0.00219483369913895,0.05072547031965813
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.9952726658787776,0.0016039169339861557,0.06999455987250423
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.40477798412966404,0.04448759074793179,0.0006330622416720417
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.9364342394057066,0.00244808374134729,0.016216850096564834
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.0,1.0,0.0
viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.4384602397433733,0.050481175080195846,0.00010311726364972183
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,best_box,Best box (max),0.9784737464122911,0.001266250211041702,0.0416769669901003
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,noisy_or_best_iou,Noisy-OR + best IoU,0.6383589397264899,0.014604085767347627,-0.00018096532711446082
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,support_weighted_or,Support-weighted OR,0.9601553266925544,0.001857166976194496,0.02884376913568043
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,geometry_prior_selector,Geometry prior selector,0.9874219145703191,0.001266250211041702,0.06361681316633062
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,geometry_calibrated_selector,Geometry-calibrated selector,0.9788114131352356,0.001266250211041702,0.05062235305600841
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,viewpoint_cell_prior_selector,Viewpoint-cell prior selector,0.990292081715347,0.001266250211041702,0.0698914426088545
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,0.38358939726489955,0.11911193651865609,0.0005299449780223201
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,geometry_weighted_or_mean_iou,Geometry-weighted OR + mean IoU,0.9618436603072767,0.004220834036805673,0.016113732832915114
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,0.5294614215769036,0.050481175080195846,-0.00010311726364972183
hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR + best IoU,0.0,1.0,0.0
