slice_id,slice_label,slice_description,method_id,method_label,method_family,pair_row_count,scene_count,primary_miss_row_count,mean_primary_single_quality,mean_best_constituent_single,mean_pair_score,gain_vs_primary,gain_vs_best_constituent,rescue_rate_given_primary_miss,rank_desc_within_slice
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR,Geometry-aware accumulation,5800,112,419,0.6694427779447009,0.7867625607204675,0.8661261823490752,0.19668340440437437,0.07936362162860777,0.9284009546539379,2
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,5800,112,419,0.6694427779447009,0.7867625607204675,0.8658901076233012,0.19644732967860035,0.07912754690283375,0.9284009546539379,3
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,Geometry-aware accumulation,5800,112,419,0.6694427779447009,0.7867625607204675,0.8653899348857901,0.19594715694108922,0.07862737416532262,0.9284009546539379,4
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,support_weighted_or,Support-weighted OR,Evidence accumulation,5800,112,419,0.6694427779447009,0.7867625607204675,0.789927374871308,0.12048459692660718,0.003164814150840578,0.9284009546539379,5
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,best_box,Best box (max),Selection,5800,112,419,0.6694427779447009,0.7867625607204675,0.7867625607204675,0.1173197827757666,0.0,0.9284009546539379,6
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,geometry_calibrated_selector,Geometry-calibrated selector,Geometry-aware selection,5800,112,419,0.6694427779447009,0.7867625607204675,0.7689014973412074,0.09945871939650652,-0.017861063379260078,0.9284009546539379,7
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,geometry_prior_selector,Geometry prior selector,Geometry-aware selection,5800,112,419,0.6694427779447009,0.7867625607204675,0.7348337241443161,0.06539094619961527,-0.05192883657615133,0.6945107398568019,8
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,viewpoint_cell_prior_selector,Viewpoint-cell selector,Geometry-aware selection,5800,112,419,0.6694427779447009,0.7867625607204675,0.711342571345682,0.041899793400981156,-0.07541998937478545,0.47494033412887826,9
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,mean_quality,Mean quality,Naive averaging,5800,112,419,0.6694427779447009,0.7867625607204675,0.6975842029249799,0.02814142498027905,-0.08917835779548755,0.9284009546539379,10
low_primary_iou_q25,Low primary IoU (Q1),Primary matched IoU <= dataset Q1 (0.9408).,primary_single_reference,Primary single reference,Reference,5800,112,419,0.6694427779447009,0.7867625607204675,0.6694427779447009,0.0,-0.1173197827757666,0.0,11
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",best_box,Best box (max),Selection,419,29,419,0.0,0.7590827418762287,0.7590827418762287,0.7590827418762287,0.0,0.9284009546539379,1
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",geometry_calibrated_selector,Geometry-calibrated selector,Geometry-aware selection,419,29,419,0.0,0.7590827418762287,0.7590827418762287,0.7590827418762287,0.0,0.9284009546539379,1
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",noisy_or_best_iou,Noisy-OR + best IoU,Evidence accumulation,419,29,419,0.0,0.7590827418762287,0.7590827418762287,0.7590827418762287,0.0,0.9284009546539379,1
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR,Geometry-aware accumulation,419,29,419,0.0,0.7590827418762287,0.7589664624330408,0.7589664624330408,-0.00011627944318792771,0.9284009546539379,4
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,419,29,419,0.0,0.7590827418762287,0.758234981490697,0.758234981490697,-0.0008477603855316929,0.9284009546539379,5
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,Geometry-aware accumulation,419,29,419,0.0,0.7590827418762287,0.7581511075135822,0.7581511075135822,-0.0009316343626465384,0.9284009546539379,6
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",geometry_prior_selector,Geometry prior selector,Geometry-aware selection,419,29,419,0.0,0.7590827418762287,0.5686637644556636,0.5686637644556636,-0.19041897742056513,0.6945107398568019,7
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",viewpoint_cell_prior_selector,Viewpoint-cell selector,Geometry-aware selection,419,29,419,0.0,0.7590827418762287,0.39036036318978157,0.39036036318978157,-0.36872237868644714,0.47494033412887826,8
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",mean_quality,Mean quality,Naive averaging,419,29,419,0.0,0.7590827418762287,0.37954137093811435,0.37954137093811435,-0.37954137093811435,0.9284009546539379,9
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",support_weighted_or,Support-weighted OR,Evidence accumulation,419,29,419,0.0,0.7590827418762287,0.37954137093811435,0.37954137093811435,-0.37954137093811435,0.9284009546539379,9
primary_miss_only,Primary miss only,"Primary target_detected == 0, so any positive pair score is a rescue case.",primary_single_reference,Primary single reference,Reference,419,29,419,0.0,0.7590827418762287,0.0,0.0,-0.7590827418762287,0.0,11
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,noisy_or_best_iou,Noisy-OR + best IoU,Evidence accumulation,5908,97,31,0.7507543116015969,0.8008835070674635,0.8846222740124613,0.1338679624108644,0.08373876694499782,0.9032258064516129,1
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR,Geometry-aware accumulation,5908,97,31,0.7507543116015969,0.8008835070674635,0.8844812697920449,0.133726958190448,0.08359776272458141,0.9032258064516129,2
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,5908,97,31,0.7507543116015969,0.8008835070674635,0.8842889644955861,0.13353465289398925,0.08340545742812266,0.9032258064516129,3
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,Geometry-aware accumulation,5908,97,31,0.7507543116015969,0.8008835070674635,0.883825320600637,0.13307100899904012,0.08294181353317354,0.9032258064516129,4
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,support_weighted_or,Support-weighted OR,Evidence accumulation,5908,97,31,0.7507543116015969,0.8008835070674635,0.8382354431741261,0.08748113157252924,0.03735193610666265,0.9032258064516129,5
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,best_box,Best box (max),Selection,5908,97,31,0.7507543116015969,0.8008835070674635,0.8008835070674635,0.05012919546586658,0.0,0.9032258064516129,6
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,geometry_calibrated_selector,Geometry-calibrated selector,Geometry-aware selection,5908,97,31,0.7507543116015969,0.8008835070674635,0.7851545518878136,0.03440024028621669,-0.015728955179649895,0.9032258064516129,7
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,geometry_prior_selector,Geometry prior selector,Geometry-aware selection,5908,97,31,0.7507543116015969,0.8008835070674635,0.7647022078520067,0.01394789625040982,-0.036181299215456764,0.6129032258064516,8
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,viewpoint_cell_prior_selector,Viewpoint-cell selector,Geometry-aware selection,5908,97,31,0.7507543116015969,0.8008835070674635,0.7544338873486546,0.003679575747057684,-0.0464496197188089,0.16129032258064516,9
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,primary_single_reference,Primary single reference,Reference,5908,97,31,0.7507543116015969,0.8008835070674635,0.7507543116015969,0.0,-0.05012919546586658,0.0,10
small_target_bbox_q25,Small target box (Q1),Primary bbox_area_norm <= dataset Q1 (0.0192).,mean_quality,Mean quality,Naive averaging,5908,97,31,0.7507543116015969,0.8008835070674635,0.7420461693861419,-0.008708142215455017,-0.0588373376813216,0.9032258064516129,11
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,noisy_or_best_iou,Noisy-OR + best IoU,Evidence accumulation,5835,99,419,0.6674213421186718,0.7836069284787056,0.8660443420066426,0.19862299988797083,0.08243741352793699,0.9284009546539379,1
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,hybrid_geometry_cell_weighted_or_best_iou,Hybrid geometry+cell OR,Geometry-aware accumulation,5835,99,419,0.6674213421186718,0.7836069284787056,0.8658486421823809,0.19842730006370912,0.08224171370367528,0.9284009546539379,2
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,viewpoint_cell_weighted_or_best_iou,Viewpoint-cell OR + best IoU,Geometry-aware accumulation,5835,99,419,0.6674213421186718,0.7836069284787056,0.8653515254700115,0.19793018335133972,0.08174459699130587,0.9284009546539379,3
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,geometry_weighted_or_best_iou,Geometry-weighted OR + best IoU,Geometry-aware accumulation,5835,99,419,0.6674213421186718,0.7836069284787056,0.8652662408887627,0.19784489877009093,0.08165931241005708,0.9284009546539379,4
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,support_weighted_or,Support-weighted OR,Evidence accumulation,5835,99,419,0.6674213421186718,0.7836069284787056,0.7882562447778311,0.1208349026591593,0.004649316299125461,0.9284009546539379,5
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,best_box,Best box (max),Selection,5835,99,419,0.6674213421186718,0.7836069284787056,0.7836069284787056,0.11618558636003384,0.0,0.9284009546539379,6
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,geometry_calibrated_selector,Geometry-calibrated selector,Geometry-aware selection,5835,99,419,0.6674213421186718,0.7836069284787056,0.7657464779626225,0.09832513584395075,-0.017860450516083093,0.9284009546539379,7
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,geometry_prior_selector,Geometry prior selector,Geometry-aware selection,5835,99,419,0.6674213421186718,0.7836069284787056,0.7315143430420443,0.06409300092337256,-0.05209258543666129,0.6945107398568019,8
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,viewpoint_cell_prior_selector,Viewpoint-cell selector,Geometry-aware selection,5835,99,419,0.6674213421186718,0.7836069284787056,0.7077771244077122,0.040355782289040465,-0.07582980407099338,0.47494033412887826,9
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,mean_quality,Mean quality,Naive averaging,5835,99,419,0.6674213421186718,0.7836069284787056,0.6926691067188425,0.025247764600170752,-0.09093782175986309,0.9284009546539379,10
weak_primary_quality_q25,Weak primary quality (Q1),Primary view target_strict_quality_iou50 <= dataset Q1 (0.8752).,primary_single_reference,Primary single reference,Reference,5835,99,419,0.6674213421186718,0.7836069284787056,0.6674213421186718,0.0,-0.11618558636003384,0.0,11
