scene_key,target_class,viewpoint_1,viewpoint_2,ordered_label,best_constituent_single,best_box_score,noisy_or_best_iou_score,support_weighted_or_score,geometry_prior_selector_score,geometry_calibrated_selector_score,viewpoint_cell_prior_selector_score,geometry_weighted_or_best_iou_score,geometry_weighted_or_mean_iou_score,viewpoint_cell_weighted_or_best_iou_score,hybrid_geometry_cell_weighted_or_best_iou_score
S0-SM_container_12,container,ellow-radfar-az000,ellow-radfar-az180,ellow-radfar-az000 + ellow-radfar-az180,0.9219967062350491,0.9219967062350491,0.9672021343038023,0.9578403888033226,0.891528002398978,0.891528002398978,0.891528002398978,0.9650029949866539,0.9556625354013691,0.9659221783460595,0.9654604543921834
S0-SM_container_12,container,ellow-radfar-az000,ellow-radmid-az315,ellow-radfar-az000 + ellow-radmid-az315,0.9598210458086244,0.9598210458086244,0.9858304170896487,0.977366886948304,0.9598210458086244,0.9598210458086244,0.9598210458086244,0.9841119082023895,0.9756631317666653,0.9854832341167562,0.9848427745486982
S0-SM_container_12,container,ellow-radfar-az000,ellow-radnear-az045,ellow-radfar-az000 + ellow-radnear-az045,0.9517383187803432,0.9517383187803432,0.9775670429294451,0.97323423223518,0.9517383187803432,0.9517383187803432,0.9517383187803432,0.9752925477187907,0.9709698181307208,0.9775739154425136,0.976523730669134
S0-SM_container_12,container,ellow-radfar-az000,elmid-radmid-az045,ellow-radfar-az000 + elmid-radmid-az045,0.9657783784456412,0.9657783784456412,0.9897508617475487,0.979381857464806,0.9657783784456412,0.9657783784456412,0.9657783784456412,0.9899483882538007,0.9795773146086878,0.9897634788364014,0.9898347958510938
S0-SM_container_12,container,ellow-radfar-az180,ellow-radmid-az315,ellow-radfar-az180 + ellow-radmid-az315,0.9598210458086244,0.9598210458086244,0.9854673720836884,0.9676322004204295,0.891528002398978,0.9598210458086244,0.9598210458086244,0.9843958003851913,0.9665800222256987,0.9852770079316013,0.9848344037608512
S0-SM_container_12,container,ellow-radfar-az180,ellow-radnear-az045,ellow-radfar-az180 + ellow-radnear-az045,0.9517383187803432,0.9517383187803432,0.9772065194392253,0.9635005720717605,0.891528002398978,0.9517383187803432,0.9517383187803432,0.9756268241018397,0.9619430329733275,0.9774115759704937,0.9765151951560472
S0-SM_container_12,container,ellow-radfar-az180,elmid-radmid-az045,ellow-radfar-az180 + elmid-radmid-az045,0.9657783784456412,0.9657783784456412,0.9894162481096722,0.9696746484819888,0.9657783784456412,0.9657783784456412,0.9657783784456412,0.9900458181348178,0.9702916568381729,0.9896135594440582,0.9898306242014066
S0-SM_container_12,container,ellow-radmid-az315,ellow-radnear-az045,ellow-radmid-az315 + ellow-radnear-az045,0.9598210458086244,0.9598210458086244,0.9864314261094961,0.9822981970393087,0.9598210458086244,0.9598210458086244,0.9517383187803432,0.9852732787860025,0.9811449024486644,0.9866006288096331,0.986021103098801
S0-SM_container_12,container,ellow-radmid-az315,elmid-radmid-az045,ellow-radmid-az315 + elmid-radmid-az045,0.9657783784456412,0.9657783784456412,0.9903058155248503,0.988400229988332,0.9657783784456412,0.9657783784456412,0.9657783784456412,0.9904508676935053,0.988545003041879,0.9904642598757794,0.9904380739066853
S0-SM_container_12,container,ellow-radnear-az045,elmid-radmid-az045,ellow-radnear-az045 + elmid-radmid-az045,0.9657783784456412,0.9657783784456412,0.9903048035763193,0.9842657302506039,0.9657783784456412,0.9657783784456412,0.9517383187803432,0.9903469627994663,0.9843076323785223,0.9905757866102077,0.9904220253947627
S0-SM_container_13,container,elhigh-radfar-az045,elhigh-radfar-az270,elhigh-radfar-az045 + elhigh-radfar-az270,0.944190906465792,0.944190906465792,0.973451603392981,0.9690954547136188,0.9344641377304228,0.9344641377304228,0.9344641377304228,0.972505341163591,0.9681534269617791,0.9733656009619499,0.97296708107601
S0-SM_container_13,container,elhigh-radfar-az045,elhigh-radmid-az315,elhigh-radfar-az045 + elhigh-radmid-az315,0.944190906465792,0.944190906465792,0.9736028958705276,0.9694514720969338,0.9396956933518296,0.9396956933518296,0.9396956933518296,0.9732789474126009,0.9691289049489183,0.9735006124819219,0.9733839089342139
S0-SM_container_13,container,elhigh-radfar-az045,elhigh-radnear-az090,elhigh-radfar-az045 + elhigh-radnear-az090,0.944190906465792,0.944190906465792,0.9733624770917872,0.9652678050489796,0.9243960410761644,0.9243960410761644,0.9243960410761644,0.9731513052884365,0.9650583893914976,0.9732858880916403,0.973202626534216
S0-SM_container_13,container,elhigh-radfar-az045,elhigh-radnear-az135,elhigh-radfar-az045 + elhigh-radnear-az135,0.9525636552102412,0.9525636552102412,0.981195491938551,0.9773578272896696,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9813319703330757,0.9774937718881115,0.9813881880180165,0.9813481368027906
S0-SM_container_13,container,elhigh-radfar-az045,ellow-radfar-az045,elhigh-radfar-az045 + ellow-radfar-az045,0.944190906465792,0.944190906465792,0.9733378744908995,0.9678292844134843,0.944190906465792,0.944190906465792,0.944190906465792,0.9717989999772029,0.966299119135397,0.9730256703239131,0.9724598353604093
S0-SM_container_13,container,elhigh-radfar-az045,ellow-radnear-az000,elhigh-radfar-az045 + ellow-radnear-az000,0.9549362562438546,0.9549362562438546,0.9738919953560354,0.9727940286556563,0.944190906465792,0.9549362562438546,0.944190906465792,0.9724739087438788,0.9713775407956055,0.970594573715243,0.9713333766857628
S0-SM_container_13,container,elhigh-radfar-az045,ellow-radnear-az135,elhigh-radfar-az045 + ellow-radnear-az135,0.944190906465792,0.944190906465792,0.973754795752946,0.9624837132237183,0.9306190336194752,0.9306190336194752,0.9306190336194752,0.9730909685629031,0.9618275697453005,0.9739479187651605,0.9735633033845957
S0-SM_container_13,container,elhigh-radfar-az045,ellow-radnear-az225,elhigh-radfar-az045 + ellow-radnear-az225,0.955274091924565,0.955274091924565,0.9816057459933291,0.9775996428329831,0.955274091924565,0.955274091924565,0.955274091924565,0.9807164509243731,0.9767139771313171,0.9817142503016649,0.9812627064454189
S0-SM_container_13,container,elhigh-radfar-az045,ellow-radnear-az315,elhigh-radfar-az045 + ellow-radnear-az315,0.9602085164954416,0.9602085164954416,0.9859748703956751,0.9797949878224205,0.944190906465792,0.944190906465792,0.9602085164954416,0.984475223418352,0.9783047403161179,0.9860978508637043,0.9853740894253994
S0-SM_container_13,container,elhigh-radfar-az045,elmid-radfar-az000,elhigh-radfar-az045 + elmid-radfar-az000,0.944190906465792,0.944190906465792,0.9732409726863922,0.9637949841026109,0.9179442970548736,0.944190906465792,0.944190906465792,0.9724051881146695,0.962967311408362,0.9730172009282043,0.9727196570951058
