group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,1,ellow-radnear-az225,65,2,ellow-radnear-az225 + elhigh-radmid-az000,0.24976851880319448,0.4379393649763048,0.18817084617311033,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,4,elmid-radnear-az270,72,2,elmid-radnear-az270 + elhigh-radmid-az000,0.24976851880319448,0.43100376859857137,0.1812352497953769,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,8,elhigh-radfar-az045,192,2,elhigh-radmid-az000 + elhigh-radfar-az045,0.24976851880319448,0.4281721136224402,0.1784035948192457,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,3,ellow-radfar-az135,68,2,ellow-radfar-az135 + elhigh-radmid-az000,0.24976851880319448,0.3862927500222943,0.13652423121909982,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,6,elhigh-radnear-az315,96,2,elhigh-radnear-az315 + elhigh-radmid-az000,0.24976851880319448,0.381376123070562,0.13160760426736753,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,5,elmid-radfar-az090,80,2,elmid-radfar-az090 + elhigh-radmid-az000,0.24976851880319448,0.374263677822117,0.12449515901892252,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,64,1,elhigh-radmid-az000,2,ellow-radmid-az180,66,2,ellow-radmid-az180 + elhigh-radmid-az000,0.24976851880319448,0.34270293145599795,0.09293441265280347,7
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,7,elhigh-radmid-az000,192,2,elhigh-radmid-az000 + elhigh-radfar-az045,0.22694068129871514,0.4281721136224402,0.20123143232372503,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,1,ellow-radnear-az225,129,2,ellow-radnear-az225 + elhigh-radfar-az045,0.22694068129871514,0.4080314966093813,0.18109081531066618,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,4,elmid-radnear-az270,136,2,elmid-radnear-az270 + elhigh-radfar-az045,0.22694068129871514,0.4063587119328371,0.17941803063412198,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,3,ellow-radfar-az135,132,2,ellow-radfar-az135 + elhigh-radfar-az045,0.22694068129871514,0.37176091837445,0.14482023707573488,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,6,elhigh-radnear-az315,160,2,elhigh-radnear-az315 + elhigh-radfar-az045,0.22694068129871514,0.361134091962843,0.13419341066412788,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,5,elmid-radfar-az090,144,2,elmid-radfar-az090 + elhigh-radfar-az045,0.22694068129871514,0.35493209196890235,0.1279914106701872,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,128,1,elhigh-radfar-az045,2,ellow-radmid-az180,130,2,ellow-radmid-az180 + elhigh-radfar-az045,0.22694068129871514,0.3039152737521102,0.07697459245339505,7
overall,all,perimeter_unique_az_clean_reverse_cycle,8,3,2,ellow-radnear-az225 + ellow-radmid-az180,7,elhigh-radmid-az000,67,3,ellow-radnear-az225 + ellow-radmid-az180 + elhigh-radmid-az000,0.30707329471862055,0.501488150339038,0.1944148556204175,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,3,2,ellow-radnear-az225 + ellow-radmid-az180,4,elmid-radnear-az270,11,3,ellow-radnear-az225 + ellow-radmid-az180 + elmid-radnear-az270,0.30707329471862055,0.4999894502502283,0.19291615553160774,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,3,2,ellow-radnear-az225 + ellow-radmid-az180,5,elmid-radfar-az090,19,3,ellow-radnear-az225 + ellow-radmid-az180 + elmid-radfar-az090,0.30707329471862055,0.46163482836172026,0.1545615336430997,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,3,2,ellow-radnear-az225 + ellow-radmid-az180,8,elhigh-radfar-az045,131,3,ellow-radnear-az225 + ellow-radmid-az180 + elhigh-radfar-az045,0.30707329471862055,0.4579586956006105,0.15088540088198993,4
