scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_tower_6,tower,16,9.125,8.5,21,1.0,1.0,1.0,0.8057560366522656,0.9536088032162584,0.9728467613458633,Q4 high clutter
S0-SM_tower_7,tower,12,10.666666666666666,10.5,20,1.0,1.0,1.0,0.7336188318741358,0.9556673905706248,0.9745630969603857,Q4 high clutter
S0-SM_tower_8,tower,13,9.846153846153847,6.0,35,1.0,1.0,1.0,0.9092092701338996,0.9579417957691958,0.9753843866861783,Q4 high clutter
S0-SM_tower_9,tower,9,5.333333333333333,0.0,28,1.0,1.0,1.0,0.9298353930099756,0.9588494544934344,0.9737734331025018,Q2 mid-low clutter
S0-SM_tree1,tree,14,5.142857142857143,3.5,20,1.0,1.0,1.0,0.9901785714285715,0.9437013293055294,0.9652519864695412,Q2 mid-low clutter
S0-SM_tree10,tree,12,7.0,6.5,20,1.0,1.0,1.0,0.8630411003664005,0.9257422475375104,0.9657306969165802,Q3 mid-high clutter
S0-SM_tree11,tree,12,3.8333333333333335,1.5,14,1.0,1.0,1.0,0.9026143798138947,0.9518457061819579,0.9729540447394053,Q1 low clutter
S0-SM_tree12,tree,12,5.75,3.0,23,1.0,1.0,1.0,0.7849660884419237,0.9414350550711891,0.96721384425958,Q3 mid-high clutter
S0-SM_tree13,tree,10,7.5,4.0,24,1.0,1.0,1.0,0.8394813882556782,0.9528303264530716,0.9713339269161224,Q4 high clutter
S0-SM_tree14,tree,8,2.625,0.5,11,1.0,1.0,1.0,0.8389988689880373,0.9447078790133441,0.9670522660017014,Q1 low clutter
S0-SM_tree15,tree,8,6.375,3.5,22,1.0,1.0,1.0,0.8323639288578606,0.9323425051330427,0.9661635905504227,Q3 mid-high clutter
S0-SM_tree16,tree,11,6.545454545454546,6.0,22,1.0,1.0,1.0,0.8423652723693777,0.9278849571337308,0.9666155793450095,Q3 mid-high clutter
S0-SM_tree17,tree,13,3.5384615384615383,1.0,19,1.0,1.0,1.0,0.7619625478955984,0.9371567886130955,0.9649636286955613,Q1 low clutter
