drone_count,relationship_axis,relationship_type,scene_key,metric,scene_mean_value,combo_count_in_scene
2,azimuth,adjacent_45,S0-SM_tank18,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_tank19,AP50,1.0,34
2,azimuth,adjacent_45,S0-SM_tank2,AP50,1.0,5
2,azimuth,adjacent_45,S0-SM_tank20,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tank3,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_tank4,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tank5,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_tank6,AP50,1.0,5
2,azimuth,adjacent_45,S0-SM_tank7,AP50,1.0,38
2,azimuth,adjacent_45,S0-SM_tank8,AP50,0.9212121218442917,11
2,azimuth,adjacent_45,S0-SM_tank9,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_tent_1,AP50,1.0,28
2,azimuth,adjacent_45,S0-SM_tent_10,AP50,1.0,27
2,azimuth,adjacent_45,S0-SM_tent_11,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_tent_12,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_tent_13,AP50,1.0,13
2,azimuth,adjacent_45,S0-SM_tent_14,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_tent_15,AP50,1.0,26
2,azimuth,adjacent_45,S0-SM_tent_16,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_17,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_tent_18,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_2,AP50,1.0,28
2,azimuth,adjacent_45,S0-SM_tent_3,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_tent_4,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_5,AP50,0.9907407412926356,18
2,azimuth,adjacent_45,S0-SM_tent_6,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_tent_7,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_tent_8,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tent_9,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_tower_1,AP50,1.0,4
2,azimuth,adjacent_45,S0-SM_tower_10,AP50,1.0,29
2,azimuth,adjacent_45,S0-SM_tower_11,AP50,1.0,17
2,azimuth,adjacent_45,S0-SM_tower_12,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tower_13,AP50,1.0,23
2,azimuth,adjacent_45,S0-SM_tower_2,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_tower_3,AP50,1.0,26
2,azimuth,adjacent_45,S0-SM_tower_4,AP50,1.0,25
2,azimuth,adjacent_45,S0-SM_tower_5,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_tower_6,AP50,0.9644510595413742,28
2,azimuth,adjacent_45,S0-SM_tower_7,AP50,0.9534932684893359,22
2,azimuth,adjacent_45,S0-SM_tower_8,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tower_9,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_tree1,AP50,1.0,20
2,azimuth,adjacent_45,S0-SM_tree10,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_tree11,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_tree12,AP50,0.9701979726056231,20
2,azimuth,adjacent_45,S0-SM_tree13,AP50,0.9933523272234037,13
2,azimuth,adjacent_45,S0-SM_tree14,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tree15,AP50,0.9862689404757787,8
2,azimuth,adjacent_45,S0-SM_tree16,AP50,0.9830031128514849,13
2,azimuth,adjacent_45,S0-SM_tree17,AP50,0.9654883790070192,20
2,azimuth,adjacent_45,S0-SM_tree18,AP50,0.986399710320291,7
2,azimuth,adjacent_45,S0-SM_tree19,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tree2,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_tree20,AP50,0.9723336242276677,18
2,azimuth,adjacent_45,S0-SM_tree21,AP50,0.9396967014057259,25
2,azimuth,adjacent_45,S0-SM_tree22,AP50,0.9603231769010497,27
2,azimuth,adjacent_45,S0-SM_tree23,AP50,1.0,14
2,azimuth,adjacent_45,S0-SM_tree24,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_tree25,AP50,1.0,29
2,azimuth,adjacent_45,S0-SM_tree26,AP50,1.0,18
2,azimuth,adjacent_45,S0-SM_tree27,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tree28,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_tree29,AP50,1.0,3
2,azimuth,adjacent_45,S0-SM_tree3,AP50,1.0,15
2,azimuth,adjacent_45,S0-SM_tree30,AP50,0.9891975303385834,21
2,azimuth,adjacent_45,S0-SM_tree4,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_tree5,AP50,0.9871861478234782,10
2,azimuth,adjacent_45,S0-SM_tree6,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_tree7,AP50,0.9988888888226615,30
2,azimuth,adjacent_45,S0-SM_tree8,AP50,1.0,8
2,azimuth,adjacent_45,S0-SM_tree9,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_whitevann10,AP50,1.0,5
2,azimuth,adjacent_45,S0-SM_whitevann11,AP50,1.0,12
2,azimuth,adjacent_45,S0-SM_whitevann12,AP50,1.0,1
2,azimuth,adjacent_45,S0-SM_whitevann13,AP50,1.0,27
2,azimuth,adjacent_45,S0-SM_whitevann14,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_whitevann15,AP50,1.0,18
2,azimuth,adjacent_45,S0-SM_whitevann16,AP50,1.0,9
2,azimuth,adjacent_45,S0-SM_whitevann17,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_whitevann18,AP50,1.0,25
2,azimuth,adjacent_45,S0-SM_whitevann19,AP50,0.9833333333333333,15
2,azimuth,adjacent_45,S0-SM_whitevann1_58,AP50,1.0,16
2,azimuth,adjacent_45,S0-SM_whitevann2,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_whitevann3,AP50,1.0,7
2,azimuth,adjacent_45,S0-SM_whitevann4,AP50,1.0,11
2,azimuth,adjacent_45,S0-SM_whitevann5,AP50,1.0,3
2,azimuth,adjacent_45,S0-SM_whitevann6,AP50,0.9707070711962502,22
2,azimuth,adjacent_45,S0-SM_whitevann7,AP50,1.0,18
2,azimuth,adjacent_45,S0-SM_whitevann8,AP50,1.0,6
2,azimuth,adjacent_45,S0-SM_whitevann9,AP50,1.0,10
2,azimuth,adjacent_45,S0-SM_barrel_1,AP50-95,0.8785714285714287,14
2,azimuth,adjacent_45,S0-SM_barrel_10,AP50-95,0.848958333581686,6
2,azimuth,adjacent_45,S0-SM_barrel_11,AP50-95,0.8020833333333334,6
2,azimuth,adjacent_45,S0-SM_barrel_12,AP50-95,0.9091666668653489,10
2,azimuth,adjacent_45,S0-SM_barrel_13,AP50-95,0.8279513890544573,6
2,azimuth,adjacent_45,S0-SM_barrel_14,AP50-95,0.8418576394311256,8
2,azimuth,adjacent_45,S0-SM_barrel_15,AP50-95,0.7865277783531281,8
2,azimuth,adjacent_45,S0-SM_barrel_16,AP50-95,0.7666666666666666,3
2,azimuth,adjacent_45,S0-SM_barrel_17,AP50-95,0.8250000000000001,12
2,azimuth,adjacent_45,S0-SM_barrel_18,AP50-95,0.730416666790843,5
2,azimuth,adjacent_45,S0-SM_barrel_19,AP50-95,0.7481666667386889,10
2,azimuth,adjacent_45,S0-SM_barrel_2,AP50-95,0.7380952380952381,21
2,azimuth,adjacent_45,S0-SM_barrel_20,AP50-95,0.781891025832066,13
2,azimuth,adjacent_45,S0-SM_barrel_21,AP50-95,0.8307692307692308,13
2,azimuth,adjacent_45,S0-SM_barrel_3,AP50-95,0.8181818181818182,11
2,azimuth,adjacent_45,S0-SM_barrel_4,AP50-95,0.857720680238771,30
2,azimuth,adjacent_45,S0-SM_barrel_5,AP50-95,0.7823529411764706,17
2,azimuth,adjacent_45,S0-SM_barrel_6,AP50-95,0.7834001909661203,23
2,azimuth,adjacent_45,S0-SM_barrel_7,AP50-95,0.8623456811555373,9
2,azimuth,adjacent_45,S0-SM_barrel_8,AP50-95,0.7285714285714285,14
2,azimuth,adjacent_45,S0-SM_container_1,AP50-95,1.0,13
2,azimuth,adjacent_45,S0-SM_container_10,AP50-95,0.995972222255336,18
2,azimuth,adjacent_45,S0-SM_container_11,AP50-95,0.9912760416666666,24
2,azimuth,adjacent_45,S0-SM_container_12,AP50-95,0.9769058644311664,9
2,azimuth,adjacent_45,S0-SM_container_13,AP50-95,0.9747650800612238,25
2,azimuth,adjacent_45,S0-SM_container_14,AP50-95,0.9833333343267441,9
2,azimuth,adjacent_45,S0-SM_container_15,AP50-95,0.9871836735471374,21
2,azimuth,adjacent_45,S0-SM_container_16,AP50-95,0.994265109902391,13
2,azimuth,adjacent_45,S0-SM_container_17,AP50-95,0.9898166670958201,15
2,azimuth,adjacent_45,S0-SM_container_18,AP50-95,0.9944081729664592,22
2,azimuth,adjacent_45,S0-SM_container_2,AP50-95,1.0,7
2,azimuth,adjacent_45,S0-SM_container_21,AP50-95,0.9729938281171115,9
2,azimuth,adjacent_45,S0-SM_container_22,AP50-95,0.9979166666666667,15
2,azimuth,adjacent_45,S0-SM_container_23,AP50-95,0.996875,15
2,azimuth,adjacent_45,S0-SM_container_3,AP50-95,1.0,11
2,azimuth,adjacent_45,S0-SM_container_30,AP50-95,0.9869905626688172,37
2,azimuth,adjacent_45,S0-SM_container_4,AP50-95,1.0,14
2,azimuth,adjacent_45,S0-SM_container_5,AP50-95,0.9752604167908431,12
2,azimuth,adjacent_45,S0-SM_container_6,AP50-95,1.0,4
2,azimuth,adjacent_45,S0-SM_container_7,AP50-95,0.979296875216015,16
2,azimuth,adjacent_45,S0-SM_container_8,AP50-95,0.9968181818723678,11
2,azimuth,adjacent_45,S0-SM_container_9,AP50-95,1.0,7
2,azimuth,adjacent_45,S0-SM_male1,AP50-95,0.9,2
2,azimuth,adjacent_45,S0-SM_male10,AP50-95,0.6781646829164986,28
2,azimuth,adjacent_45,S0-SM_male11,AP50-95,0.8236111127047074,2
2,azimuth,adjacent_45,S0-SM_male12,AP50-95,0.7117965395413178,11
2,azimuth,adjacent_45,S0-SM_male14,AP50-95,0.7807142861755122,7
2,azimuth,adjacent_45,S0-SM_male15,AP50-95,0.7913559946381706,38
2,azimuth,adjacent_45,S0-SM_male16,AP50-95,0.7130886252210648,12
2,azimuth,adjacent_45,S0-SM_male17,AP50-95,0.8459523819573224,14
2,azimuth,adjacent_45,S0-SM_male18,AP50-95,0.8227169829422641,26
2,azimuth,adjacent_45,S0-SM_male19,AP50-95,0.7733333379030226,6
2,azimuth,adjacent_45,S0-SM_male2,AP50-95,0.7907142857462167,20
2,azimuth,adjacent_45,S0-SM_male20,AP50-95,0.7806440802529381,26
2,azimuth,adjacent_45,S0-SM_male3,AP50-95,0.6761904778047686,21
2,azimuth,adjacent_45,S0-SM_male4,AP50-95,0.8448888900147544,30
2,azimuth,adjacent_45,S0-SM_male5,AP50-95,0.7881779109108109,12
2,azimuth,adjacent_45,S0-SM_male6,AP50-95,0.6913194477609876,8
2,azimuth,adjacent_45,S0-SM_male7,AP50-95,0.6777777782951792,6
2,azimuth,adjacent_45,S0-SM_male8,AP50-95,0.8184210526315789,38
2,azimuth,adjacent_45,S0-SM_male9,AP50-95,0.82,10
2,azimuth,adjacent_45,S0-SM_rock1,AP50-95,1.0,27
2,azimuth,adjacent_45,S0-SM_rock10,AP50-95,0.9832166203979601,21
2,azimuth,adjacent_45,S0-SM_rock11,AP50-95,0.955436509915051,14
2,azimuth,adjacent_45,S0-SM_rock12,AP50-95,0.97982793690578,23
2,azimuth,adjacent_45,S0-SM_rock13,AP50-95,0.9973958333333334,6
2,azimuth,adjacent_45,S0-SM_rock14,AP50-95,0.9924479166977107,16
2,azimuth,adjacent_45,S0-SM_rock15,AP50-95,0.9875334173432219,19
2,azimuth,adjacent_45,S0-SM_rock16,AP50-95,1.0,10
2,azimuth,adjacent_45,S0-SM_rock17,AP50-95,0.9758522732137278,25
2,azimuth,adjacent_45,S0-SM_rock18,AP50-95,0.9712487069043807,23
2,azimuth,adjacent_45,S0-SM_rock19,AP50-95,0.9160030834248035,3
2,azimuth,adjacent_45,S0-SM_rock2,AP50-95,1.0,31
2,azimuth,adjacent_45,S0-SM_rock20,AP50-95,0.948412700517783,9
2,azimuth,adjacent_45,S0-SM_rock21,AP50-95,0.9612806771801505,26
2,azimuth,adjacent_45,S0-SM_rock3,AP50-95,1.0,10
2,azimuth,adjacent_45,S0-SM_rock4,AP50-95,0.9818869682358807,28
2,azimuth,adjacent_45,S0-SM_rock5,AP50-95,1.0,8
2,azimuth,adjacent_45,S0-SM_rock6,AP50-95,0.9207538030441238,14
2,azimuth,adjacent_45,S0-SM_rock7,AP50-95,0.9545252538937511,15
2,azimuth,adjacent_45,S0-SM_rock8,AP50-95,0.9247619083736623,2
2,azimuth,adjacent_45,S0-SM_rock9,AP50-95,0.9535038707950285,20
2,azimuth,adjacent_45,S0-SM_suv1,AP50-95,1.0,8
2,azimuth,adjacent_45,S0-SM_suv10,AP50-95,0.9500000000000001,6
2,azimuth,adjacent_45,S0-SM_suv11,AP50-95,0.99,10
2,azimuth,adjacent_45,S0-SM_suv12,AP50-95,0.9111742425032637,22
2,azimuth,adjacent_45,S0-SM_suv13_13,AP50-95,0.9574404762259551,14
2,azimuth,adjacent_45,S0-SM_suv14_17,AP50-95,0.95,4
2,azimuth,adjacent_45,S0-SM_suv15,AP50-95,1.0,1
2,azimuth,adjacent_45,S0-SM_suv16,AP50-95,0.9632169917274218,22
2,azimuth,adjacent_45,S0-SM_suv17,AP50-95,0.9826923076923078,13
2,azimuth,adjacent_45,S0-SM_suv18,AP50-95,0.9610000005960464,25
2,azimuth,adjacent_45,S0-SM_suv19,AP50-95,0.9714285714285714,7
2,azimuth,adjacent_45,S0-SM_suv2,AP50-95,0.932291666759799,12
2,azimuth,adjacent_45,S0-SM_suv20,AP50-95,0.89,20
2,azimuth,adjacent_45,S0-SM_suv21,AP50-95,0.9199702382646502,20
2,azimuth,adjacent_45,S0-SM_suv22,AP50-95,0.9580729168839752,32
2,azimuth,adjacent_45,S0-SM_suv3,AP50-95,0.9936507939819306,7
2,azimuth,adjacent_45,S0-SM_suv4,AP50-95,0.9747421354169191,28
2,azimuth,adjacent_45,S0-SM_suv5,AP50-95,0.9464248043547304,44
2,azimuth,adjacent_45,S0-SM_suv6,AP50-95,0.9860000010728835,2
2,azimuth,adjacent_45,S0-SM_suv7,AP50-95,0.9869320177906439,19
2,azimuth,adjacent_45,S0-SM_suv8,AP50-95,0.9719444444713493,24
2,azimuth,adjacent_45,S0-SM_suv9,AP50-95,0.9889423076923076,13
2,azimuth,adjacent_45,S0-SM_tank1,AP50-95,0.970967741935484,31
2,azimuth,adjacent_45,S0-SM_tank10,AP50-95,0.85,16
2,azimuth,adjacent_45,S0-SM_tank11,AP50-95,0.98,15
2,azimuth,adjacent_45,S0-SM_tank12,AP50-95,0.9788773150148767,12
2,azimuth,adjacent_45,S0-SM_tank14,AP50-95,0.9128571900317972,18
2,azimuth,adjacent_45,S0-SM_tank15,AP50-95,0.9305431553744711,16
2,azimuth,adjacent_45,S0-SM_tank16,AP50-95,0.9125,4
2,azimuth,adjacent_45,S0-SM_tank17,AP50-95,0.99375,6
2,azimuth,adjacent_45,S0-SM_tank18,AP50-95,0.9874999999999999,12
2,azimuth,adjacent_45,S0-SM_tank19,AP50-95,0.9079656865959074,34
2,azimuth,adjacent_45,S0-SM_tank2,AP50-95,0.8200000001490115,5
2,azimuth,adjacent_45,S0-SM_tank20,AP50-95,0.9703125,8
2,azimuth,adjacent_45,S0-SM_tank3,AP50-95,0.7787159874636148,7
2,azimuth,adjacent_45,S0-SM_tank4,AP50-95,0.995703125,8
2,azimuth,adjacent_45,S0-SM_tank5,AP50-95,0.9221296309983289,15
2,azimuth,adjacent_45,S0-SM_tank6,AP50-95,0.8918253970518709,5
2,azimuth,adjacent_45,S0-SM_tank7,AP50-95,0.9644736842105263,38
2,azimuth,adjacent_45,S0-SM_tank8,AP50-95,0.7970303039320491,11
2,azimuth,adjacent_45,S0-SM_tank9,AP50-95,0.9800000000000001,10
2,azimuth,adjacent_45,S0-SM_tent_1,AP50-95,1.0,28
2,azimuth,adjacent_45,S0-SM_tent_10,AP50-95,0.9850064981202072,27
2,azimuth,adjacent_45,S0-SM_tent_11,AP50-95,0.9930520834724108,12
2,azimuth,adjacent_45,S0-SM_tent_12,AP50-95,0.9970000002086162,4
2,azimuth,adjacent_45,S0-SM_tent_13,AP50-95,0.9839743597385211,13
2,azimuth,adjacent_45,S0-SM_tent_14,AP50-95,1.0,10
2,azimuth,adjacent_45,S0-SM_tent_15,AP50-95,0.9928918270697961,26
2,azimuth,adjacent_45,S0-SM_tent_16,AP50-95,0.9982857144049236,14
2,azimuth,adjacent_45,S0-SM_tent_17,AP50-95,0.9874625004688898,20
2,azimuth,adjacent_45,S0-SM_tent_18,AP50-95,0.9914027781462859,14
2,azimuth,adjacent_45,S0-SM_tent_2,AP50-95,0.9839880954740303,28
2,azimuth,adjacent_45,S0-SM_tent_3,AP50-95,0.9982857144049236,7
2,azimuth,adjacent_45,S0-SM_tent_4,AP50-95,0.9982142858207226,14
2,azimuth,adjacent_45,S0-SM_tent_5,AP50-95,0.9519547351057268,18
2,azimuth,adjacent_45,S0-SM_tent_6,AP50-95,0.9687169324212447,6
