drone_count,relationship_axis,relationship_type,metric,scene_count,total_combo_count,mean_scene_value,ci95_low,ci95_high,scene_sd
2,azimuth,adjacent_45,AP50-95,203,3035,0.9289755826173063,0.9169350307736974,0.9399995977529768,0.08352259343747595
2,azimuth,quarter_turn_90,AP50-95,204,3025,0.9268576657696228,0.9145613629129223,0.9386800758468663,0.09025766304584017
2,azimuth,opposite_180,AP50-95,194,1485,0.9258783754930348,0.9127642434049174,0.9380679941454303,0.08835478919086293
2,azimuth,same_azimuth,AP50-95,200,1368,0.9217438187269715,0.9088140502372822,0.9338996823236569,0.08960057704219863
2,distance,near_far,AP50-95,194,2631,0.9285389010172375,0.916500746335474,0.9415420886044715,0.0882237838838545
2,distance,same_radius,AP50-95,205,3817,0.9284974412624711,0.9168550290218106,0.9392361722029604,0.08321575459790982
2,distance,adjacent_radius,AP50-95,200,5398,0.9249546780628374,0.9120173836863786,0.9367346108421278,0.08664681623422274
2,elevation,adjacent_elevation,AP50-95,201,5385,0.9336180671105999,0.9216486561593187,0.9443926014628117,0.08269333909419006
2,elevation,low_high,AP50-95,198,2688,0.9275994991070206,0.9140365005106748,0.9403596841327926,0.09310891487495981
2,elevation,same_elevation,AP50-95,205,3773,0.9208073263663609,0.9083679906544467,0.9327115703386867,0.08722707773475619
2,mixed_diversity,elevation_only,AP50-95,167,351,0.9381007541673543,0.9234326352551244,0.9518178220379792,0.08843512643880677
2,mixed_diversity,elevation+azimuth,AP50-95,204,2344,0.9324698583727152,0.9203873889348804,0.9439711649565778,0.08442215828107023
2,mixed_diversity,distance+elevation+azimuth,AP50-95,205,4686,0.9314144574824067,0.9196552961050551,0.943218263216727,0.08523639258865953
2,mixed_diversity,distance+elevation,AP50-95,185,692,0.9287540987590007,0.9154774316976257,0.9413662415669438,0.0904014094505692
2,mixed_diversity,distance+azimuth,AP50-95,204,2326,0.9251822326768643,0.9129002611247994,0.9366601241342783,0.08671056365524445
2,mixed_diversity,azimuth_only,AP50-95,193,1122,0.9201900212188023,0.9062896585388166,0.9322577218430972,0.09110727574916769
2,mixed_diversity,distance_only,AP50-95,155,325,0.8987221268434925,0.8763334971723242,0.9197719904813036,0.14129748549073526
2,azimuth,adjacent_45,F1,203,3035,0.7605977111781678,0.7374925509534277,0.7827178780138491,0.1630933949166346
2,azimuth,diagonal_135,F1,204,2933,0.751333277154232,0.7292231550286316,0.7725110509946181,0.16194902813480797
2,azimuth,same_azimuth,F1,200,1368,0.7503812715388775,0.7281493359641497,0.7707092328069649,0.1560469061809388
2,azimuth,quarter_turn_90,F1,204,3025,0.7463807446655962,0.7227989144123831,0.7679179679846831,0.16424542300970976
2,azimuth,opposite_180,F1,194,1485,0.7389907649242292,0.7148232380820593,0.763097671174327,0.17854079887333282
2,distance,same_radius,F1,205,3817,0.757238245208343,0.736385103136961,0.7780867079416763,0.15745407656043914
2,distance,adjacent_radius,F1,200,5398,0.7499216615034022,0.7268679955537136,0.7724971360541275,0.16083796967112132
2,distance,near_far,F1,194,2631,0.7381153189186074,0.7131444631323584,0.7610130163388127,0.17222655028111902
2,elevation,adjacent_elevation,F1,201,5385,0.762696174369288,0.741207594679801,0.783395771323306,0.15609171711667605
2,elevation,same_elevation,F1,205,3773,0.7586732694492073,0.7354707093979543,0.7808722058131278,0.17076175744858244
2,elevation,low_high,F1,198,2688,0.7007002680717479,0.6751137820174656,0.7251408504381591,0.17571448057928238
2,mixed_diversity,elevation_only,F1,167,351,0.7786749158345138,0.7498434939822509,0.8084794531873053,0.19699878243819174
2,mixed_diversity,azimuth_only,F1,193,1122,0.7651009115319306,0.7399280225885191,0.7898934131979969,0.1783310237378688
2,mixed_diversity,distance+azimuth,F1,204,2326,0.7607021850921267,0.7358373123310046,0.7854382798847237,0.17659015474043877
2,mixed_diversity,distance_only,F1,155,325,0.7540964806438019,0.7202818985994957,0.7871875201173012,0.21152733451166203
2,mixed_diversity,elevation+azimuth,F1,204,2344,0.7509673144859451,0.7288657081684057,0.7722013630421735,0.1605634113510289
2,mixed_diversity,distance+elevation+azimuth,F1,205,4686,0.7429296965208176,0.7218559015325231,0.7636176730339054,0.1563078942557291
2,mixed_diversity,distance+elevation,F1,185,692,0.7400371640775532,0.716325195722661,0.7631822984084596,0.16731516134049507
2,azimuth,adjacent_45,precision,203,3035,0.6781649730855839,0.6503523784590827,0.7063962762894853,0.2012455630391473
2,azimuth,diagonal_135,precision,204,2933,0.6658076141773944,0.639074954040408,0.6926432370317162,0.1982870135766504
2,azimuth,same_azimuth,precision,200,1368,0.6624292891570707,0.6361839585657761,0.6885901644486025,0.19439323675283676
2,azimuth,quarter_turn_90,precision,204,3025,0.6611825721307539,0.6333785426128583,0.6880021995459273,0.20059116424988613
2,azimuth,opposite_180,precision,194,1485,0.6512153269443942,0.6208697823694367,0.6811739344778693,0.2160447882032073
2,distance,same_radius,precision,205,3817,0.6738922863864221,0.6468176865837986,0.7002595333289479,0.1934441850795068
2,distance,adjacent_radius,precision,200,5398,0.6643259840156321,0.6366273697066605,0.6913765141605636,0.19642722448431194
2,distance,near_far,precision,194,2631,0.6502646087955223,0.6221637155012796,0.678326311152751,0.20951670231377717
2,elevation,same_elevation,precision,205,3773,0.680005156491081,0.6511282270781161,0.7091469641824757,0.20912170375326225
2,elevation,adjacent_elevation,precision,201,5385,0.6793481338309428,0.6530544171594995,0.7057830130094621,0.19252437305967893
2,elevation,low_high,precision,198,2688,0.6000056158820338,0.570715615224894,0.6285319523501868,0.2097563473397569
2,mixed_diversity,elevation_only,precision,167,351,0.698453480847103,0.6599003051386285,0.7343525989301457,0.25022764823432664
2,mixed_diversity,azimuth_only,precision,193,1122,0.6894921616022479,0.6562651033914471,0.7216494819081082,0.2211127393698977
2,mixed_diversity,distance+azimuth,precision,204,2326,0.6815517201685477,0.650823575953155,0.7104935880716625,0.21664003427491604
2,mixed_diversity,distance_only,precision,155,325,0.6755362688251872,0.6360300933667113,0.7152124646099686,0.25599347733485966
2,mixed_diversity,elevation+azimuth,precision,204,2344,0.6636760180104884,0.6357617322762493,0.6893824092185641,0.19634057693887558
2,mixed_diversity,distance+elevation+azimuth,precision,205,4686,0.6540641307429019,0.627508954539793,0.6789738164172947,0.19098475281279834
2,mixed_diversity,distance+elevation,precision,185,692,0.6450648339562919,0.6138434057098103,0.674177319390612,0.20337992963332108
2,azimuth,adjacent_45,recall,203,3035,0.9677499365569487,0.9610551105515588,0.9738895456336495,0.046637265768452944
2,azimuth,same_azimuth,recall,200,1368,0.9639751805874315,0.9557854548842507,0.9715556907251818,0.056868698698143726
2,azimuth,opposite_180,recall,194,1485,0.963781695258137,0.9543314718554884,0.9717194428645203,0.06316464346122433
2,azimuth,diagonal_135,recall,204,2933,0.9632152341649218,0.955110443624248,0.9704847387826704,0.05545985442110836
2,azimuth,quarter_turn_90,recall,204,3025,0.9599305583900193,0.95164015682436,0.9674773023905502,0.05843295963546464
2,distance,same_radius,recall,205,3817,0.9645257570413702,0.9574972684999612,0.9707927023394459,0.05012557793636622
2,distance,adjacent_radius,recall,200,5398,0.9637243458743404,0.9563622907187942,0.9699322815465051,0.048976439917823154
2,distance,near_far,recall,194,2631,0.9632990813235348,0.9553030020591535,0.970651007311919,0.05620232532654942
2,elevation,adjacent_elevation,recall,201,5385,0.9684450014390619,0.9626213200712429,0.9738888643164337,0.04090996179476085
2,elevation,same_elevation,recall,205,3773,0.9623236861094082,0.9542115289412895,0.9693562895401225,0.056122619477519224
2,elevation,low_high,recall,198,2688,0.9534960007998544,0.942763537971471,0.9631666896673471,0.07249471718081847
2,mixed_diversity,elevation_only,recall,167,351,0.9754337641412176,0.9672886056803092,0.983438490974291,0.054425637329014585
2,mixed_diversity,distance+elevation,recall,185,692,0.9651314450628176,0.9550633029386705,0.9740282029458501,0.0689125764767307
2,mixed_diversity,elevation+azimuth,recall,204,2344,0.965059790745768,0.957788178273486,0.9714195611153696,0.05232149897431401
2,mixed_diversity,distance+elevation+azimuth,recall,205,4686,0.9648466962672373,0.9585557205226366,0.9709289009483933,0.04760764186194794
2,mixed_diversity,distance+azimuth,recall,204,2326,0.9647198253494943,0.9564309827750822,0.9722968795508357,0.055505841802593506
2,mixed_diversity,azimuth_only,recall,193,1122,0.9641205045256419,0.9557216520540521,0.9715974757362037,0.058519097081606596
2,mixed_diversity,distance_only,recall,155,325,0.9565555797424868,0.9360615477308553,0.9739675340419648,0.12032023963926007
2,azimuth,opposite_180,strict_quality,194,1485,0.9094506326039863,0.8975127866037811,0.920453246548808,0.08034529635427212
2,azimuth,quarter_turn_90,strict_quality,204,3025,0.909213395290013,0.8977266500940441,0.920551973663882,0.08362115104021595
2,azimuth,diagonal_135,strict_quality,204,2933,0.9090891158945466,0.8970248287392977,0.9197313254760666,0.07995320417430658
2,azimuth,adjacent_45,strict_quality,203,3035,0.9090504981618137,0.8977781508006849,0.9198582003024536,0.07841338371331417
2,azimuth,same_azimuth,strict_quality,200,1368,0.905904122092927,0.894433322131792,0.9171901558004405,0.08262278261965074
2,distance,near_far,strict_quality,194,2631,0.911561578215345,0.8999859218360156,0.9226739856029287,0.07920016431450462
2,distance,same_radius,strict_quality,205,3817,0.9083663300463539,0.8974398068409108,0.9192786661680187,0.07905182260118496
2,distance,adjacent_radius,strict_quality,200,5398,0.9064876933591058,0.8945617403368368,0.9175643543533757,0.08153824357331434
2,elevation,adjacent_elevation,strict_quality,201,5385,0.9123035608577561,0.901325864220101,0.92279848891626,0.07684644772826088
2,elevation,low_high,strict_quality,198,2688,0.9111709795968568,0.8999623269949377,0.9213888519733606,0.07808116136598886
2,elevation,same_elevation,strict_quality,205,3773,0.9051932911585728,0.8933158667088964,0.9162684096997953,0.08377202945279086
2,mixed_diversity,elevation_only,strict_quality,167,351,0.91670182511484,0.9051821911719915,0.9274341969397104,0.07318153028089949
2,mixed_diversity,distance+elevation+azimuth,strict_quality,205,4686,0.9110273134209512,0.9004677631354867,0.9212630517196057,0.07771690264415712
2,mixed_diversity,elevation+azimuth,strict_quality,204,2344,0.9100208218643743,0.8984042359488593,0.920547015961574,0.07844528788570693
2,mixed_diversity,distance+elevation,strict_quality,185,692,0.9098021992557512,0.8973964542053701,0.9203733728555582,0.08014314900272448
2,mixed_diversity,distance+azimuth,strict_quality,204,2326,0.9080144614090632,0.8966766117949053,0.9188712401035706,0.0825227831328709
2,mixed_diversity,azimuth_only,strict_quality,193,1122,0.9038924138152108,0.8908940361108845,0.9164367502013915,0.08644721580508456
2,mixed_diversity,distance_only,strict_quality,155,325,0.8911508895104278,0.8709081909557611,0.9089417551256137,0.12158431773161629
3,azimuth,broad_or_opposite_azimuths,AP50,194,13776,0.9994131235721103,0.998774714028783,0.999835604584412,0.0038140579731537395
3,azimuth,medium_spread_azimuths,AP50,204,15615,0.9990950214186747,0.9984602737742144,0.99958164329439,0.0042127480652313165
3,azimuth,compact_azimuths,AP50,202,12255,0.998925455189311,0.9982512308194832,0.9994778178427399,0.0045740339311011345
3,distance,same_radius,AP50,197,4167,0.9992758777439614,0.9985919256704868,0.9997803681680926,0.004388223143496432
3,distance,adjacent_radius,AP50,200,18852,0.9991731048495818,0.9986693812710543,0.9996051852827406,0.0033678369805481435
3,distance,near_far,AP50,194,18627,0.998815195074599,0.9980436308131558,0.9994675917983439,0.004930776734131349
3,elevation,low_high,AP50,198,19079,0.9994514639366116,0.9989135736429801,0.999851402097149,0.003373877540643062
3,elevation,adjacent_elevation,AP50,201,18567,0.9993024835313213,0.9987674419345142,0.9997193228885887,0.0035812667098332894
3,elevation,same_elevation,AP50,197,4000,0.9975689939731252,0.9959477107835937,0.9988450195192358,0.010624219649928601
3,mixed_diversity,distance_only,AP50,17,17,1.0,1.0,1.0,0.0
3,mixed_diversity,distance+elevation,AP50,137,481,0.9996919788010074,0.9990759364030221,1.0,0.003374040141575718
3,mixed_diversity,distance+elevation+azimuth,AP50,205,33303,0.9993844806357732,0.998864394086289,0.9997601033046019,0.0031599965374420427
3,mixed_diversity,elevation+azimuth,AP50,197,3848,0.9993148812205657,0.9986100094745815,0.9998344034753268,0.0044412436374743946
3,mixed_diversity,azimuth_only,AP50,118,305,0.998356360909904,0.9960517071239742,0.9998822975588046,0.010979154420886738
3,mixed_diversity,distance+azimuth,AP50,197,3678,0.9973675817084174,0.9957549405076368,0.9987456801247979,0.011315064803039353
