drone_count,relationship_axis,metric,left_relationship_type,right_relationship_type,comparison,common_scene_count,mean_difference,ci95_low,ci95_high,approx_two_sided_p,left_mean_on_common_scenes,right_mean_on_common_scenes
2,azimuth,strict_quality,adjacent_45,diagonal_135,adjacent_45 minus diagonal_135,202,-0.000537152583411355,-0.00287683340966467,0.001954759537163619,0.627,0.9088449268351522,0.9093820794185635
2,azimuth,strict_quality,adjacent_45,quarter_turn_90,adjacent_45 minus quarter_turn_90,202,0.00039988166119323237,-0.002680351763534541,0.0037823255297028784,0.833,0.909721219485631,0.9093213378244378
2,azimuth,strict_quality,diagonal_135,opposite_180,diagonal_135 minus opposite_180,194,6.396880077463404e-05,-0.0022109499739307965,0.002340867502548342,0.962,0.9095146014047608,0.9094506326039863
2,distance,strict_quality,adjacent_radius,near_far,adjacent_radius minus near_far,189,-0.004578411283568451,-0.007796532203859744,-0.001190723233392424,0.012,0.9059944718630667,0.9105728831466351
2,distance,strict_quality,near_far,same_radius,near_far minus same_radius,194,0.003114318307729442,-0.00012619600842903958,0.006717175698972742,0.061,0.911561578215345,0.9084472599076157
2,distance,strict_quality,adjacent_radius,same_radius,adjacent_radius minus same_radius,200,-0.000854073319666207,-0.002849937728829397,0.0011510200465564917,0.426,0.9064876933591057,0.907341766678772
2,elevation,strict_quality,adjacent_elevation,same_elevation,adjacent_elevation minus same_elevation,201,0.006036720984482535,0.00327907433390514,0.009235624217985053,0.0,0.912303560857756,0.9062668398732735
2,elevation,strict_quality,low_high,same_elevation,low_high minus same_elevation,198,0.003946825985962337,0.0006861751346084627,0.007464392284609858,0.016,0.9111709795968568,0.9072241536108945
2,elevation,strict_quality,adjacent_elevation,low_high,adjacent_elevation minus low_high,194,0.0023465252224733886,-0.0003479844644122824,0.005094855772757045,0.083,0.9144902047237017,0.9121436795012284
2,mixed_diversity,strict_quality,distance_only,elevation_only,distance_only minus elevation_only,135,-0.02168543202924514,-0.04061353869047935,-0.007317937411740556,0.001,0.8937345967084027,0.9154200287376478
2,mixed_diversity,strict_quality,distance+elevation,distance_only,distance+elevation minus distance_only,148,0.02003819530026469,0.006693557794466065,0.03694299688090943,0.0,0.9110847864421072,0.8910465911418426
2,mixed_diversity,strict_quality,distance+elevation+azimuth,distance_only,distance+elevation+azimuth minus distance_only,155,0.01834369097412667,0.006059566818294195,0.03433438832255035,0.001,0.9094945804845541,0.8911508895104275
2,mixed_diversity,strict_quality,distance_only,elevation+azimuth,distance_only minus elevation+azimuth,155,-0.016904355079574527,-0.03164936307650821,-0.005372602550166447,0.001,0.8911508895104275,0.9080552445900022
2,mixed_diversity,strict_quality,distance+azimuth,distance_only,distance+azimuth minus distance_only,155,0.013744789292844185,0.002331088716817913,0.02762076803746393,0.011,0.9048956788032718,0.8911508895104275
2,mixed_diversity,strict_quality,azimuth_only,distance_only,azimuth_only minus distance_only,152,0.012589546649609526,0.0010170491539357549,0.02793212273279997,0.02,0.9029624531757654,0.8903729065261557
2,mixed_diversity,strict_quality,azimuth_only,elevation_only,azimuth_only minus elevation_only,163,-0.008338019836340213,-0.01320731050262219,-0.0039914958033189715,0.0,0.9093473029942514,0.9176853228305917
2,mixed_diversity,strict_quality,azimuth_only,distance+elevation,azimuth_only minus distance+elevation,180,-0.007551242866488652,-0.012227689756633442,-0.0033646143783887935,0.0,0.9031417347204668,0.9106929775869556
2,mixed_diversity,strict_quality,azimuth_only,distance+elevation+azimuth,azimuth_only minus distance+elevation+azimuth,193,-0.006819717050934092,-0.01081191990686383,-0.002998741665821565,0.0,0.9038924138152108,0.9107121308661449
2,mixed_diversity,strict_quality,distance+azimuth,elevation_only,distance+azimuth minus elevation_only,167,-0.005537153928641812,-0.01074280025758889,-0.0010958996602721683,0.01,0.9111646711861979,0.9167018251148398
2,mixed_diversity,strict_quality,azimuth_only,elevation+azimuth,azimuth_only minus elevation+azimuth,192,-0.005385362685047378,-0.009419717954272095,-0.0016649958873733803,0.005,0.9041527751303158,0.9095381378153632
2,mixed_diversity,strict_quality,distance+azimuth,distance+elevation,distance+azimuth minus distance+elevation,184,-0.005315561747191577,-0.009251157910531058,-0.0012606577684699015,0.013,0.9050974397674204,0.9104130015146119
2,mixed_diversity,strict_quality,distance+azimuth,distance+elevation+azimuth,distance+azimuth minus distance+elevation+azimuth,204,-0.003499213203911141,-0.006514937390699009,-0.0005506721662258067,0.016,0.9080144614090632,0.9115136746129743
2,mixed_diversity,strict_quality,azimuth_only,distance+azimuth,azimuth_only minus distance+azimuth,192,-0.003376494220928471,-0.007954861384071353,0.0008068935234735841,0.109,0.9041527751303158,0.9075292693512442
2,mixed_diversity,strict_quality,distance+elevation,elevation+azimuth,distance+elevation minus elevation+azimuth,184,0.0028098139034445327,-0.0001794866694169595,0.006131540036162405,0.061,0.9104130015146119,0.9076031876111675
2,mixed_diversity,strict_quality,elevation+azimuth,elevation_only,elevation+azimuth minus elevation_only,167,-0.0023683812293346096,-0.006684625971133185,0.002011569498716794,0.302,0.9143334438855052,0.9167018251148398
2,mixed_diversity,strict_quality,distance+azimuth,elevation+azimuth,distance+azimuth minus elevation+azimuth,204,-0.002006360455311038,-0.005100248862730195,0.0011067253812122816,0.218,0.9080144614090632,0.9100208218643742
2,mixed_diversity,strict_quality,distance+elevation+azimuth,elevation+azimuth,distance+elevation+azimuth minus elevation+azimuth,204,0.0014928527486001034,-0.00025152933292185763,0.003336595873049069,0.099,0.9115136746129743,0.9100208218643742
2,mixed_diversity,strict_quality,distance+elevation,distance+elevation+azimuth,distance+elevation minus distance+elevation+azimuth,185,0.001478134176633436,-0.0011452148001224831,0.004192236394350811,0.273,0.9098021992557512,0.9083240650791179
2,mixed_diversity,strict_quality,distance+elevation+azimuth,elevation_only,distance+elevation+azimuth minus elevation_only,167,-0.0013464744168767769,-0.005463571663444684,0.002632985640647241,0.518,0.915355350697963,0.9167018251148398
2,mixed_diversity,strict_quality,distance+elevation,elevation_only,distance+elevation minus elevation_only,154,-0.0003927483215773648,-0.004814824051044852,0.0041106861726064375,0.904,0.9153492841341536,0.9157420324557308
3,azimuth,AP50,broad_or_opposite_azimuths,compact_azimuths,broad_or_opposite_azimuths minus compact_azimuths,193,0.0005347358795264106,-0.00015596691557267432,0.0012581261230475975,0.117,0.999410082761603,0.9988753468820767
3,azimuth,AP50,broad_or_opposite_azimuths,medium_spread_azimuths,broad_or_opposite_azimuths minus medium_spread_azimuths,194,0.0003647505339162619,-0.00028149634594908454,0.0010221067186602813,0.251,0.9994131235721103,0.9990483730381939
3,azimuth,AP50,compact_azimuths,medium_spread_azimuths,compact_azimuths minus medium_spread_azimuths,201,-0.0001614050804420022,-0.0007866944188980704,0.0003945526516132359,0.581,0.9989201091952278,0.9990815142756698
3,distance,AP50,near_far,same_radius,near_far minus same_radius,188,-0.0004638301653629475,-0.0012747290042203457,0.0003926253960996146,0.278,0.998777382151448,0.9992412123168108
3,distance,AP50,adjacent_radius,near_far,adjacent_radius minus near_far,189,0.00034112764785264115,-0.00014915689341433582,0.0008854242294058888,0.169,0.9991249786768059,0.9987838510289535
3,distance,AP50,adjacent_radius,same_radius,adjacent_radius minus same_radius,192,-0.00011836950856294245,-0.0007407044061177038,0.0006112591337172079,0.645,0.9991386508849809,0.9992570203935439
3,elevation,AP50,low_high,same_elevation,low_high minus same_elevation,191,0.001938733229023344,0.0006002348919367773,0.0035699614096938725,0.001,0.9994313605206759,0.9974926272916526
3,elevation,AP50,adjacent_elevation,same_elevation,adjacent_elevation minus same_elevation,193,0.0017549605030567996,0.0004040289206141867,0.003311614480672628,0.005,0.9992735709315834,0.9975186104285266
3,elevation,AP50,adjacent_elevation,low_high,adjacent_elevation minus low_high,194,-0.00016283850336853777,-0.0006828174733207622,0.00021267389780491687,0.491,0.9992773154113176,0.9994401539146861
3,mixed_diversity,AP50,distance+elevation,elevation_only,distance+elevation minus elevation_only,14,0.006077817455190093,0.0,0.01823345236557028,0.687,0.9998121536807005,0.9937343362255104
3,mixed_diversity,AP50,elevation+azimuth,elevation_only,elevation+azimuth minus elevation_only,14,0.005272536314225473,-0.0009634386146475779,0.016781047557323996,0.67,0.999006872539736,0.9937343362255104
3,mixed_diversity,AP50,distance+elevation+azimuth,elevation_only,distance+elevation+azimuth minus elevation_only,14,0.0046709166263591406,-0.0015992922258885284,0.015612042104965949,0.745,0.9984052528518695,0.9937343362255104
3,mixed_diversity,AP50,azimuth_only,distance_only,azimuth_only minus distance_only,16,-0.004179067778149768,-0.012537203334449305,0.0,0.692,0.9958209322218502,1.0
3,mixed_diversity,AP50,distance+azimuth,distance_only,distance+azimuth minus distance_only,17,-0.003986365527004076,-0.008406729296139621,0.0,0.072,0.9960136344729958,1.0
3,mixed_diversity,AP50,distance+azimuth,distance+elevation,distance+azimuth minus distance+elevation,136,-0.003165180885076252,-0.005475046396233088,-0.0011443328084137885,0.001,0.9965245330541737,0.99968971393925
3,mixed_diversity,AP50,distance_only,elevation+azimuth,distance_only minus elevation+azimuth,17,0.0028143800790601625,0.0,0.006716961654131682,0.083,1.0,0.9971856199209398
3,mixed_diversity,AP50,distance+elevation,distance_only,distance+elevation minus distance_only,15,-0.002637937052786928,-0.007913811158360784,0.0,0.699,0.9973620629472131,1.0
3,mixed_diversity,AP50,distance+elevation+azimuth,distance_only,distance+elevation+azimuth minus distance_only,17,-0.0022509932521345864,-0.006237118539901472,0.0,0.079,0.9977490067478655,1.0
3,mixed_diversity,AP50,distance+azimuth,distance+elevation+azimuth,distance+azimuth minus distance+elevation+azimuth,197,-0.001991903217133535,-0.0037061363382463576,-0.0006198778766002963,0.002,0.9973675817084173,0.9993594849255508
3,mixed_diversity,AP50,distance+azimuth,elevation+azimuth,distance+azimuth minus elevation+azimuth,193,-0.0019876580512601847,-0.0037875936968786985,-0.00039605077812631615,0.013,0.9973130238163638,0.999300681867624
3,mixed_diversity,AP50,azimuth_only,distance+elevation,azimuth_only minus distance+elevation,99,-0.0015593975438334333,-0.004006613962176238,-0.00014562106920700544,0.008,0.9980409150239261,0.9996003125677596
3,mixed_diversity,AP50,azimuth_only,distance+azimuth,azimuth_only minus distance+azimuth,118,0.0012331023934966882,-0.0005289695520634469,0.0033199710546085574,0.2,0.9983563609099041,0.9971232585164075
3,mixed_diversity,AP50,azimuth_only,distance+elevation+azimuth,azimuth_only minus distance+elevation+azimuth,118,-0.0009760039622664165,-0.003145818216815114,0.00031176534239809526,0.279,0.9983563609099041,0.9993323648721705
3,mixed_diversity,AP50,azimuth_only,elevation+azimuth,azimuth_only minus elevation+azimuth,118,-0.0007989032488536802,-0.0029902564643976177,0.0007828465150406316,0.431,0.9983563609099041,0.9991552641587578
3,mixed_diversity,AP50,distance+azimuth,elevation_only,distance+azimuth minus elevation_only,14,-0.00047243730954746717,-0.016417530977878243,0.015704837339932054,0.807,0.9932618989159631,0.9937343362255104
3,mixed_diversity,AP50,distance+elevation,elevation+azimuth,distance+elevation minus elevation+azimuth,137,0.0003425694488413013,-0.0002613494858820912,0.0012479468725768194,0.336,0.9996919788010074,0.999349409352166
3,mixed_diversity,AP50,distance+elevation,distance+elevation+azimuth,distance+elevation minus distance+elevation+azimuth,137,0.00030058137195598393,8.74875398253331e-06,0.000615092724721884,0.047,0.9996919788010074,0.9993913974290515
3,mixed_diversity,AP50,distance+elevation+azimuth,elevation+azimuth,distance+elevation+azimuth minus elevation+azimuth,197,4.4603704985232145e-05,-0.0005190704450220405,0.0007783112483537204,0.952,0.9993594849255508,0.9993148812205657
3,mixed_diversity,AP50,azimuth_only,elevation_only,azimuth_only minus elevation_only,10,0.0,0.0,0.0,1.0,1.0,1.0
3,azimuth,AP50-95,compact_azimuths,medium_spread_azimuths,compact_azimuths minus medium_spread_azimuths,201,-0.0018899163901576258,-0.005154664678586961,0.0009871659763694023,0.219,0.9482005386004939,0.9500904549906516
3,azimuth,AP50-95,broad_or_opposite_azimuths,medium_spread_azimuths,broad_or_opposite_azimuths minus medium_spread_azimuths,194,-0.00128279870480277,-0.003617387879703529,0.001239780023943734,0.282,0.9481565962011487,0.9494393949059514
3,azimuth,AP50-95,broad_or_opposite_azimuths,compact_azimuths,broad_or_opposite_azimuths minus compact_azimuths,193,0.0009448630712491533,-0.0019758099672374965,0.004405785912652737,0.547,0.9480822780467505,0.9471374149755013
