object_class,factor,level,mean_value,std_value,variance_value,n_images
tent,azimuth,270,0.8665065882988171,0.13183563334700188,0.01738063422000511,25
tent,azimuth,315,0.8327092350113631,0.12311916478402847,0.015158328737116755,20
tower,azimuth,000,0.6845204322117504,0.2476538464673313,0.061332427670064506,24
tower,azimuth,045,0.7135292192374905,0.21915060689916183,0.04802698850427095,18
tower,azimuth,090,0.7355336174930079,0.21868898599148792,0.0478248725939852,25
tower,azimuth,135,0.6947414905842492,0.16780588960602702,0.02815881658647013,14
tower,azimuth,180,0.7411428014520208,0.21163170666565193,0.04478797926621654,21
tower,azimuth,225,0.7574408727487595,0.28740507376755625,0.08260167642733446,19
tower,azimuth,270,0.7367575726550865,0.26669084516646874,0.0711240068956054,23
tower,azimuth,315,0.7916072217746711,0.13917459421444964,0.01936956767475672,21
tree,azimuth,000,0.6961519446580736,0.20348007253142988,0.041404139917395964,45
tree,azimuth,045,0.749177672179718,0.18744772044538835,0.03513664790017246,43
tree,azimuth,090,0.7372421965331153,0.22823708475589116,0.05209216685786785,38
tree,azimuth,135,0.765160217216318,0.2042503264380649,0.041718195850056074,41
tree,azimuth,180,0.763072003445952,0.17687239926964138,0.031283845623399434,32
tree,azimuth,225,0.6700473856690334,0.22869903552903642,0.05230324885191147,40
tree,azimuth,270,0.7032569491820249,0.19764691083752456,0.03906430136361638,43
tree,azimuth,315,0.7178583952106504,0.15994523220005802,0.025582477303530474,44
whitevan,azimuth,000,0.7787864983262832,0.17403145936261794,0.030286948847882536,22
whitevan,azimuth,045,0.780579346945869,0.26946454697309924,0.0726111420754176,17
whitevan,azimuth,090,0.8301361159683186,0.24235670117971658,0.05873677060671444,21
whitevan,azimuth,135,0.7914980117705257,0.21215147154133995,0.04500824687715598,23
whitevan,azimuth,180,0.771702198387119,0.21473698632659635,0.04611197329662883,24
whitevan,azimuth,225,0.7502937636588143,0.2529120082261234,0.06396448390497071,25
whitevan,azimuth,270,0.8181756627807976,0.24341852606753808,0.05925257883289271,27
whitevan,azimuth,315,0.8431809436405207,0.19239353843066082,0.037015273629870164,22
