model,object,target_class,view_id,filename,n_views_in_game,predecessor_coalition_size,predecessor_coalition_count,shapley_weight_per_coalition,shapley_total_weight_for_size,mean_marginal_detection,mean_marginal_strict_quality,mean_marginal_noisy_or_best_iou
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,3,2026-06-29 17.36.06.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,4,2026-06-29 17.36.07.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,5,2026-06-29 17.36.40.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,6,2026-06-29 17.36.50.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2026-06-29 17.36.51.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,0,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,1,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,2,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,3,20,0.007142857142857143,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,4,15,0.009523809523809525,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,5,6,0.023809523809523808,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,8,2026-06-29 17.36.53.jpg,7,6,1,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,0,1,0.1,0.1,1.0,0.380082758693959,0.380082758693959
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,1,9,0.011111111111111112,0.1,0.6666666666666666,0.25338850579597266,0.28753962425166996
