model,object,target_class,n_views_in_game,coalition_size,coalition_view_ids,coalition_filenames,detection,best_strict_quality,noisy_or_best_iou,best_matched_confidence,best_matched_iou,noisy_or_confidence
synthetic_m4,parkinglot_car,suv,6,4,2|3|4|6,2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,4,2|3|5|6,2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,4,2|4|5|6,2026-06-28 20.56.46.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,4,3|4|5|6,2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,5,1|2|3|4|5,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,5,1|2|3|4|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,5,1|2|3|5|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,5,1|2|4|5|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,5,1|3|4|5|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,suv,6,5,2|3|4|5|6,2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,parkinglot_car,suv,6,6,1|2|3|4|5|6,2026-06-28 20.56.45.jpg|2026-06-28 20.56.46.jpg|2026-06-28 20.56.47.jpg|2026-06-28 20.56.54.jpg|2026-06-28 20.58.04.jpg|2026-06-28 20.58.01.jpg,0.0,0.000744468320427639,0.000744468320427639,0.0010154901538044214,0.733112298173026,0.0010154901538044214
synthetic_m4,ooij_tower,tower,7,0,empty,empty,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,1,2026-06-29 17.37.15.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,3,2026-06-29 17.36.06.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,4,2026-06-29 17.36.07.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,5,2026-06-29 17.36.40.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,6,2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,7,2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,1,8,2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,1|3,2026-06-29 17.37.15.jpg|2026-06-29 17.36.06.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,1|4,2026-06-29 17.37.15.jpg|2026-06-29 17.36.07.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,1|5,2026-06-29 17.37.15.jpg|2026-06-29 17.36.40.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,1|6,2026-06-29 17.37.15.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,1|7,2026-06-29 17.37.15.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,1|8,2026-06-29 17.37.15.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,3|4,2026-06-29 17.36.06.jpg|2026-06-29 17.36.07.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,3|5,2026-06-29 17.36.06.jpg|2026-06-29 17.36.40.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,3|6,2026-06-29 17.36.06.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,3|7,2026-06-29 17.36.06.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,3|8,2026-06-29 17.36.06.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,4|5,2026-06-29 17.36.07.jpg|2026-06-29 17.36.40.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,4|6,2026-06-29 17.36.07.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,4|7,2026-06-29 17.36.07.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,4|8,2026-06-29 17.36.07.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,5|6,2026-06-29 17.36.40.jpg|2026-06-29 17.36.50.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,5|7,2026-06-29 17.36.40.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,5|8,2026-06-29 17.36.40.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,6|7,2026-06-29 17.36.50.jpg|2026-06-29 17.36.51.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,6|8,2026-06-29 17.36.50.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower,7,2,7|8,2026-06-29 17.36.51.jpg|2026-06-29 17.36.53.jpg,0.0,0.0,0.0,0.0,0.0,0.0
