run_name,object_id,description,target_class,available_view_count,view_index,file_name,coalition_count_k1_to_k3,single_view_detection_at_conf25_iou50,single_view_matched_confidence_iou50,single_view_matched_iou_iou50,single_view_strict_quality_iou50,coalition_count_k1,coalition_count_k2,coalition_count_k3,mean_marginal_k1_to_k3_detection_at_conf25_iou50,positive_marginal_rate_k1_to_k3_detection_at_conf25_iou50,mean_marginal_k1_detection_at_conf25_iou50,mean_marginal_k2_detection_at_conf25_iou50,mean_marginal_k3_detection_at_conf25_iou50,mean_marginal_k1_to_k3_best_matched_confidence_iou50,positive_marginal_rate_k1_to_k3_best_matched_confidence_iou50,mean_marginal_k1_best_matched_confidence_iou50,mean_marginal_k2_best_matched_confidence_iou50,mean_marginal_k3_best_matched_confidence_iou50,mean_marginal_k1_to_k3_best_strict_quality_iou50,positive_marginal_rate_k1_to_k3_best_strict_quality_iou50,mean_marginal_k1_best_strict_quality_iou50,mean_marginal_k2_best_strict_quality_iou50,mean_marginal_k3_best_strict_quality_iou50,mean_marginal_k1_to_k3_noisy_or_best_iou_iou50,positive_marginal_rate_k1_to_k3_noisy_or_best_iou_iou50,mean_marginal_k1_noisy_or_best_iou_iou50,mean_marginal_k2_noisy_or_best_iou_iou50,mean_marginal_k3_noisy_or_best_iou_iou50
real_uav_finetuned,m_truck,M truck,whitevan,5,1,2026-07-12 21.22.14.jpg,11,1,0.8838398456573486,0.9560500177609577,0.8449951001385503,1,4,6,0.09090909090909091,0.09090909090909091,1.0,0.0,0.0,0.10680783878673207,0.36363636363636365,0.8838398456573486,0.051060885190963745,0.014467140038808187,0.12044351737444883,1.0,0.8449951001385503,0.07320749549373065,0.031175601500910755,0.16684984754814344,1.0,0.8449951001385503,0.1672194906788642,0.05357921002926173
real_uav_finetuned,m_truck,M truck,whitevan,5,2,2026-07-12 21.21.43.jpg,11,1,0.7663991451263428,0.9248497798443651,0.7088040806430077,1,4,6,0.09090909090909091,0.09090909090909091,1.0,0.0,0.0,0.06967264955694025,0.09090909090909091,0.7663991451263428,0.0,0.0,0.06443673460390979,0.09090909090909091,0.7088040806430077,0.0,0.0,0.10888315238362033,1.0,0.7088040806430077,0.09979074507119792,0.014957935882004022
real_uav_finetuned,m_truck,M truck,whitevan,5,3,2026-07-12 21.21.46.jpg,11,1,0.9117172360420227,0.9192993292335712,0.8381410435441169,1,4,6,0.09090909090909091,0.09090909090909091,1.0,0.0,0.0,0.12481209906664761,1.0,0.9117172360420227,0.07215049862861633,0.02876897652943929,0.11358946078001547,0.6363636363636364,0.8381410435441169,0.06635343889929726,0.024321544906477366,0.140620761498002,1.0,0.8381410435441169,0.14323017100645624,0.02262777481801335
real_uav_finetuned,m_truck,M truck,whitevan,5,4,2026-07-12 21.21.47.jpg,11,1,0.9109909534454346,0.9092171153497018,0.8282885668013326,1,4,6,0.09090909090909091,0.09090909090909091,1.0,0.0,0.0,0.12408581647005948,0.6363636363636364,0.9109909534454346,0.0714242160320282,0.028042693932851154,0.10731970285278908,0.36363636363636365,0.8282885668013326,0.05896408134220901,0.0193953065350852,0.13695545977441653,1.0,0.8282885668013326,0.13819876351298974,0.02090440611088179
real_uav_finetuned,m_truck,M truck,whitevan,5,5,2026-07-12 21.22.11.jpg,11,1,0.7970370054244995,0.8932041081475968,0.7119167275908214,1,4,6,0.09090909090909091,0.09090909090909091,1.0,0.0,0.0,0.07524316961115057,0.18181818181818182,0.7970370054244995,0.007659465074539185,0.0,0.06500267041260319,0.18181818181818182,0.7119167275908214,0.0007781617369534144,0.0,0.10677036463105055,1.0,0.7119167275908214,0.09747512527134305,0.012109463710893794
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,1,2026-06-29 17.37.15.jpg,22,1,0.5793657302856445,0.8719968629325333,0.5052050992996983,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.07366421818733215,0.3181818181818182,0.5793657302856445,0.10147631665070851,0.028825944662094115,0.06549403950430309,0.3181818181818182,0.5052050992996983,0.08881493822252111,0.026851609363989545,0.13359666282382418,1.0,0.5052050992996983,0.21365755848846393,0.07679840879290997
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,3,2026-06-29 17.36.06.jpg,22,1,0.26021960377693176,0.9456316449609725,0.24607189197067247,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.011828163808042353,0.045454545454545456,0.26021960377693176,0.0,0.0,0.011185085998666931,0.045454545454545456,0.24607189197067247,0.0,0.0,0.12155789597074441,1.0,0.24607189197067247,0.15045676583609993,0.10169741495794037
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,4,2026-06-29 17.36.07.jpg,22,1,0.4366883337497711,0.8614550739555978,0.3761873808459559,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.028266864744099705,0.18181818181818182,0.4366883337497711,0.03013761838277181,0.0002904653549194336,0.024442947269021423,0.18181818181818182,0.3761873808459559,0.024306078995649905,0.0010480656732410683,0.09106197571043487,1.0,0.3761873808459559,0.15064285988292134,0.04822126169907223
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,5,2026-06-29 17.36.40.jpg,22,1,0.7839381694793701,0.833320138293727,0.6532714638042799,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.17595043778419495,0.5,0.7839381694793701,0.23785794277985892,0.11065492033958435,0.13952722175659393,0.5,0.6532714638042799,0.18752584789224222,0.08607815516582222,0.17909512426506422,1.0,0.6532714638042799,0.2834778125213078,0.10573029299328575
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,6,2026-06-29 17.36.50.jpg,22,1,0.9451229572296143,0.7976555401885219,0.7538825629935613,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.2960199036381461,1.0,0.9451229572296143,0.37391670048236847,0.22158764799435934,0.21269893025788944,0.7272727272727273,0.7538825629935613,0.27136843054997667,0.1531522212920098,0.23271905690540173,1.0,0.7538825629935613,0.35614834197785356,0.14860310913721053
