run_name,object_id,description,target_class,view_index,file_name,image_path,label_path,target_gt_present,target_gt_count,target_gt_area,target_prediction_count,best_target_prediction_confidence,best_target_prediction_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,detected_at_conf25_iou50
synthetic_m4,m_truck,M truck,whitevan,1,2026-07-12 21.22.14.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.22.14.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-22-14_jpg.rf.EVCtLeGVLSPySV94RlMj.txt,1,3,78144.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,m_truck,M truck,whitevan,2,2026-07-12 21.21.43.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.21.43.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-21-43_jpg.rf.Da7PaPT4Yi42asxiQdKC.txt,1,3,81928.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,m_truck,M truck,whitevan,3,2026-07-12 21.21.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.21.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-21-46_jpg.rf.c0OB6qz2nSBdtJlMG6OJ.txt,1,3,89437.075,2,0.26198452711105347,0.29135284212848467,0.0,0.0,0.0,0
synthetic_m4,m_truck,M truck,whitevan,4,2026-07-12 21.21.47.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.21.47.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-21-47_jpg.rf.6OUClT8AW47jxfAdHx0H.txt,1,3,87074.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,m_truck,M truck,whitevan,5,2026-07-12 21.22.11.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-07-12 21.22.11.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-07-12 21-22-11_jpg.rf.siYrRWtz51VwPFFE5NsG.txt,1,1,81221.0,1,0.594523549079895,0.2644136682514261,0.0,0.0,0.0,0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,1,2026-06-30 15.33.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.33.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-33-46_jpg.rf.Wyy4NeNu5BqKYAySYSRk.txt,1,1,31008.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,2,2026-06-30 15.33.52.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.33.52.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-33-52_jpg.rf.kXCPcfJAMw374QcZnZ7o.txt,1,1,34776.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,3,2026-06-30 15.34.24.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.34.24.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-34-24_jpg.rf.NkZNwn9I20AcIZER3MJZ.txt,1,1,32736.0,1,0.0016708449693396688,0.0,0.0,0.0,0.0,0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,4,2026-06-30 15.34.33.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.34.33.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-34-33_jpg.rf.ZvVvqcOxMlEpay2ItaJx.txt,1,1,32718.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,5,2026-06-30 15.35.01.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.35.01.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-35-01_jpg.rf.vcpar4QLnAwFogfWKebG.txt,1,1,29887.0,0,0.0,0.0,0.0,0.0,0.0,0
