run_name,object_id,description,target_class,available_view_count,coalition_size,combination_count,mean_detection_at_conf25_iou50,max_detection_at_conf25_iou50,mean_best_matched_confidence_iou50,max_best_matched_confidence_iou50,mean_best_matched_iou_iou50,max_best_matched_iou_iou50,mean_best_strict_quality_iou50,max_best_strict_quality_iou50,mean_noisy_or_confidence_iou50,max_noisy_or_confidence_iou50,mean_noisy_or_best_iou_iou50,max_noisy_or_best_iou_iou50
real_uav_finetuned,white_truck_bottendaal,white truck Bottendaal,whitevan,7,3,35,1.0,1.0,0.960283579145159,0.966159462928772,0.9569713332749793,0.9786014828115247,0.9135585055468881,0.9291180279439119,0.9998372560311536,0.9999391869378671,0.9568160958724505,0.9785327461350573
synthetic_m4,la_souris_truck,La Souris truck,whitevan,10,1,10,0.4,1.0,0.2949697047472,0.9713618159294128,0.30827915245039705,0.8705844766688557,0.22992665788831573,0.8456525181770173,0.2949697047472,0.9713618159294128,0.22992665788831573,0.8456525181770173
synthetic_m4,la_souris_truck,La Souris truck,whitevan,10,2,45,0.6666666666666666,1.0,0.5100041641129388,0.9713618159294128,0.5208270968717196,0.8705844766688557,0.40092736607796176,0.8456525181770173,0.5189632727131137,0.9954886078075802,0.4103108296795212,0.86665692865797
synthetic_m4,la_souris_truck,La Souris truck,whitevan,10,3,120,0.8333333333333334,1.0,0.6626170091331005,0.9713618159294128,0.6606962995305049,0.8705844766688557,0.5261532615225042,0.8456525181770173,0.6844928284746465,0.9984344611172458,0.548900576704514,0.8692215428199084
synthetic_m4,m_truck,M truck,whitevan,5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,m_truck,M truck,whitevan,5,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,m_truck,M truck,whitevan,5,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower in the Ooij,tower,7,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower in the Ooij,tower,7,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,ooij_tower,tower in the Ooij,tower,7,3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,parkinglot_car,car on parking lot,suv,6,1,6,0.0,0.0,0.00016924835896740356,0.0010154901538044214,0.12218538302883768,0.733112298173026,0.00012407805340460652,0.000744468320427639,0.00016924835896740356,0.0010154901538044214,0.00012407805340460652,0.000744468320427639
synthetic_m4,parkinglot_car,car on parking lot,suv,6,2,15,0.0,0.0,0.0003384967179348071,0.0010154901538044214,0.24437076605767535,0.733112298173026,0.00024815610680921303,0.000744468320427639,0.0003384967179348071,0.0010154901538044214,0.00024815610680921303,0.000744468320427639
synthetic_m4,parkinglot_car,car on parking lot,suv,6,3,20,0.0,0.0,0.0005077450769022107,0.0010154901538044214,0.366556149086513,0.733112298173026,0.00037223416021381947,0.000744468320427639,0.0005077450769022107,0.0010154901538044214,0.00037223416021381947,0.000744468320427639
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,7,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,7,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,7,3,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
