viewpoint,original_count,original_mean_ap50_95,original_median_ap50_95,original_std_ap50_95,single_id,number_of_train_images,number_of_val_images,number_of_test_images,trained_precision,trained_recall,trained_f1,trained_map50,trained_map50_95,elevation,radius,azimuth,grid_row_label,original_rank,original_pct,trained_rank,trained_pct,original_z,trained_z,pct_delta,z_delta,rank_delta,abs_rank_delta
elhigh-radmid-az090,34,0.8775179980287549,0.8990165657521303,0.08495223562806806,sv0059,141,30,2214,0.5391430150493923,0.6106368702955052,0.5726671818627052,0.5391430150493923,0.3545783681398182,elhigh,radmid,090,high | mid,20,0.7323943661971831,21,0.7183098591549295,0.7957104802442252,0.41571492976931673,-0.014084507042253613,-0.37999555047490846,-1,1
elhigh-radmid-az135,30,0.8871372095672253,0.9120925940774657,0.08475852061993623,sv0060,141,34,2214,0.5272050065917201,0.6018984588956884,0.56208113904365,0.5272050065917201,0.3434079473811069,elhigh,radmid,135,high | mid,13,0.8309859154929577,30,0.5915492957746479,0.8777492465164326,0.1289791862286111,-0.23943661971830987,-0.7487700602878216,-17,17
elhigh-radmid-az180,30,0.8957126393246647,0.9133367586023997,0.08063806264269982,sv0061,136,39,2214,0.5396627867906025,0.6078712348917008,0.571739884714843,0.5396627867906025,0.35560303382831304,elhigh,radmid,180,high | mid,5,0.9436619718309859,19,0.7464788732394366,0.9508859765634537,0.4420172763342027,-0.19718309859154926,-0.5088687002292511,-14,14
elhigh-radmid-az225,36,0.8749296387900938,0.9006773686130098,0.11858369271091272,sv0062,130,39,2214,0.515418613017117,0.600719304329335,0.5548094117009124,0.515418613017117,0.33765850732244423,elhigh,radmid,225,high | mid,24,0.676056338028169,36,0.5070422535211268,0.7736353031094068,-0.01860432971708158,-0.16901408450704225,-0.7922396328264883,-12,12
elhigh-radmid-az270,27,0.8758177655272628,0.9055555555428196,0.1099232834630725,sv0063,147,31,2214,0.5188890929578447,0.606345750228303,0.5592187235580641,0.5188890929578447,0.33467761382312017,elhigh,radmid,270,high | mid,23,0.6901408450704225,43,0.4084507042253521,0.7812098139224094,-0.09512147552627415,-0.2816901408450704,-0.8763312894486835,-20,20
elhigh-radmid-az315,24,0.8939334092799411,0.9080000032186508,0.08903116101373218,sv0064,150,31,2214,0.5259953079870978,0.5925258727248608,0.5572819438535017,0.5259953079870978,0.3357774895562401,elhigh,radmid,315,high | mid,8,0.9014084507042254,42,0.4225352112676056,0.9357115688482475,-0.06688854742528244,-0.47887323943661975,-1.0026001162735299,-34,34
elhigh-radnear-az000,34,0.8568453434138286,0.8661028320833872,0.10679232244590617,sv0049,141,30,2214,0.5066309664513877,0.5646425851479254,0.534066052850897,0.5066309664513877,0.3287976256874326,elhigh,radnear,000,high | near,33,0.5492957746478873,48,0.3380281690140845,0.6194009071157729,-0.2460560559253224,-0.21126760563380276,-0.8654569630410953,-15,15
elhigh-radnear-az045,23,0.901283850069127,0.909375,0.06983353239053254,sv0050,152,30,2214,0.5189013461617651,0.5846788136947729,0.5498297895060407,0.5189013461617651,0.3372504425742561,elhigh,radnear,045,high | near,2,0.9859154929577465,38,0.47887323943661975,0.9984008122950766,-0.029079024584167952,-0.5070422535211268,-1.0274798368792446,-36,36
elhigh-radnear-az090,28,0.8770482319581062,0.8970238126459575,0.10381113003329795,sv0051,141,36,2214,0.5136316302452362,0.5812186777202971,0.5453390199454642,0.5136316302452362,0.3417464009985519,elhigh,radnear,090,high | near,21,0.7183098591549295,32,0.5633802816901409,0.791704015814326,0.08632862294900166,-0.15492957746478864,-0.7053753928653244,-11,11
elhigh-radnear-az135,32,0.886847356781053,0.9163276689453324,0.10192951989605681,sv0052,137,36,2214,0.5147237915915006,0.580289485032786,0.5455437122690504,0.5147237915915006,0.3320552452601486,elhigh,radnear,135,high | near,14,0.8169014084507042,46,0.3661971830985915,0.8752771972343226,-0.16243557371322256,-0.45070422535211274,-1.037712770947545,-32,32
elhigh-radnear-az180,31,0.8821903952736918,0.8977500008642674,0.0902071344511648,sv0053,146,28,2214,0.5129626286632578,0.5932649348940792,0.5501991642992179,0.5129626286632578,0.3395650145085634,elhigh,radnear,180,high | near,17,0.7746478873239436,35,0.5211267605633803,0.8355596616428536,0.030334180960885852,-0.2535211267605634,-0.8052254806819678,-18,18
elhigh-radnear-az225,36,0.9081168475635226,0.928253969668396,0.08908348229857826,sv0054,131,38,2214,0.5208528468189019,0.588100138094822,0.5524375429948609,0.5208528468189019,0.3440784937220457,elhigh,radnear,225,high | near,1,1.0,28,0.619718309859155,1.0566769695600862,0.14619157310290465,-0.380281690140845,-0.9104853964571815,-27,27
elhigh-radnear-az270,30,0.866668765555305,0.8777777806338336,0.13871929210233827,sv0055,143,32,2214,0.5045626543802598,0.5933289493380213,0.5453573532846899,0.5045626543802598,0.3216859159930162,elhigh,radnear,270,high | near,29,0.6056338028169015,49,0.323943661971831,0.7031813115527421,-0.42860794104423033,-0.2816901408450705,-1.1317892525969724,-20,20
elhigh-radnear-az315,29,0.8856337691122692,0.9025252557282496,0.07743044557098124,sv0056,140,36,2214,0.5187444862921731,0.5936917047335107,0.5536934178740667,0.5187444862921731,0.3361849875189326,elhigh,radnear,315,high | near,16,0.7887323943661972,41,0.43661971830985913,0.8649269481819958,-0.05642840148737406,-0.3521126760563381,-0.9213553496693698,-25,25
ellow-radfar-az000,39,0.650559807453771,0.6706728751564447,0.23270640999743555,sv0017,136,30,2214,0.4823221850039869,0.6018248813930601,0.5354872983200218,0.4823221850039869,0.2817460140742008,ellow,radfar,000,low | far,59,0.18309859154929575,67,0.07042253521126762,-1.139933608221769,-1.4538331962973392,-0.11267605633802813,-0.31389958807557017,-8,8
ellow-radfar-az045,22,0.5012602332501732,0.45804761532434557,0.21531826922823183,sv0018,148,35,2214,0.5207464480829541,0.631873979466177,0.570953147416828,0.5207464480829541,0.30519005759179973,ellow,radfar,045,low | far,72,0.0,55,0.23943661971830987,-2.4132555248511904,-0.8520433985068635,0.23943661971830987,1.5612121263443268,17,17
ellow-radfar-az090,28,0.6467791616657408,0.6199546666879447,0.23780965338991314,sv0019,140,37,2214,0.5167030303782402,0.6373376352374269,0.5707152222848138,0.5167030303782402,0.3072999780629998,ellow,radfar,090,low | far,60,0.16901408450704225,54,0.2535211267605634,-1.1721773648874563,-0.7978834319138858,0.08450704225352113,0.3742939329735705,6,6
ellow-radfar-az135,36,0.6856496536205091,0.7560109339654446,0.21300496131692445,sv0020,145,24,2214,0.47830621075165325,0.6000261001369316,0.5322964125448352,0.47830621075165325,0.28205091366265594,ellow,radfar,135,low | far,54,0.2535211267605634,66,0.08450704225352113,-0.8406650375403001,-1.4460066683545343,-0.16901408450704225,-0.6053416308142342,-12,12
ellow-radfar-az180,25,0.6564674595417236,0.6495310357326983,0.21646021038875324,sv0021,145,35,2214,0.5115128598834899,0.6249742991226946,0.562579855943959,0.5115128598834899,0.3013082995025368,ellow,radfar,180,low | far,57,0.21126760563380287,56,0.22535211267605637,-1.0895493863005896,-0.9516850159546175,0.014084507042253502,0.1378643703459721,1,1
ellow-radfar-az225,30,0.5468448866185436,0.5251779636588974,0.23672729181617355,sv0022,141,34,2214,0.49188044218474486,0.6246331014293195,0.5503646738395229,0.49188044218474486,0.28484504258501964,ellow,radfar,225,low | far,69,0.04225352112676062,64,0.11267605633802813,-2.0244805500696317,-1.3742836194731622,0.07042253521126751,0.6501969305964694,5,5
ellow-radfar-az270,32,0.5390172384972435,0.5222174023371905,0.2744502417450794,sv0023,137,36,2214,0.5284860950587216,0.6261659451510073,0.5731943194791425,0.5284860950587216,0.30958469798239646,ellow,radfar,270,low | far,70,0.028169014084507005,53,0.2676056338028169,-2.0912397217664145,-0.7392365036538583,0.23943661971830987,1.3520032181125563,17,17
ellow-radfar-az315,28,0.6802819632729002,0.7024761816759775,0.21590912685061187,sv0024,149,28,2214,0.47874319986287506,0.5823055223512976,0.5254703261628592,0.47874319986287506,0.27594677444659244,ellow,radfar,315,low | far,55,0.23943661971830987,70,0.028169014084507005,-0.886444121625095,-1.6026950272445963,-0.21126760563380287,-0.7162509056195013,-15,15
ellow-radmid-az000,31,0.6463257362304331,0.6678998518500092,0.18395436289597605,sv0009,147,27,2214,0.5196061846271486,0.6361860209745497,0.5720166470574564,0.5196061846271486,0.31117612143053364,ellow,radmid,000,low | mid,61,0.15492957746478875,51,0.295774647887324,-1.176044465965368,-0.6983859398705857,0.14084507042253525,0.4776585260947822,10,10
