factor,factor_value,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent
elevation_radius,high|far,234,147,10,0.5277142857142857,0.9741561181434599,0.684581171237954,0.6061120543293718,0.9780821917808219,0.7484276729559748,0.6656167629445521,0.9773480970596354,0.7646228983185119,0.9781753933140444,0.8694503172138315,0.8495942504704084,0.9859902443235776,0.8885709216052474,0.986520070164593,0.9061067291494136,0.8887914111797907,0.9337546668118901,1.0,1.0,0,0,0.0
elevation_radius,high|near,243,150,10,0.5160550458715596,0.9733237202595529,0.6744941294029478,0.5132890365448505,0.9840764331210191,0.6746724890829694,0.6885263618868889,0.9779798276711856,0.7766488781769193,0.978073738053929,0.8827495845765138,0.822233116401068,0.9925401872932738,0.8678991055519375,0.9902677907522637,0.9033432149130655,0.887592043585112,0.9345359232462559,1.0,1.0,0,0,0.0
elevation_radius,mid|mid,248,148,10,0.41418439716312055,0.9404186795491143,0.5750861644510094,0.5120910384068279,0.9836065573770492,0.6735266604303087,0.6205597355407418,0.9643831592716792,0.7186314130069246,0.9647777873315542,0.8571799341557838,0.8049138198570083,0.9839285714285714,0.8524031533766429,0.9829376275493802,0.8936475835592813,0.8906667418002636,0.9368900216875538,0.9959677419354839,0.9959677419354839,1,0,0.0
elevation_radius,high|mid,254,159,10,0.5471757652256233,0.9791078486730661,0.7020242914979757,0.6068734283319362,0.9931412894375857,0.7533818938605619,0.6896427168120389,0.9809219854177009,0.7804853873704205,0.981636476831257,0.8839409121366804,0.8585267399400771,0.9945100612423448,0.8973151084387859,0.9944922944939873,0.8888433886040434,0.8722920566912998,0.9280863962774202,1.0,1.0,0,0,0.0
elevation_radius,mid|far,231,145,10,0.33472998137802606,0.8645290581162325,0.4826043181563933,0.5269286754002911,0.9757412398921833,0.6843100189035917,0.5194540688608128,0.9285345514956951,0.6357328400262658,0.9238062263546343,0.7785985049498458,0.7785891584369626,0.9790108881017973,0.8338083734931578,0.9789359355626549,0.8582056437357178,0.8763308640598136,0.9305268288690807,1.0,1.0,0,0,0.0
elevation_radius,low|near,265,154,10,0.20964007577352137,0.7355982274741507,0.3262899262899263,0.30535530381050463,0.9208074534161491,0.4586233565351895,0.361972844749162,0.8317029206144702,0.4714201135668071,0.8219815866421863,0.6643541137391481,0.5648592361987028,0.9155313240218901,0.6469471874468045,0.9146860160089165,0.816788223728667,0.8909009543320175,0.9275527360304346,0.969811320754717,0.969811320754717,8,2,0.25
elevation_radius,low|mid,239,149,10,0.20646597618817153,0.7411396803335649,0.32296161707926413,0.31300236406619386,0.927170868347339,0.46800989749027927,0.3101273334111508,0.8130869891649146,0.4249572205919635,0.7987651719530799,0.6275416584594177,0.5196993412463836,0.890429549529968,0.6095178091574369,0.8916539133117908,0.775447900394414,0.8535156297200064,0.8949267505103076,0.9497907949790795,0.9497907949790795,12,1,0.08333333333333333
elevation_radius,low|far,240,154,10,0.21056044465030108,0.7401497883425594,0.3278523005913746,0.31398416886543534,0.9056316590563166,0.4663009404388715,0.33688727383928835,0.8100422760273186,0.4498507805315032,0.7933621203061277,0.6179349574550184,0.4846912652797608,0.8565110930735931,0.575646983933309,0.8518631119650198,0.7090747788412504,0.7876965678121918,0.8433736528580388,0.9208333333333333,0.9208333333333333,19,0,0.0
full_viewpoint,elmid-radnear-az315,33,33,10,0.5205992509363296,0.9586206896551724,0.6747572815533981,0.536,1.0,0.6979166666666666,0.6952821440789355,0.9673039923039923,0.7790596476727609,0.9680542843579124,0.8872489282462817,0.8457507770007769,1.0,0.8859728803579071,1.0,0.9613336250985963,0.9382882464153973,0.9618144324331572,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radnear-az180,32,32,10,0.3556851311953353,0.9606299212598425,0.5191489361702127,0.5855855855855856,0.9848484848484849,0.7344632768361582,0.6900020020198776,0.9741815476190476,0.7622711421611845,0.9689008854951856,0.8991866123792063,0.8566136232718894,0.984375,0.8883413461538462,0.9853515625,0.9379400283138873,0.9011725752692823,0.9366855788975954,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radnear-az000,34,34,9,0.4061302681992337,0.954954954954955,0.5698924731182796,0.40540540540540543,0.9813084112149533,0.5737704918032787,0.5804482700307582,0.9637000254647312,0.6843787864662217,0.9620083996090267,0.8568453434138286,0.8036110512119984,0.9899732620320855,0.8407771880682098,0.9859473182934718,0.937761748385335,0.9290929259368824,0.9580160677433014,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radfar-az270,30,30,10,0.5338983050847458,0.9767441860465116,0.6904109589041096,0.7419354838709677,1.0,0.8518518518518519,0.6556904077560962,0.9811880711880713,0.7576193596680503,0.98346368057833,0.8803332421080658,0.905530250747642,1.0,0.9323743386243386,1.0,0.9324050908740898,0.8940785628099618,0.9391388893127441,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radnear-az225,36,36,10,0.5634674922600619,0.978494623655914,0.7151277013752456,0.5416666666666666,0.9891304347826086,0.7,0.7436500597166588,0.9809413580246914,0.8219473502878898,0.9821107431840453,0.9081168475635226,0.8213533114395184,0.9969135802469135,0.8758287220440588,0.9973392934733094,0.931466464078558,0.9026729541798686,0.9442787882354524,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radnear-az000,21,21,10,0.3220338983050847,0.95,0.4810126582278481,0.4666666666666667,0.9607843137254902,0.6282051282051282,0.5372179641087205,0.9557823129251701,0.6414627197111421,0.9582995910623082,0.8943489087430188,0.7806122448979591,0.9722222222222223,0.831000119345984,0.9714781757266748,0.9263145329839101,0.9310569471536381,0.9638969273794264,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radnear-az180,31,31,10,0.47341772151898737,0.9689119170984456,0.6360544217687075,0.4438202247191011,0.9875,0.6124031007751938,0.6704043451401291,0.9780326304519853,0.7544935346159947,0.9805215385576458,0.8817017428525903,0.8102476948050044,0.9919354838709677,0.8570191158900836,0.9919194829689804,0.9207228772577426,0.8977822678377404,0.9382830300638753,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radmid-az135,20,20,8,0.44673539518900346,0.9774436090225563,0.6132075471698113,0.6022727272727273,1.0,0.75177304964539,0.5961076847353601,0.9685416666666666,0.6982340221697807,0.9705951288895791,0.8909244321778956,0.8292857142857143,1.0,0.8732857142857142,1.0,0.920686990227785,0.894408380209289,0.9417726159095764,1.0,1.0,0,0,0.0
full_viewpoint,elmid-radnear-az045,32,32,10,0.2809611829944547,0.9743589743589743,0.43615494978479197,0.26506024096385544,0.9777777777777777,0.41706161137440756,0.5620565233911318,0.9793526785714286,0.6609420967466888,0.97761242182791,0.8941281710576114,0.7080115821069768,0.9885416666666667,0.7730196900949408,0.9864500658563831,0.9156071375252578,0.9301019000916874,0.962074114009738,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radmid-az225,36,36,10,0.5538793103448276,0.9734848484848485,0.7060439560439561,0.6730769230769231,0.9813084112149533,0.7984790874524715,0.6909597429057288,0.9745625901875903,0.7837499934408192,0.970851094076377,0.8747888684917385,0.8584806397306397,0.9851851851851853,0.8907567740901075,0.9908249164018967,0.914632626465496,0.8941819787064256,0.9385479936997095,1.0,1.0,0,0,0.0
full_viewpoint,elhigh-radfar-az315,30,30,9,0.5073068893528184,0.9681274900398407,0.6657534246575343,0.5901639344262295,0.9818181818181818,0.7372013651877133,0.6549694139146042,0.9693121693121693,0.750192548560786,0.9699786594793924,0.8538938149689572,0.8265173442775431,0.9851851851851853,0.8720375883419361,0.9852704685958389,0.913874886525326,0.9064996203345702,0.94234472711881,1.0,1.0,0,0,0.0
