viewpoint,single_mean_strict_quality,average_pair_synergy_strict,median_pair_synergy_strict,positive_synergy_pair_fraction,best_partner,best_pair_synergy_strict,complementarity_group
elhigh-radnear-az135,0.8773791921258101,0.009796298239642358,0.006279613624933678,0.7714285714285715,ellow-radmid-az000,0.04345531303988093,coverage_specific
elmid-radnear-az225,0.8770919836021115,0.01128049330618268,0.001862036898858721,0.6428571428571429,ellow-radmid-az270,0.228630743767817,complementary_support_view
elmid-radfar-az315,0.8770846934049266,0.006788147538257665,0.0019649574576861006,0.6197183098591549,elhigh-radnear-az270,0.06608850429246615,coverage_specific
elhigh-radnear-az315,0.8760953887108824,0.006338495330967605,0.002972934645267711,0.7,ellow-radnear-az090,0.055621585021844666,coverage_specific
elhigh-radnear-az090,0.874549699964973,0.007485707796179402,0.004357951408584526,0.7571428571428571,elmid-radmid-az180,0.05309400002649234,coverage_specific
ellow-radnear-az180,0.8734431234640052,0.010932386404172663,0.005591506986276529,0.8169014084507042,ellow-radmid-az045,0.05276521554470781,complementary_support_view
elhigh-radmid-az045,0.8720404103543078,0.0069591063961365095,0.0034282792348871993,0.7887323943661971,ellow-radnear-az000,0.041741425864483706,coverage_specific
elhigh-radfar-az000,0.8719672046004717,0.010986692955488915,0.005124723161441858,0.704225352112676,ellow-radnear-az270,0.13254608923786093,complementary_support_view
elmid-radfar-az090,0.8623881413460452,0.011016030975503363,0.0038846147291690114,0.7164179104477612,ellow-radmid-az180,0.08229149096554522,complementary_support_view
ellow-radmid-az180,0.8616092318182323,0.012589601138405073,0.0029882898550397385,0.5882352941176471,ellow-radnear-az000,0.15478721847904764,complementary_support_view
ellow-radfar-az180,0.8611496800146489,0.0076081199627078,0.0024156569787644466,0.6119402985074627,ellow-radmid-az045,0.14044884106204414,coverage_specific
ellow-radnear-az315,0.8596479500500089,0.012086797068171104,0.008542564900116845,0.8028169014084507,ellow-radmid-az270,0.057778510309320574,complementary_support_view
elhigh-radmid-az135,0.8595280264673113,0.008317330825545826,0.0037313906149365472,0.7183098591549296,ellow-radnear-az000,0.11918699032450986,coverage_specific
elmid-radfar-az045,0.8581700453322131,0.008608353112173442,0.004094851212428807,0.7183098591549296,elhigh-radmid-az090,0.048531798622235556,coverage_specific
elhigh-radmid-az090,0.8527259063822877,0.011551385538418297,0.00555828620957155,0.8260869565217391,ellow-radnear-az000,0.10300316510147434,complementary_support_view
elhigh-radnear-az270,0.8483381288919658,0.007983094585242479,0.003416081009079086,0.8,elmid-radfar-az315,0.06608850429246615,coverage_specific
elmid-radfar-az135,0.8436586868839523,0.010815371452937577,0.007188295718782101,0.7605633802816901,ellow-radmid-az225,0.06609359377374169,complementary_support_view
elmid-radmid-az225,0.8436054753431896,0.011068520234900202,0.0028530356008129587,0.6428571428571429,ellow-radmid-az270,0.30135597147257565,complementary_support_view
ellow-radmid-az090,0.841288041614738,0.012644795277242474,0.006249980649466913,0.8142857142857143,ellow-radfar-az135,0.11738234062250041,complementary_support_view
elhigh-radmid-az270,0.8405034649605255,0.008056457798287281,0.0025199639360764525,0.7246376811594203,elmid-radnear-az225,0.05812651953277026,coverage_specific
ellow-radmid-az000,0.8368998104301066,0.01181662590450033,0.004505852500836127,0.8142857142857143,ellow-radmid-az225,0.17383982120843844,complementary_support_view
ellow-radmid-az045,0.8364017477807015,0.0155335039484737,0.007104022022942136,0.8450704225352113,ellow-radfar-az180,0.14044884106204414,complementary_support_view
ellow-radnear-az000,0.8296687708935887,0.021134882223162017,0.0087764199188326,0.8309859154929577,ellow-radmid-az180,0.15478721847904764,complementary_support_view
ellow-radmid-az225,0.8255299704416494,0.013011059959443159,0.004505989154275802,0.7142857142857143,ellow-radmid-az000,0.17383982120843844,complementary_support_view
ellow-radmid-az135,0.8226393198726646,0.011343188522768177,0.006484666534525285,0.8591549295774648,elhigh-radnear-az225,0.04819627428180251,complementary_support_view
ellow-radfar-az090,0.8165494316422262,0.005106535388176981,0.00045104637121085034,0.5507246376811594,ellow-radnear-az000,0.036393318646743444,redundant_or_low_gain
ellow-radfar-az045,0.8089307169448573,0.010495800058419406,0.0022274534093653653,0.647887323943662,elmid-radfar-az090,0.06773276269194106,complementary_support_view
ellow-radfar-az000,0.8034095371747858,0.014945909726715879,0.00884716067789526,0.8309859154929577,ellow-radmid-az225,0.12087966484056789,complementary_support_view
ellow-radfar-az225,0.7785229607420039,0.01071265378579235,0.004493236922090249,0.7285714285714285,ellow-radfar-az315,0.14467653229442468,complementary_support_view
ellow-radfar-az135,0.7766151696698516,0.011921392988166857,0.002838675459482687,0.6619718309859155,ellow-radmid-az090,0.11738234062250041,complementary_support_view
ellow-radfar-az315,0.74552128459872,0.01054007780594567,0.0025508591073553077,0.6619718309859155,ellow-radfar-az225,0.14467653229442468,complementary_support_view
ellow-radfar-az270,0.7292866114635945,0.006122565680077098,0.0016339137813510263,0.6056338028169014,ellow-radfar-az045,0.05259719633407833,coverage_specific
