viewpoint_index,viewpoint,elevation,radius,azimuth,angle_degrees,height_level,distance_level,observed_in_scene_records,observed_test_records,observed_test_scenes,manifest_train_images,manifest_val_images,manifest_test_images
51,elhigh-radnear-az090,high,near,90,90,high,near,1,28,28,141,36,28
52,elhigh-radnear-az135,high,near,135,135,high,near,1,32,32,137,36,32
53,elhigh-radnear-az180,high,near,180,180,high,near,1,31,31,146,28,31
54,elhigh-radnear-az225,high,near,225,225,high,near,1,36,36,131,38,36
55,elhigh-radnear-az270,high,near,270,270,high,near,1,30,30,143,32,30
56,elhigh-radnear-az315,high,near,315,315,high,near,1,29,29,140,36,29
57,elhigh-radmid-az000,high,mid,0,0,high,mid,1,43,43,137,25,43
58,elhigh-radmid-az045,high,mid,45,45,high,mid,1,30,30,147,28,30
59,elhigh-radmid-az090,high,mid,90,90,high,mid,1,34,34,141,30,34
60,elhigh-radmid-az135,high,mid,135,135,high,mid,1,30,30,141,34,30
61,elhigh-radmid-az180,high,mid,180,180,high,mid,1,30,30,136,39,30
62,elhigh-radmid-az225,high,mid,225,225,high,mid,1,36,36,130,39,36
63,elhigh-radmid-az270,high,mid,270,270,high,mid,1,27,27,147,31,27
64,elhigh-radmid-az315,high,mid,315,315,high,mid,1,24,24,150,31,24
65,elhigh-radfar-az000,high,far,0,0,high,far,1,29,29,154,22,29
66,elhigh-radfar-az045,high,far,45,45,high,far,1,39,39,123,43,39
67,elhigh-radfar-az090,high,far,90,90,high,far,1,29,29,147,29,29
68,elhigh-radfar-az135,high,far,135,135,high,far,1,25,25,153,27,25
69,elhigh-radfar-az180,high,far,180,180,high,far,1,25,25,147,33,25
70,elhigh-radfar-az225,high,far,225,225,high,far,1,27,27,150,28,27
71,elhigh-radfar-az270,high,far,270,270,high,far,1,30,30,144,31,30
72,elhigh-radfar-az315,high,far,315,315,high,far,1,30,30,144,31,30
