viewpoint,ellow-radnear-az000,ellow-radnear-az045,ellow-radnear-az090,ellow-radnear-az135,ellow-radnear-az180,ellow-radnear-az225,ellow-radnear-az270,ellow-radnear-az315,ellow-radmid-az000,ellow-radmid-az045,ellow-radmid-az090,ellow-radmid-az135,ellow-radmid-az180,ellow-radmid-az225,ellow-radmid-az270,ellow-radmid-az315,ellow-radfar-az000,ellow-radfar-az045,ellow-radfar-az090,ellow-radfar-az135,ellow-radfar-az180,ellow-radfar-az225,ellow-radfar-az270,ellow-radfar-az315,elmid-radnear-az000,elmid-radnear-az045,elmid-radnear-az090,elmid-radnear-az135,elmid-radnear-az180,elmid-radnear-az225,elmid-radnear-az270,elmid-radnear-az315,elmid-radmid-az000,elmid-radmid-az045,elmid-radmid-az090,elmid-radmid-az135,elmid-radmid-az180,elmid-radmid-az225,elmid-radmid-az270,elmid-radmid-az315,elmid-radfar-az000,elmid-radfar-az045,elmid-radfar-az090,elmid-radfar-az135,elmid-radfar-az180,elmid-radfar-az225,elmid-radfar-az270,elmid-radfar-az315,elhigh-radnear-az000,elhigh-radnear-az045,elhigh-radnear-az090,elhigh-radnear-az135,elhigh-radnear-az180,elhigh-radnear-az225,elhigh-radnear-az270,elhigh-radnear-az315,elhigh-radmid-az000,elhigh-radmid-az045,elhigh-radmid-az090,elhigh-radmid-az135,elhigh-radmid-az180,elhigh-radmid-az225,elhigh-radmid-az270,elhigh-radmid-az315,elhigh-radfar-az000,elhigh-radfar-az045,elhigh-radfar-az090,elhigh-radfar-az135,elhigh-radfar-az180,elhigh-radfar-az225,elhigh-radfar-az270,elhigh-radfar-az315
ellow-radmid-az090,0.018588,0.001141,0.000000,0.000000,0.007738,0.004836,0.010707,0.018213,0.004581,0.059282,0.000000,0.018410,0.000000,0.013743,0.011014,0.008287,0.104569,0.000000,0.004543,0.117382,0.000000,0.017842,0.000752,0.000000,0.006332,0.000993,0.028490,0.029325,0.001185,0.001173,0.020648,0.000000,0.010395,0.000100,0.008591,0.010523,0.005312,0.000000,0.002858,0.000000,0.004346,0.000330,0.050264,0.034263,,0.000208,0.005891,0.007909,0.006951,0.000000,0.007419,0.025565,0.016932,0.026137,0.002228,0.016873,0.003264,0.000544,0.012668,0.003987,0.010490,0.014728,0.006168,0.000000,0.010891,0.014763,0.000000,0.000000,0.008780,0.000939,0.006057,0.038988
ellow-radmid-az135,0.008003,0.003803,0.045520,0.000818,0.003562,0.002988,0.006485,0.006003,0.000241,0.003318,0.018410,0.000000,0.011032,0.000834,0.004768,0.004144,0.000000,0.018395,0.023173,0.035094,0.002647,0.000000,0.043872,0.022115,0.004580,0.000000,0.029846,0.002827,0.005330,0.010269,0.008080,0.000144,0.006873,0.017111,0.009260,0.014369,0.009321,0.000463,0.008022,0.001340,0.000000,0.002865,0.013005,0.045915,0.000000,0.011795,0.000964,0.000000,0.011380,0.009935,0.033719,0.001756,0.037419,0.048196,0.001090,0.000100,0.018793,0.000000,0.040756,0.018442,0.004645,0.018525,0.006281,0.017694,0.023591,0.010355,0.000000,0.002052,0.020395,0.000000,0.000000,0.012633
ellow-radmid-az180,0.154787,0.025266,0.000000,0.000466,0.000000,0.000000,0.000000,0.027304,,0.003597,0.000000,0.011032,0.000000,0.000000,0.001313,0.000000,0.017202,0.000000,0.000000,0.033365,0.000000,0.036067,0.000000,0.003972,0.000000,0.000000,0.011132,0.002639,0.032308,0.000000,0.000000,0.015139,0.000000,0.000000,0.025309,,0.016027,0.000000,0.002476,0.006173,0.003337,0.039886,0.082291,0.000000,0.007942,0.001195,0.000000,0.012012,0.000000,0.013441,0.000000,0.020740,0.000000,0.001184,,0.004813,0.003638,0.000000,0.000000,0.029783,0.009563,0.009299,0.057674,0.000000,0.069723,0.034932,0.005125,0.011946,0.007362,0.000000,0.000000,0.004631
ellow-radmid-az225,0.029362,0.004483,0.010859,,0.003508,0.000000,0.000000,0.003192,0.173840,0.004353,0.013743,0.000834,0.000000,0.000000,0.002135,0.000000,0.120880,0.056164,0.000823,0.013529,0.004433,0.000000,0.027784,0.000000,0.000000,0.030720,0.003558,0.001676,0.002279,0.000000,0.002213,0.000930,0.010943,0.000000,0.000000,0.001646,0.001090,0.000000,0.009451,0.025050,0.008872,0.000000,0.031712,0.066094,0.009494,0.009310,0.011875,0.000000,0.009538,0.000000,0.004529,0.008772,0.000000,0.005347,0.026792,0.023511,0.012554,0.014937,0.010820,0.000000,0.000000,0.010729,0.000000,0.004622,0.021737,0.017945,0.014839,0.009063,0.000000,0.000000,0.008320,0.009885
ellow-radmid-az270,0.005603,0.005324,0.004587,0.013062,0.005120,0.000397,0.006375,0.057779,0.003280,0.034681,0.011014,0.004768,0.001313,0.002135,0.000000,0.000186,0.008777,0.000000,0.007918,0.021489,0.000000,0.000000,0.000000,0.005623,0.006715,0.012137,0.001834,0.002520,0.001714,0.228631,0.017577,0.008331,0.000000,0.005296,0.009778,0.025834,0.008389,0.301356,0.010221,0.003560,0.006546,0.022027,0.008954,0.003912,0.006795,0.012477,0.004749,0.000000,0.009079,0.005082,0.000842,0.000366,0.023390,0.000000,0.002937,0.004855,0.014902,0.010533,0.038016,0.019747,0.006852,0.000000,0.002401,0.003448,0.000000,0.000000,0.000000,0.038584,0.009149,0.000000,0.000000,0.005967
ellow-radmid-az315,0.030045,0.002694,0.003916,0.006746,0.009207,0.001579,0.005433,0.000000,0.000900,0.000000,0.008287,0.004144,0.000000,0.000000,0.000186,0.000000,0.001412,0.021327,0.000233,0.000000,0.000000,0.011746,0.010220,0.000000,0.000735,0.005496,0.000000,0.007950,0.009427,0.000000,0.001368,0.000000,0.007322,0.007259,0.000000,0.001457,0.002246,0.001195,0.004608,0.009824,0.003335,0.002193,0.005631,0.010308,0.005364,0.008309,0.000000,0.005430,0.006635,0.006770,0.002254,0.016872,0.009103,0.008824,0.005030,0.004993,0.000026,0.002095,0.007909,0.012492,0.009811,0.008026,0.001201,0.003717,0.000000,0.003199,0.004892,0.002260,0.006506,0.000000,0.002403,0.003251
ellow-radfar-az000,0.000000,0.000000,0.057621,0.039842,0.010312,0.002945,0.009548,0.001001,0.002786,0.041460,0.104569,0.000000,0.017202,0.120880,0.008777,0.001412,0.000000,0.052137,0.002774,0.005006,0.005078,0.006754,0.011868,0.009135,0.000322,0.018403,0.018129,0.003715,0.000000,0.028083,0.000822,0.000000,0.003789,0.003783,0.012224,0.000000,0.021668,0.019500,0.022155,0.027236,0.000000,0.015392,0.026920,0.008206,0.004313,0.001870,0.010712,0.016007,0.003180,0.000000,0.000000,0.019391,0.004526,0.013490,0.036175,0.001731,0.011839,0.000000,0.062592,0.013686,0.000000,0.009062,0.012540,0.007311,0.002444,0.016366,0.008847,0.013175,0.000000,0.037987,0.003544,0.008917
ellow-radfar-az045,0.008776,0.000000,0.000000,0.000596,0.000000,0.000000,0.009534,0.028752,0.000000,0.007624,0.000000,0.018395,0.000000,0.056164,0.000000,0.021327,0.052137,0.000000,0.000000,0.001385,0.000655,0.001738,0.052597,0.000000,0.000000,0.000000,0.000000,0.000000,0.030423,0.002835,0.000963,0.000000,0.020389,0.003417,0.030562,0.005287,0.000000,0.044030,0.000125,0.002290,0.003118,0.008392,0.067733,0.014774,0.000000,0.000322,0.000000,0.034450,0.000000,0.000000,0.001404,0.022504,0.007477,0.002915,0.025356,0.000000,0.003786,0.037628,0.000000,0.000000,0.002492,0.000000,0.011176,0.015763,0.002227,0.018810,0.051231,0.004658,0.002013,0.000000,0.000833,0.006139
ellow-radfar-az090,0.036393,0.005399,0.000000,0.000000,0.000000,0.000000,0.000000,0.009058,0.020400,0.000000,0.004543,0.023173,0.000000,0.000823,0.007918,0.000233,0.002774,0.000000,0.000000,0.012360,0.005094,0.014225,0.000000,0.001110,0.000000,0.017876,0.000000,0.000451,0.000000,0.000000,0.001544,0.000000,0.000000,0.000000,0.000000,0.012155,0.000000,0.000432,0.000000,0.009219,0.007239,0.007961,0.003353,0.011169,0.007758,0.000000,0.019390,0.000000,0.000015,0.000000,0.014294,0.004680,0.000000,0.003314,0.000000,0.023043,0.003694,0.000000,,0.000000,0.000000,0.028330,,0.004775,0.002379,0.003308,0.000000,0.000000,0.000000,0.000000,0.017348,0.005119
ellow-radfar-az135,0.083954,0.000000,0.006047,0.002839,0.000000,0.000000,0.000000,0.048897,0.000172,0.014213,0.117382,0.035094,0.033365,0.013529,0.021489,0.000000,0.005006,0.001385,0.012360,0.000000,0.019148,0.027901,0.000000,0.001407,0.000000,0.000000,0.000000,0.000000,0.000673,0.025562,0.001431,0.000000,0.004340,0.000000,0.000000,0.000000,0.010413,0.050086,0.000000,0.005483,0.004417,0.023234,0.001910,0.008961,0.000000,0.001219,0.000000,0.035446,0.000000,0.000000,0.021169,0.013850,0.001176,0.008989,0.020967,0.002891,0.000000,0.017062,0.005649,0.006184,0.000000,0.002778,0.026641,0.010354,0.070508,0.013883,0.003898,0.001067,0.000000,0.001990,0.000000,0.000000
