viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,manifest_train_images,manifest_val_images,manifest_test_images,global_rank_by_target_ap50_95,global_rank_by_strict_quality
ellow-radmid-az090,low,mid,90,32,32,9,0.17095115681233933,0.6768447837150128,0.2729604925602873,0.26936026936026936,0.898876404494382,0.41450777202072536,0.2859754391617278,0.7621295839616777,0.3910181466391578,0.7500706050928482,0.5964449163645505,0.46021608733973285,0.8619791666666666,0.5533088926404497,0.8612621444624688,0.7510242319267016,0.841288041614738,0.8810465279966593,0.9375,0.9375,2,0,0.0,147,26,32,62,59
ellow-radmid-az135,low,mid,135,30,30,10,0.24438902743142144,0.7596899224806202,0.36981132075471695,0.34502923976608185,0.8676470588235294,0.49372384937238495,0.38109726580242625,0.8557732004662951,0.4998852890585894,0.8554931556153644,0.7337117121085086,0.5782633667502088,0.8642857142857142,0.644766208450419,0.8704159584916841,0.7768196805426065,0.8226393198726646,0.8745723704497019,0.9333333333333333,0.9333333333333333,2,0,0.0,146,29,30,58,65
ellow-radmid-az180,low,mid,180,21,21,9,0.2543424317617866,0.7481751824817519,0.37962962962962965,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.3227580958758504,0.7831292325898406,0.44543437516962325,0.7576612830256071,0.573269557251395,0.5809092867916397,0.8452380952380952,0.6579125716098583,0.8282143358671454,0.7245926032250074,0.8616092318182323,0.8985433351425898,0.9523809523809523,0.9523809523809523,1,0,0.0,152,32,21,69,50
ellow-radmid-az225,low,mid,225,29,29,10,0.16900617630544637,0.6644591611479028,0.2694717994628469,0.2571428571428571,0.9252336448598131,0.4024390243902439,0.20846820212587497,0.7195198668037592,0.31870907902949774,0.7036005805423937,0.5084650900823489,0.46294756920671903,0.8675548589341693,0.5336525116641192,0.8860949286588133,0.7389009151067059,0.8255299704416494,0.872074700635055,0.9310344827586207,0.9310344827586207,2,1,0.5,155,21,29,65,64
ellow-radmid-az270,low,mid,270,26,26,10,0.20793950850661624,0.6875,0.3193033381712627,0.4207650273224044,0.9746835443037974,0.5877862595419847,0.3410689598464218,0.7925551941913498,0.44432838742893305,0.779955649065674,0.6320760666901021,0.5269328145459368,0.9391025641025641,0.6450965700965701,0.9366987189994409,0.8232399069741068,0.8804566067770992,0.9149148831000695,0.9615384615384616,0.9615384615384616,1,0,0.0,142,37,26,52,36
ellow-radmid-az315,low,mid,315,33,33,10,0.2436548223350254,0.8252148997134671,0.3762246897452645,0.2926208651399491,0.9663865546218487,0.44921875,0.33603422054243265,0.875263396161229,0.45497301940387824,0.8601239273455706,0.6988584243737856,0.6032244547731933,0.9686868686868686,0.693133448462602,0.968700687626849,0.8816379968561886,0.926455908994406,0.9577774279045336,1.0,1.0,0,0,0.0,152,20,33,33,6
ellow-radfar-az000,low,far,0,39,39,10,0.25841346153846156,0.7651245551601423,0.3863432165318958,0.3654485049833887,0.9016393442622951,0.5200945626477541,0.37524073542010367,0.8507172358216002,0.49559175234258607,0.8343078023519541,0.6505824038552873,0.5035107074348766,0.8521561771561772,0.5900856602907398,0.8505087480402892,0.7268851492390102,0.8034095371747858,0.851168039517525,0.9230769230769231,0.9230769230769231,3,0,0.0,136,30,39,67,68
ellow-radfar-az045,low,far,45,22,22,10,0.14751426242868787,0.6557971014492754,0.24085163007318697,0.22905027932960895,0.82,0.35807860262008734,0.2387297683663503,0.7122224671399282,0.33574283979696723,0.6870672513082582,0.5012362641169554,0.44657609022812783,0.8684343434343433,0.5401655257150508,0.8705680652644229,0.7062323675506756,0.8089307169448573,0.8774843215942383,0.9545454545454546,0.9545454545454546,1,0,0.0,148,35,22,70,67
ellow-radfar-az090,low,far,90,28,28,9,0.18200134318334452,0.7633802816901408,0.29392624728850325,0.3013698630136986,0.946236559139785,0.45714285714285713,0.28674758256168786,0.8132676161905484,0.41155345762431544,0.8072886498088486,0.6467845711632012,0.4017874822288369,0.8601190476190476,0.5081420633521474,0.8452806136931995,0.7264335852327901,0.8165494316422262,0.8607013097831181,0.9285714285714286,0.9285714285714286,2,0,0.0,140,37,28,68,66
ellow-radfar-az135,low,far,135,36,36,10,0.26976744186046514,0.8285714285714286,0.4070175438596491,0.3607305936073059,0.9186046511627907,0.5180327868852459,0.3655473638955638,0.874529191483582,0.4902839435134396,0.8715263031308541,0.6856489950190641,0.501895157311824,0.8921296296296296,0.5944250617453233,0.8854750889254572,0.7317797763994801,0.7766151696698516,0.856710852848159,0.9444444444444444,0.9444444444444444,2,0,0.0,145,24,36,66,70
