drone_count,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,scene_count,sample_count,class_count,dominant_target_class,dominant_target_class_count,precision,recall,F1,AP50,AP50-95,mean_ap50,mean_ap50_95,mean_best_strict_quality,mean_mean_strict_quality,mean_best_match_confidence_iou50,target_visible_any_rate,target_visible_all_rate,target_found_or_rate,target_found_majority_rate,target_found_all_rate,mean_absent_view_count,selected_has_absent_view_rate,all_selected_views_absent_rate,false_alarm_rate_when_any_selected_view_absent,class_mean_strict_quality_min,class_mean_strict_quality_std,class_mean_strict_quality_cv,class_robustness_score,elevation_pattern,radius_pattern,azimuth_pattern,unique_elevation_count,unique_radius_count,unique_azimuth_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,radius_relationship,elevation_relationship,azimuth_relationship,diversity_type,diversity_factor_count,synergy_strict_vs_best_individual,synergy_ap50_95_vs_best_individual
2,ellow-radfar-az180 + elhigh-radnear-az225,ellow-radfar-az180,elhigh-radnear-az225,,4,4,3,tower,2,0.780952380952381,1.0,0.8682692307692308,1.0,1.0,1.0,0.9921875,0.9675978530259046,0.9584808792753741,0.9792246222496033,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9624293316513217,0.004908058758755722,0.005071061120364287,0.2984786816638907,low + high,near + far,180 + 225,2,2,2,45,45.0,near_far,low_high,adjacent_45,distance+elevation+azimuth,3,0.009116973750530555,0.0078125
2,ellow-radfar-az180 + elmid-radnear-az315,ellow-radfar-az180,elmid-radnear-az315,,5,5,3,tower,3,0.5797619047619047,1.0,0.7076874003189793,1.0,1.0,0.9684325411277157,0.8853317471534545,0.9674725011808996,0.9566264207770534,0.9801988124847412,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.954816043497857,0.007721769247221463,0.007996192943119674,0.29760114211706407,low + mid,near + far,180 + 315,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3,0.010846080403846159,0.11466825284654547
2,elmid-radnear-az225 + elmid-radnear-az315,elmid-radnear-az225,elmid-radnear-az315,,6,6,4,tent,2,0.8783068783068783,1.0,0.9246031746031745,1.0,1.0,1.0,0.979074075182003,0.9674011647025557,0.9652261455800227,0.9782686332861582,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9630015469220226,0.004320151399671282,0.004465910791350957,0.39821363568345963,mid,near,225 + 315,1,1,2,90,90.0,same_radius,same_elevation,quarter_turn_90,azimuth_only,1,0.0021750191225329285,0.020925924817997044
2,elmid-radnear-az315 + elmid-radfar-az000,elmid-radnear-az315,elmid-radfar-az000,,5,5,3,rock,2,0.7166666666666667,1.0,0.7878787878787878,1.0,1.0,0.9835775346837492,0.964349818177958,0.967316760305566,0.9612718817413392,0.9788487672805786,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9623334160172945,0.00396106211559954,0.004098415583807616,0.2987704753248577,mid,near + far,000 + 315,1,2,2,45,45.0,near_far,same_elevation,adjacent_45,distance+azimuth,2,0.006044878564226863,0.03565018182204205
2,elmid-radnear-az225 + elhigh-radfar-az315,elmid-radnear-az225,elhigh-radfar-az315,,3,3,3,container,1,0.8444444444444444,0.9583333333333334,0.8956228956228957,1.0,1.0,0.96875,0.934722222511967,0.9669431434873369,0.9533861871441657,0.9793373147646586,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9613287414502878,0.004708462267689739,0.004869430327318311,0.2985391709018045,mid + high,near + far,225 + 315,2,2,2,90,90.0,near_far,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3,0.013556956343171223,0.06527777748803298
2,elmid-radnear-az045 + elmid-radnear-az315,elmid-radnear-az045,elmid-radnear-az315,,6,6,4,rock,2,0.5871459694989106,1.0,0.7100900307422046,1.0,1.0,1.0,0.965332978779312,0.9661155123884407,0.9629118628725098,0.9799356162548065,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9576084111068539,0.007258248453895241,0.0075122753250636415,0.39699508986997456,mid,near,045 + 315,1,1,2,90,90.0,same_radius,same_elevation,quarter_turn_90,azimuth_only,1,0.003203649515930884,0.03466702122068799
2,elmid-radnear-az000 + elhigh-radfar-az180,elmid-radnear-az000,elhigh-radfar-az180,,3,3,3,container,1,0.6805555555555555,1.0,0.8087912087912089,1.0,1.0,1.0,0.9477777784379819,0.9660574392488653,0.9499172992970527,0.9766925573348999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9527491391154896,0.009672306462237927,0.010012144277630527,0.2969963567167108,mid + high,near + far,000 + 180,2,2,2,180,180.0,near_far,adjacent_elevation,opposite_180,distance+elevation+azimuth,3,0.016140139951812627,0.052222221562018056
2,elmid-radnear-az315 + elmid-radfar-az090,elmid-radnear-az315,elmid-radfar-az090,,3,3,3,suv,1,0.8333333333333334,1.0,0.8888888888888888,1.0,1.0,1.0,0.964314102879415,0.9660384530734921,0.9586594857228743,0.9779039820035299,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9604847073455076,0.005721871802288813,0.005923026960349701,0.29822309191189506,mid,near + far,090 + 315,1,2,2,135,135.0,near_far,same_elevation,diagonal_135,distance+azimuth,2,0.007378967350617827,0.03568589712058501
2,elmid-radnear-az180 + elhigh-radmid-az090,elmid-radnear-az180,elhigh-radmid-az090,,3,3,3,container,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9874999999999999,0.9659443569751159,0.9595833807601094,0.9809606472651163,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9586280481426215,0.0056942863322603674,0.005895045911435518,0.2982314862265693,mid + high,near + mid,090 + 180,2,2,2,90,90.0,adjacent_radius,adjacent_elevation,quarter_turn_90,distance+elevation+azimuth,3,0.006360976215006531,0.012500000000000067
2,elmid-radnear-az135 + elmid-radnear-az315,elmid-radnear-az135,elmid-radnear-az315,,8,8,5,rock,3,0.6927893965937444,0.9895833333333334,0.7700565387814062,1.0,1.0,0.9874240318491568,0.9565998841001399,0.9658959261726539,0.9589751313811112,0.9762417525053024,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9596139221878701,0.004464974079241973,0.00462688938100962,0.4976865553094952,mid,near,135 + 315,1,1,2,180,180.0,same_radius,same_elevation,opposite_180,azimuth_only,1,0.006920794791542617,0.04340011589986015
