target_class,viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,class_rank_by_target_ap50_95
rock,elmid-radnear-az315,mid,near,315,5,5,1,0.5192307692307693,0.9310344827586207,0.6666666666666666,0.5789473684210527,1.0,0.7333333333333333,0.5838485044367397,0.9444444444444444,0.7116827758771492,0.9450728982799375,0.8600796893464139,0.755,1.0,0.8233766233766234,1.0,0.9820833340287208,0.9697772295293638,0.9791197538375854,1.0,1.0,0,0,0.0,17
rock,elmid-radmid-az000,mid,mid,0,6,6,1,0.5769230769230769,1.0,0.7317073170731707,0.4807692307692308,1.0,0.6493506493506493,0.711078691423519,1.0,0.8069546819546819,0.9969745540995767,0.9049578540670895,0.6990196078431373,1.0,0.7821067821067821,1.0,0.9716898140835543,0.9569897149218279,0.9754485289255778,1.0,1.0,0,0,0.0,20
rock,elmid-radmid-az045,mid,mid,45,3,3,1,0.4864864864864865,1.0,0.6545454545454545,0.6923076923076923,1.0,0.8181818181818182,0.4679824561403509,1.0,0.611965811965812,0.9935064949256519,0.9591262290063685,0.8518518518518517,1.0,0.9047619047619048,1.0,0.9896296302698278,0.9612401200934393,0.9723636706670126,1.0,1.0,0,0,0.0,12
rock,elmid-radmid-az090,mid,mid,90,2,2,1,0.5714285714285714,1.0,0.7272727272727273,0.8333333333333334,1.0,0.9090909090909091,0.58125,1.0,0.7349999999999999,0.9861111119389534,0.8550595291587155,0.9,1.0,0.9444444444444444,0.9750000014901161,0.9250000014901161,0.9658095408870953,0.9778084456920624,1.0,1.0,0,0,0.0,40
rock,elmid-radmid-az180,mid,mid,180,3,3,1,0.328125,1.0,0.49411764705882355,0.26666666666666666,1.0,0.42105263157894735,0.38970905637572306,1.0,0.5304659498207885,1.0,0.9359933426429258,0.32323232323232326,1.0,0.4688888888888889,1.0,0.9305359879623759,0.9574757658347224,0.970571239789327,1.0,1.0,0,0,0.0,38
rock,elmid-radmid-az225,mid,mid,225,3,3,1,0.8214285714285714,1.0,0.9019607843137255,0.8125,1.0,0.896551724137931,0.8251082251082251,1.0,0.903988603988604,1.0,0.9431779094454315,0.8333333333333334,1.0,0.903030303030303,1.0,0.979305556482739,0.95800607417344,0.9721306761105856,1.0,1.0,0,0,0.0,18
rock,elmid-radmid-az270,mid,mid,270,2,2,1,0.7857142857142857,1.0,0.88,1.0,1.0,1.0,0.8333333333333333,1.0,0.9,1.0,0.894000003463692,1.0,1.0,1.0,1.0,1.0,0.9476654663171349,0.9714356660842896,1.0,1.0,0,0,0.0,6
rock,elmid-radmid-az315,mid,mid,315,3,3,1,0.625,1.0,0.7692307692307693,0.9166666666666666,1.0,0.9565217391304348,0.6181818181818182,1.0,0.757051282051282,1.0,0.8724368749814803,0.9166666666666666,1.0,0.9523809523809524,1.0,0.9327777793506781,0.9482473556688605,0.9684789578119913,1.0,1.0,0,0,0.0,36
rock,elmid-radfar-az000,mid,far,0,4,4,1,0.27848101265822783,0.7857142857142857,0.411214953271028,0.7272727272727273,0.8888888888888888,0.8,0.4562233589087809,0.8205128205128205,0.5509516903833953,0.8073057333739357,0.7289997472863442,0.8928571428571428,0.875,0.8484848484848485,0.9375,0.9178571429103612,0.9548638297166097,0.9705493748188019,1.0,1.0,0,0,0.0,43
rock,elmid-radfar-az045,mid,far,45,1,1,1,0.5625,0.9,0.6923076923076923,0.5714285714285714,1.0,0.7272727272727273,0.5625,0.9,0.6923076923076923,0.9281249828636646,0.828888880941603,0.5714285714285714,1.0,0.7272727272727273,1.0,1.0,0.9300139849794675,0.9681578874588013,1.0,1.0,0,0,0.0,9
rock,elmid-radfar-az090,mid,far,90,2,2,1,0.4727272727272727,0.9629629629629629,0.6341463414634146,0.4166666666666667,1.0,0.5882352941176471,0.4820954907161804,0.95,0.6261180679785331,0.9577586103102256,0.8932368586491513,0.5462184873949579,1.0,0.6520146520146519,1.0,0.9714285720671926,0.9470698437055027,0.9700371623039246,1.0,1.0,0,0,0.0,21
rock,elmid-radfar-az135,mid,far,135,2,2,1,0.3877551020408163,0.9047619047619048,0.5428571428571428,0.6153846153846154,1.0,0.7619047619047619,0.5083732057416268,0.9230769230769231,0.6367389060887514,0.9342105301768191,0.7358582053523556,0.7222222222222222,1.0,0.8076923076923077,1.0,0.9645833333488554,0.9576807784216257,0.9762240946292877,1.0,1.0,0,0,0.0,24
rock,elmid-radfar-az225,mid,far,225,3,3,1,0.4878048780487805,0.9523809523809523,0.6451612903225806,0.4,0.8888888888888888,0.5517241379310345,0.46060606060606063,0.9666666666666667,0.5925641025641025,0.9766666615009308,0.940770722472899,0.3637566137566138,0.8888888888888888,0.5047619047619047,0.9047619111481167,0.8995767262830304,0.9517075589275473,0.9686438242594401,1.0,1.0,0,0,0.0,52
rock,elmid-radfar-az270,mid,far,270,4,4,1,0.66,1.0,0.7951807228915663,0.7647058823529411,1.0,0.8666666666666667,0.7792207792207793,1.0,0.8582887700534759,0.9981617648154497,0.8565215968108275,0.9,1.0,0.9375,1.0,0.9397916681195299,0.9331514909575516,0.9569208323955536,1.0,1.0,0,0,0.0,33
rock,elmid-radfar-az315,mid,far,315,3,3,1,0.42168674698795183,0.9459459459459459,0.5833333333333334,0.44,1.0,0.6111111111111112,0.4987348178137652,0.9500000000000001,0.6351032994141227,0.9542519565468354,0.7874088092066681,0.5079365079365079,1.0,0.6251526251526252,1.0,0.913095243180555,0.9539944820672398,0.9708100954691569,1.0,1.0,0,0,0.0,46
rock,elhigh-radnear-az000,high,near,0,4,4,1,0.6444444444444445,1.0,0.7837837837837838,0.5,1.0,0.6666666666666666,0.7530364372469636,1.0,0.8357142857142857,1.0,0.9060648250491787,0.8076923076923077,1.0,0.84375,1.0,0.9307692351106267,0.9614475995011471,0.9742056876420975,1.0,1.0,0,0,0.0,37
rock,elhigh-radnear-az045,high,near,45,1,1,1,0.47058823529411764,1.0,0.64,0.3333333333333333,1.0,0.5,0.47058823529411764,1.0,0.6399999999999999,1.0,0.9565257355570793,0.3333333333333333,1.0,0.5,1.0,0.978125,0.9584617049455524,0.9734222292900085,1.0,1.0,0,0,0.0,19
rock,elhigh-radnear-az090,high,near,90,3,3,1,0.5319148936170213,1.0,0.6944444444444444,0.4166666666666667,1.0,0.5882352941176471,0.5390406162464986,1.0,0.6953140096618359,0.9894179906794633,0.9021235409075153,0.5722222222222223,1.0,0.6832579185520361,0.955555560853746,0.8944444514976607,0.9618795772098956,0.9789913495381674,1.0,1.0,0,0,0.0,53
rock,elhigh-radnear-az135,high,near,135,5,5,1,0.7692307692307693,0.967741935483871,0.8571428571428571,0.72,0.9473684210526315,0.8181818181818182,0.8111111111111111,0.9666666666666666,0.875,0.9749999970197678,0.9495682518767932,0.8178571428571428,0.95,0.8666666666666666,0.959375,0.9368392861059733,0.9554151335238246,0.9750125288963318,1.0,1.0,0,0,0.0,35
