object_class,coefficient,value,r_squared
tent,azimuth_cos_x_elevation,-0.011692553006977576,0.20492250807448975
tent,azimuth_sin_x_radius,0.03318115869496872,0.20492250807448975
tent,azimuth_cos_x_radius,-0.0030844744178311805,0.20492250807448975
tent,elevation_x_radius,0.0014145370665656137,0.20492250807448975
tower,intercept,0.7319037236003433,0.25115614892031657
tower,azimuth_sin,-0.011867818457612834,0.25115614892031657
tower,azimuth_cos,-0.01544955180681741,0.25115614892031657
tower,elevation,0.12413638993670803,0.25115614892031657
tower,radius,-0.02823295753458303,0.25115614892031657
tower,azimuth_sin_x_elevation,-0.006769582630519154,0.25115614892031657
tower,azimuth_cos_x_elevation,0.010594173587613857,0.25115614892031657
tower,azimuth_sin_x_radius,0.04955488917117019,0.25115614892031657
tower,azimuth_cos_x_radius,0.003471506838096511,0.25115614892031657
tower,elevation_x_radius,0.0004250694141909242,0.25115614892031657
tree,intercept,0.7229975669796087,0.3567200304551261
tree,azimuth_sin,0.025589234810584265,0.3567200304551261
tree,azimuth_cos,0.007072587753848891,0.3567200304551261
tree,elevation,0.13817014886624704,0.3567200304551261
tree,radius,-0.05518478350785627,0.3567200304551261
tree,azimuth_sin_x_elevation,-0.025585432696193608,0.3567200304551261
tree,azimuth_cos_x_elevation,-0.01876742110825194,0.3567200304551261
tree,azimuth_sin_x_radius,0.03249273627180753,0.3567200304551261
tree,azimuth_cos_x_radius,0.004805525856032528,0.3567200304551261
tree,elevation_x_radius,0.0012578618190566453,0.3567200304551261
whitevan,intercept,0.7810385726837196,0.3858587787100104
whitevan,azimuth_sin,-0.012216758372800562,0.3858587787100104
whitevan,azimuth_cos,-0.0004283925315109634,0.3858587787100104
whitevan,elevation,0.16620375097610357,0.3858587787100104
whitevan,radius,-0.03355224696164882,0.3858587787100104
whitevan,azimuth_sin_x_elevation,0.03314329786588094,0.3858587787100104
whitevan,azimuth_cos_x_elevation,-0.04578573654458309,0.3858587787100104
whitevan,azimuth_sin_x_radius,0.0289421903443346,0.3858587787100104
whitevan,azimuth_cos_x_radius,0.021921720174780748,0.3858587787100104
whitevan,elevation_x_radius,0.03449968085115924,0.3858587787100104
