viewpoint_pair,viewpoint_1,viewpoint_2,sample_count,scene_count,mean_precision,mean_recall,mean_f1,mean_ap50_95,mean_best_ap50_95,mean_target_ap50_95,mean_best_target_ap50_95,mean_target_match_confidence_iou50,mean_best_target_match_confidence_iou50,mean_target_strict_quality_iou50,mean_best_target_strict_quality_iou50,mean_azimuth_gap,target_visible_rate,target_detected_rate,target_detected_given_visible
elhigh-radmid-az000 + elhigh-radfar-az090,elhigh-radmid-az000,elhigh-radfar-az090,6,6,0.6648838279273062,1.0,0.7826265630776909,0.8802487409755414,0.9389628433063626,0.9331018524589362,0.9458333333333333,0.930160919825236,0.936516006787618,0.8772351683842228,0.887738790239311,90.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az135,elhigh-radmid-az000,elhigh-radfar-az135,1,1,0.8333333333333334,1.0,0.9090909090909091,0.9377142814738408,0.9639999947547911,1.0,1.0,0.9752805829048157,0.9768452644348145,0.9607492221683245,0.9665112863923184,135.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az180,elhigh-radmid-az000,elhigh-radfar-az180,5,5,0.7491992873994896,0.9722222222222221,0.841461781120356,0.9114612215057244,0.9628393834031291,0.9702291668765246,0.9956250000000001,0.9661167323589325,0.969973361492157,0.942592568176211,0.9515436205223018,180.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az225,elhigh-radmid-az000,elhigh-radfar-az225,6,6,0.6065308144227163,0.9785353535353535,0.7275006622795769,0.8738623565073022,0.907066429843394,0.9227519352816302,0.9563999314025335,0.943495973944664,0.945232629776001,0.9064915281682909,0.9204105688300697,135.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az270,elhigh-radmid-az000,elhigh-radfar-az270,5,5,0.5053453546193593,0.9779487179487181,0.6543321592462139,0.8220027530446817,0.8609181715143202,0.857468172771231,0.9153530131638495,0.9356397569179535,0.9399480581283569,0.874548272253237,0.9029997693971374,90.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radfar-az315,elhigh-radmid-az000,elhigh-radfar-az315,4,4,0.8158261655080319,0.9703525641025641,0.8807851498808479,0.8942537368990848,0.924016863067763,0.9655476187543854,0.9863690480944656,0.9533258154988289,0.9551573544740677,0.926484668258639,0.939588658792319,45.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az045,elhigh-radmid-az000,elhigh-radmid-az045,7,7,0.751343495214463,1.0,0.8394773022730556,0.8973834237460149,0.9232355647878487,0.8670493205489755,0.8920634922290606,0.9076075766767774,0.9121437924248832,0.8348246659978719,0.8446927340316738,45.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az090,elhigh-radmid-az000,elhigh-radmid-az090,6,6,0.712599890530925,0.9837301587301587,0.8009376042709376,0.8962052353535942,0.9135690775351312,0.8583802733083598,0.9167476851838056,0.9144738266865412,0.9168498814105988,0.8489580124513759,0.8682245297460328,90.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az135,elhigh-radmid-az000,elhigh-radmid-az135,6,6,0.6869104737854738,0.9880952380952381,0.784054834054834,0.8660821370824969,0.8821829249813434,0.7956514560178948,0.8366732808056647,0.8752405941486359,0.8798555433750153,0.7733712683633014,0.7905421406918579,135.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az180,elhigh-radmid-az000,elhigh-radmid-az180,7,7,0.5931742279731819,0.9711255411255412,0.7116574031027982,0.865060790742073,0.9054956789718389,0.880351005144497,0.9041167195853426,0.9116163424083165,0.9166817494801113,0.85784348432421,0.8704245010524697,180.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az225,elhigh-radmid-az000,elhigh-radmid-az225,4,4,0.7980769230769231,0.9886363636363636,0.8701105442176871,0.8893921354957058,0.9082049915120385,0.9268159725583263,0.9360625002086163,0.9212357699871063,0.9255150258541107,0.8714865413338972,0.8825469546968563,135.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az270,elhigh-radmid-az000,elhigh-radmid-az270,8,8,0.8308056526806527,0.9930555555555556,0.8965423465423465,0.9167249611882037,0.938354481315371,0.8693333334531634,0.8921875,0.9095974043011665,0.9153133407235146,0.8316427327143352,0.845482195224736,90.0,1.0,1.0,1.0
elhigh-radmid-az000 + elhigh-radmid-az315,elhigh-radmid-az000,elhigh-radmid-az315,4,4,0.6125,1.0,0.7355295566502463,0.8938678401682326,0.9329136918269629,0.9054947928339243,0.9515625,0.931248813867569,0.9362337440252304,0.8958317937032589,0.9107112954109864,45.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az000,elhigh-radmid-az045,elhigh-radfar-az000,7,7,0.5912780697134645,0.9761904761904762,0.7277841827963313,0.8759864216884249,0.921018620169422,0.9039021359979262,0.9499595214395101,0.9603548262800489,0.9629455208778381,0.9302312700535573,0.9405288929833421,45.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az045,elhigh-radmid-az045,elhigh-radfar-az045,6,6,0.7044191919191919,0.9938271604938271,0.8048577598075446,0.8769637909475062,0.9012717817614845,0.7927496696043779,0.8291666683223512,0.8996194352706274,0.9080644051233927,0.798793197480124,0.8243817481275494,0.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az090,elhigh-radmid-az045,elhigh-radfar-az090,7,7,0.5929912693822468,0.9707142857142858,0.723382007454677,0.8577743231210465,0.8777657902592655,0.8507719301812208,0.8744608097636185,0.9135801877294268,0.9339874642235892,0.8436640143204787,0.8730532347975897,45.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az135,elhigh-radmid-az045,elhigh-radfar-az135,5,5,0.538799883383924,0.940909090909091,0.6588827838827839,0.8472466047705354,0.9058416260158639,0.9386500846145995,0.951785317469311,0.968302595615387,0.9691118955612182,0.9455557913801111,0.9491594846283533,90.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az180,elhigh-radmid-az045,elhigh-radfar-az180,2,2,0.6730769230769231,0.9230769230769231,0.7726190476190475,0.8541116092158482,0.9041607154142112,0.891666667163372,1.0,0.9406082928180695,0.9566527009010315,0.9028669016851811,0.9288543106728611,135.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az225,elhigh-radmid-az045,elhigh-radfar-az225,6,6,0.5455532624916682,0.9587542087542088,0.6769085116884282,0.8585826953486936,0.9165857277018761,0.8753636360889119,0.940624669315229,0.9401139318943024,0.9433412055174509,0.898861394912346,0.9123023653373412,180.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az270,elhigh-radmid-az045,elhigh-radfar-az270,3,3,0.6351600469247528,0.9833333333333334,0.7591839865020323,0.8698930536272762,0.9010510659785499,0.8810185186564922,0.9666666666666667,0.910494069258372,0.9114992022514343,0.8534862369611851,0.8766666892992845,135.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radfar-az315,elhigh-radmid-az045,elhigh-radfar-az315,1,1,0.34146341463414637,1.0,0.509090909090909,0.8451085869003964,0.8971428598392578,0.8697642544284463,0.888541666790843,0.9684030115604401,0.9705771207809448,0.9522050304895124,0.9571864247348074,90.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radmid-az090,elhigh-radmid-az045,elhigh-radmid-az090,3,3,0.4444444444444444,1.0,0.608641975308642,0.8635348494236398,0.8799443818939229,0.8475873023739883,0.8658412711364883,0.9265319406986237,0.9276559154192606,0.8533509840219118,0.8752796600907319,45.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radmid-az135,elhigh-radmid-az045,elhigh-radmid-az135,4,4,0.5109452980276779,0.9644607843137255,0.6385185185185185,0.8599652610433643,0.9044004353097012,0.8285218263340611,0.8313492078097566,0.8990265354514122,0.9042772650718689,0.8267125016654289,0.8405979432835275,90.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radmid-az180,elhigh-radmid-az045,elhigh-radmid-az180,3,3,0.4466163276904965,1.0,0.5977922949450128,0.9013627626550317,0.9401697230463103,0.8784143521691914,0.890625,0.9339854021867117,0.9399868249893188,0.8599427695190703,0.8718679110759844,135.0,1.0,1.0,1.0
