scene_key,file_name,image_id,target_class,viewpoint,elevation,radius,azimuth,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred,target_visible,target_detected,target_precision,target_recall,target_f1,target_ap50,target_ap50_95,target_best_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,target_tp,target_fp,target_fn
S0-SM_container_7,S0-SM_container_7-elhigh-radfar-az315.png,422,container,elhigh-radfar-az315,high,far,315,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9260416679084301,8,1,0,8,9,1,1,1.0,1.0,1.0,1.0,1.0,0.9791371822357178,0.9669159650802612,0.9577116370201111,0.9260266717778975,4,0,0
S0-SM_container_7,S0-SM_container_7-elhigh-radnear-az135.png,423,container,elhigh-radnear-az135,high,near,135,0.8888888888888888,1.0,0.9411764705882353,1.0,0.8520833356305957,8,1,0,8,9,1,1,1.0,1.0,1.0,1.0,0.9541666671633721,0.9884853363037109,0.9718775153160095,0.9884853363037109,0.9606866725731606,4,0,0
S0-SM_container_7,S0-SM_container_7-ellow-radmid-az090.png,424,container,ellow-radmid-az090,low,mid,90,0.32653061224489793,0.8888888888888888,0.47761194029850745,0.8487852966757705,0.43349434473939086,16,33,2,18,49,1,1,1.0,1.0,1.0,1.0,0.9625,0.9917584657669067,0.9645761251449585,0.9917584657669067,0.9566265379891519,2,0,0
S0-SM_container_7,S0-SM_container_7-ellow-radmid-az315.png,425,container,ellow-radmid-az315,low,mid,315,0.7142857142857143,1.0,0.8333333333333333,1.0,0.9400000041723251,5,2,0,5,7,1,1,0.6,1.0,0.7499999999999999,1.0,1.0,0.970888078212738,0.9723724126815796,0.970888078212738,0.9440647830555022,3,2,0
S0-SM_container_7,S0-SM_container_7-ellow-radnear-az135.png,426,container,ellow-radnear-az135,low,near,135,0.8,1.0,0.888888888888889,1.0,0.9250000007450581,4,1,0,4,5,1,1,1.0,1.0,1.0,1.0,0.9777777794334623,0.9813929796218872,0.9757128357887268,0.9813929796218872,0.9575577271700197,3,0,0
S0-SM_container_7,S0-SM_container_7-ellow-radnear-az270.png,427,container,ellow-radnear-az270,low,near,270,1.0,1.0,1.0,1.0,0.925,2,0,0,2,2,1,1,1.0,1.0,1.0,1.0,1.0,0.990009605884552,0.9859762191772461,0.990009605884552,0.9761259281592061,1,0,0
S0-SM_container_7,S0-SM_container_7-elmid-radfar-az090.png,428,container,elmid-radfar-az090,mid,far,90,0.6153846153846154,1.0,0.761904761904762,1.0,0.8788461544550955,8,5,0,8,13,1,1,1.0,1.0,1.0,1.0,0.9625,0.9861881136894226,0.9614514112472534,0.9861881136894226,0.9481719536619622,4,0,0
S0-SM_container_7,S0-SM_container_7-elmid-radmid-az180.png,429,container,elmid-radmid-az180,mid,mid,180,0.9,1.0,0.9473684210526316,1.0,0.8738271689120634,9,1,0,9,10,1,1,1.0,1.0,1.0,1.0,1.0,0.9820465445518494,0.9693126678466797,0.9656330943107605,0.9360003908074077,4,0,0
S0-SM_container_7,S0-SM_container_7-elmid-radmid-az270.png,430,container,elmid-radmid-az270,mid,mid,270,0.34782608695652173,1.0,0.5161290322580645,1.0,0.8153079704381525,8,15,0,8,23,1,1,0.2222222222222222,1.0,0.3636363636363636,1.0,0.7881944445893169,0.986680269241333,0.9708211421966553,0.986680269241333,0.9578900659677743,4,14,0
S0-SM_container_7,S0-SM_container_7-elmid-radnear-az225.png,431,container,elmid-radnear-az225,mid,near,225,0.4666666666666667,0.875,0.608695652173913,0.904166666790843,0.6085227285511792,7,8,1,8,15,1,1,0.5,0.75,0.6,0.8125,0.6500000014901162,0.9883252382278442,0.9780685305595398,0.9883252382278442,0.9666498134684147,3,3,1
S0-SM_container_7,S0-SM_container_7-elmid-radnear-az270.png,432,container,elmid-radnear-az270,mid,near,270,0.5714285714285714,1.0,0.7272727272727273,1.0,0.9607142858207226,4,3,0,4,7,1,1,0.6666666666666666,1.0,0.8,1.0,1.0,0.9756819009780884,0.9701061844825745,0.9756819009780884,0.9465150462265584,2,1,0
