scene_key,target_class,viewpoint_1,viewpoint_2,viewpoint_pair,elevation_1,radius_1,azimuth_1,elevation_2,radius_2,azimuth_2,same_elevation,same_radius,azimuth_gap,precision,recall,f1,mean_ap50_95,best_ap50_95,mean_target_ap50_95,best_target_ap50_95,mean_target_match_confidence_iou50,best_target_match_confidence_iou50,mean_target_strict_quality_iou50,best_target_strict_quality_iou50,target_visible,target_detected,target_detected_given_visible,tp_sum,fp_sum,fn_sum
S0-SM_barrel_1,barrel,ellow-radmid-az135,elhigh-radnear-az090,ellow-radmid-az135 + elhigh-radnear-az090,low,mid,135,high,near,90,0,0,45,0.25806451612903225,0.7272727272727273,0.38095238095238093,0.7084340766031336,0.8850000008940697,0.8,0.8,0.8372862637042999,0.8409633040428162,0.7311135623414184,0.7424794234530765,1,1,1.0,8,23,3
S0-SM_barrel_1,barrel,ellow-radmid-az135,elhigh-radmid-az045,ellow-radmid-az135 + elhigh-radmid-az045,low,mid,135,high,mid,45,0,1,90,0.25806451612903225,0.7272727272727273,0.38095238095238093,0.7021840766031335,0.8725000008940696,0.7,0.8,0.8087701797485352,0.8336092233657837,0.6676711814342404,0.7424794234530765,1,1,1.0,8,23,3
S0-SM_barrel_1,barrel,ellow-radmid-az135,elhigh-radfar-az270,ellow-radmid-az135 + elhigh-radfar-az270,low,mid,135,high,far,270,0,0,135,0.26666666666666666,0.7272727272727273,0.3902439024390244,0.7393715761560987,0.946875,0.8500000000000001,0.9,0.8087262213230133,0.8336092233657837,0.7317495019500697,0.7424794234530765,1,1,1.0,8,22,3
S0-SM_barrel_1,barrel,ellow-radfar-az135,elmid-radmid-az090,ellow-radfar-az135 + elmid-radmid-az090,low,far,135,mid,mid,90,0,0,45,0.5,1.0,0.6666666666666666,0.865104166790843,0.886458333581686,0.75,0.8,0.8151107728481293,0.8461145162582397,0.7036317320891232,0.712026533706343,1,1,1.0,8,8,0
S0-SM_barrel_1,barrel,ellow-radfar-az135,elmid-radfar-az225,ellow-radfar-az135 + elmid-radfar-az225,low,far,135,mid,far,225,0,1,90,0.5,1.0,0.6666666666666666,0.896875000372529,0.9072916671633721,0.9,1.0,0.7952181100845337,0.8063291907310486,0.7329470837942402,0.770657237116577,1,1,1.0,8,8,0
S0-SM_barrel_1,barrel,ellow-radfar-az135,elhigh-radnear-az090,ellow-radfar-az135 + elhigh-radnear-az090,low,far,135,high,near,90,0,0,45,0.47058823529411764,1.0,0.64,0.8857291672378779,0.886458333581686,0.8,0.8,0.8125351667404175,0.8409633040428162,0.7074923158508319,0.7197477012297604,1,1,1.0,8,9,0
S0-SM_barrel_1,barrel,ellow-radfar-az135,elhigh-radmid-az045,ellow-radfar-az135 + elhigh-radmid-az045,low,far,135,high,mid,45,0,0,90,0.47058823529411764,1.0,0.64,0.8794791672378779,0.886458333581686,0.7,0.8,0.7840190827846527,0.7841070294380188,0.6440499349436539,0.6952369304719035,1,1,1.0,8,9,0
S0-SM_barrel_1,barrel,ellow-radfar-az135,elhigh-radfar-az270,ellow-radfar-az135 + elhigh-radfar-az270,low,far,135,high,far,270,0,1,135,0.5,1.0,0.6666666666666666,0.916666666790843,0.946875,0.8500000000000001,0.9,0.7839751243591309,0.7841070294380188,0.7081282554594832,0.7210195804470629,1,1,1.0,8,8,0
S0-SM_barrel_1,barrel,elmid-radmid-az090,elmid-radfar-az225,elmid-radmid-az090 + elmid-radfar-az225,mid,mid,90,mid,far,225,1,0,135,1.0,1.0,1.0,0.875520833581686,0.9072916671633721,0.85,1.0,0.8262218534946442,0.8461145162582397,0.74134188541146,0.770657237116577,1,1,1.0,8,0,0
S0-SM_barrel_1,barrel,elmid-radmid-az090,elhigh-radnear-az090,elmid-radmid-az090 + elhigh-radnear-az090,mid,mid,90,high,near,90,0,0,0,0.8888888888888888,1.0,0.9411764705882353,0.8643750004470349,0.8850000008940697,0.75,0.8,0.843538910150528,0.8461145162582397,0.7158871174680517,0.7197477012297604,1,1,1.0,8,1,0
