image,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_13-elmid-radnear-az315.png,0.8571428571428571,1.0,0.923076923076923,1.0,0.8869047600066379,6.0,1.0,0.0,6.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-ellow-radfar-az135.png,0.25,0.7777777777777778,0.3783783783783784,0.7838164249048134,0.5054085029440337,14.0,42.0,4.0,18.0,56.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-ellow-radnear-az000.png,0.625,0.8333333333333334,0.7142857142857143,0.8854166530072689,0.796874987706542,5.0,3.0,1.0,6.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-ellow-radnear-az270.png,0.5,1.0,0.6666666666666666,1.0,0.9125000004967054,6.0,6.0,0.0,6.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-elmid-radfar-az045.png,0.6153846153846154,1.0,0.761904761904762,1.0,0.8393269238062203,8.0,5.0,0.0,8.0,13.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-elmid-radfar-az090.png,0.75,1.0,0.8571428571428571,1.0,0.7893386301461351,9.0,3.0,0.0,9.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-elmid-radmid-az180.png,0.5625,1.0,0.72,1.0,0.8905864233898436,9.0,7.0,0.0,9.0,16.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-elmid-radmid-az270.png,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9034722223412246,8.0,1.0,0.0,8.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-elmid-radmid-az315.png,0.47368421052631576,1.0,0.6428571428571429,0.9888888869020676,0.8220300809951903,9.0,10.0,0.0,9.0,19.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_14-elmid-radnear-az270.png,0.8571428571428571,1.0,0.923076923076923,1.0,0.7788095262327365,6.0,1.0,0.0,6.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-elhigh-radfar-az090.png,0.3684210526315789,1.0,0.5384615384615384,1.0,0.8195488771661779,7.0,12.0,0.0,7.0,19.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-elhigh-radmid-az045.png,0.391304347826087,1.0,0.5625,1.0,0.8319377398437318,9.0,14.0,0.0,9.0,23.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-elhigh-radmid-az180.png,0.5263157894736842,1.0,0.6896551724137931,1.0,0.8263082718125412,10.0,9.0,0.0,10.0,19.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-elhigh-radnear-az180.png,0.7142857142857143,1.0,0.8333333333333333,1.0,0.8282142790194067,10.0,4.0,0.0,10.0,14.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-ellow-radmid-az270.png,0.6,1.0,0.7499999999999999,1.0,0.9333333371082944,6.0,4.0,0.0,6.0,10.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-ellow-radnear-az000.png,0.17647058823529413,1.0,0.3,1.0,0.935294118618556,3.0,14.0,0.0,3.0,17.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-ellow-radnear-az090.png,0.16666666666666666,0.48,0.24742268041237112,0.503543120578869,0.33228088578782244,12.0,60.0,13.0,25.0,72.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-ellow-radnear-az135.png,0.23333333333333334,0.7,0.35,0.7287499881287416,0.5172794005371117,14.0,46.0,6.0,20.0,60.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-elmid-radmid-az000.png,1.0,1.0,1.0,1.0,0.9167410716414451,8.0,0.0,0.0,8.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_15-elmid-radnear-az270.png,0.5,1.0,0.6666666666666666,0.9166666716337204,0.6770833343267441,4.0,4.0,0.0,4.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-elhigh-radfar-az180.png,1.0,1.0,1.0,1.0,0.9693877574740624,7.0,0.0,0.0,7.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-elhigh-radfar-az270.png,0.6666666666666666,1.0,0.8,1.0,0.9229166658595205,8.0,4.0,0.0,8.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-elhigh-radmid-az090.png,0.6,1.0,0.7499999999999999,1.0,0.9097354547482318,9.0,6.0,0.0,9.0,15.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-elhigh-radnear-az000.png,1.0,1.0,1.0,1.0,0.9486394593504821,7.0,0.0,0.0,7.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-elhigh-radnear-az225.png,1.0,1.0,1.0,1.0,0.915625,4.0,0.0,0.0,4.0,4.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-ellow-radfar-az270.png,0.6666666666666666,1.0,0.8,1.0,1.0,4.0,2.0,0.0,4.0,6.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-ellow-radmid-az000.png,0.31746031746031744,0.9523809523809523,0.47619047619047616,0.9307873865066965,0.6744651654728775,20.0,43.0,1.0,21.0,63.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_16-ellow-radnear-az090.png,0.6923076923076923,0.9,0.7826086956521738,0.9346153699434723,0.8762911992438221,9.0,4.0,1.0,10.0,13.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-elhigh-radmid-az180.png,1.0,1.0,1.0,1.0,0.9175925950485248,9.0,0.0,0.0,9.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-elhigh-radmid-az270.png,1.0,1.0,1.0,1.0,0.9195987684767187,9.0,0.0,0.0,9.0,9.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-ellow-radfar-az045.png,0.2608695652173913,0.8,0.39344262295081966,0.7771520074169747,0.4797166651327613,24.0,68.0,6.0,30.0,92.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-ellow-radfar-az270.png,1.0,1.0,1.0,1.0,0.9408163310313711,7.0,0.0,0.0,7.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-ellow-radmid-az045.png,0.2625,0.7777777777777778,0.39252336448598135,0.8037238402151168,0.5379172192008869,21.0,59.0,6.0,27.0,80.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-ellow-radnear-az000.png,0.5833333333333334,1.0,0.7368421052631579,1.0,0.7273809623186078,7.0,5.0,0.0,7.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-elmid-radfar-az090.png,0.8,1.0,0.888888888888889,1.0,0.9271875005215406,8.0,2.0,0.0,8.0,10.0
