viewpoint,single_map50_95,single_map50,single_f1,mean_pair_map50_95_when_included,best_pair_map50_95_when_included,mean_lift_when_paired,best_lift_when_paired,completed_pair_count
ellow-radmid-az225,0.3003457176956631,0.5250402883688833,0.5736032860587302,0.42345112595750195,0.48994135855210424,0.12310540826183887,0.18959564085644115,71
ellow-radmid-az270,0.31427159279864797,0.5253753524881575,0.5717292202905788,0.41827030023158923,0.4882588862288467,0.10399870743294123,0.17398729343019875,70
ellow-radmid-az315,0.2748397286931444,0.46554902971007983,0.5160054537138612,0.4169210682883894,0.48689530419439697,0.142081339595245,0.2120555755012526,71
ellow-radfar-az000,0.2817460140742008,0.4823221850039869,0.5354872983200218,0.41836560737097755,0.48913581011002,0.13661959329677678,0.2073897960358192,71
ellow-radfar-az045,0.30519005759179973,0.5207464480829541,0.570953147416828,0.422319068893042,0.49405858130707453,0.11712901130124222,0.1888685237152748,71
ellow-radfar-az090,0.3072999780629998,0.5167030303782402,0.5707152222848138,0.414955223929579,0.49240799704043575,0.1076552458665792,0.18510801897743595,68
ellow-radfar-az135,0.28205091366265594,0.47830621075165325,0.5322964125448352,0.41587944637275726,0.4947533910926863,0.13382853271010128,0.21270247743003035,71
ellow-radfar-az180,0.3013082995025368,0.5115128598834899,0.562579855943959,0.42233183072588626,0.4857145697410744,0.12102353122334944,0.18440627023853762,71
ellow-radfar-az225,0.28484504258501964,0.49188044218474486,0.5503646738395229,0.4229064049137724,0.48737028588548886,0.1380613623287527,0.20252524330046923,71
ellow-radfar-az270,0.30958469798239646,0.5284860950587216,0.5731943194791425,0.41772367769134716,0.48491026568813167,0.10813897970895074,0.1753255677057352,71
ellow-radfar-az315,0.27594677444659244,0.47874319986287506,0.5254703261628592,0.41492275095061754,0.48787164318521764,0.1389759765040251,0.2119248687386252,71
elmid-radnear-az000,0.35517090007794966,0.5300961349784383,0.5549324633538211,0.4174510348359379,0.48485860774162387,0.06228013475798824,0.1296877076636742,71
elmid-radnear-az045,0.3542262604718849,0.5303934850935043,0.557180006877161,0.4220473106005927,0.47956262304632885,0.06782105012870783,0.12533636257444397,71
elmid-radnear-az090,0.3373441618464497,0.5061558171800286,0.5318448748217408,0.4177961955868154,0.47617697647384544,0.0804520337403657,0.13883281462739572,71
elmid-radnear-az135,0.34220636476623056,0.5167785655940068,0.5422156940603812,0.41451154841453913,0.4742782311472666,0.07230518364830861,0.13207186638103602,71
elmid-radnear-az180,0.3511704098620124,0.5254501986980183,0.5583055064039938,0.4175595956948275,0.47542549259169264,0.06638918583281503,0.12425508272968022,71
elmid-radnear-az225,0.36478026048785717,0.5424174660819235,0.567374870592244,0.42299580516936514,0.4830484213043043,0.05821554468150798,0.11826816081644714,71
elmid-radnear-az270,0.3473214946568377,0.5209740883508889,0.5471403077826053,0.4173418690465729,0.4775374535410852,0.07002037438973518,0.13021595888424747,71
elmid-radnear-az315,0.3398194147983978,0.5182418282145324,0.5454363345406049,0.41415642820782067,0.47136691651589946,0.07433701340942293,0.13154750171750168,71
elmid-radmid-az000,0.40109184962731287,0.6126347178060687,0.65023167822616,0.4397663526940858,0.48656320232257866,0.03867450306677297,0.08547135269526579,71
elmid-radmid-az045,0.41641372706811924,0.6215519989811171,0.6557867852119496,0.43880483195423386,0.4933872551586506,0.02239110488611462,0.07697352809053137,71
elmid-radmid-az090,0.39457841386323705,0.5852697147407687,0.6180282239004667,0.4326110561039015,0.4910923165554361,0.038032642240664466,0.09651390269219906,71
elmid-radmid-az135,0.3855787851950759,0.5875343072824458,0.6262744818435512,0.42958815566089337,0.48902227599140896,0.04400937046581751,0.10344349079633308,70
elmid-radmid-az180,0.3920347270865256,0.587757705142099,0.6175233458449934,0.4366896859583525,0.48921879116018274,0.044654958871826946,0.09718406407365715,71
elmid-radmid-az225,0.4035228167038699,0.6143334150907047,0.6522320690619009,0.44315320649815976,0.4957698038530213,0.03963038979428983,0.09224698714915136,70
elmid-radmid-az270,0.40315190191972006,0.609227191246133,0.6419786124794784,0.4364090158030939,0.49405858130707453,0.03325711388337384,0.09090667938735447,70
elmid-radmid-az315,0.38855085122315813,0.5963110631567597,0.6374037180574877,0.43430380997364837,0.48189344675309986,0.04575295875049025,0.09334259552994173,71
elmid-radfar-az000,0.3883653697649618,0.5998108449956401,0.6435967350640449,0.43481428430176816,0.479470747428181,0.04644891453680637,0.09110537766321924,71
elmid-radfar-az045,0.3904277067982496,0.5915211157957722,0.6320457533925121,0.4381789138619448,0.48215856481400465,0.04775120706369515,0.09173085801575503,71
elmid-radfar-az090,0.4031096513417022,0.6155029024735773,0.6547382403546876,0.43919181870587054,0.48385661392382456,0.03608216736416838,0.08074696258212238,71
elmid-radfar-az135,0.3906639225147944,0.6133920323333915,0.6542011590319667,0.43433257092461247,0.48136231227512793,0.04366864840981804,0.09069838976033351,71
elmid-radfar-az180,0.39775345373611054,0.6080202398200694,0.6493581904799053,0.43969958225964,0.48458937660326,0.04194612852352944,0.08683592286714947,71
elmid-radfar-az225,0.40094783670068784,0.616291444075479,0.6538672927825567,0.43847182212505786,0.48503716433275085,0.03752398542437003,0.084089327632063,71
elmid-radfar-az270,0.39259913412484276,0.6153048658673174,0.6577703922354197,0.433837013045219,0.48234993951114685,0.04123787892037623,0.08975080538630409,71
elmid-radfar-az315,0.38032179073567957,0.5970454269304335,0.6371510619205294,0.4332096320548249,0.48635365086136345,0.052887841319145326,0.10603186012568389,68
elhigh-radnear-az000,0.3287976256874326,0.5066309664513877,0.534066052850897,0.40649652404158876,0.4751810450377544,0.07769889835415617,0.1463834193503218,71
elhigh-radnear-az045,0.3372504425742561,0.5189013461617651,0.5498297895060407,0.4070189953542823,0.4785487778366779,0.06976855278002614,0.14129833526242175,71
elhigh-radnear-az090,0.3417464009985519,0.5136316302452362,0.5453390199454642,0.4075320304275249,0.4734233784989735,0.06578562942897301,0.13167697750042157,68
elhigh-radnear-az135,0.3320552452601486,0.5147237915915006,0.5455437122690504,0.40682231082630027,0.4747675564557237,0.07476706556615163,0.1427123111955751,71
